icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
300411,I-RVEG,Aermacchi,MB-326E,M326,6172,L1J,,,,
33ff12,MM55075,Aermacchi,MB-339CD,M339,6879,L1J,,,,
33ff13,MM55074,Aermacchi,MB-339CD,M339,6878,L1J,,,,
33ff14,MM55073,Aermacchi,MB-339CD,M339,6877,L1J,,,,
33ff15,MM55072,Aermacchi,MB-339CD,M339,6876,L1J,,,,
33ff16,MM55070,Aermacchi,MB-339CD,M339,6872,L1J,,,,
33ff17,MM55069,Aermacchi,MB-339CD,M339,6871,L1J,,,,
33ff18,MM55068,Aermacchi,MB-339CD,M339,6870,L1J,,,,
33ff19,MM55067,Aermacchi,MB-339CD,M339,6867,L1J,,,,
33ff1a,MM55066,Aermacchi,MB-339CD,M339,6866,L1J,,,,
33ff1b,MM55065,Aermacchi,MB-339CD,M339,6865,L1J,,,,
33ff1c,MM55064,Aermacchi,MB-339CD,M339,6862,L1J,,,,
33ff1d,MM55063,Aermacchi,MB-339CD,M339,6861,L1J,,,,
33ff1e,MM55062,Aermacchi,MB-339CD,M339,6859,L1J,,,,
33ffc5,MM55088,Aermacchi,MB-339CD,M339,6957,L1J,,,,
33ffc6,MM55087,Aermacchi,MB-339CD,M339,6956,L1J,,,,
33ffc7,MM55086,Aermacchi,MB-339CD,M339,6955,L1J,,,,
33ffc8,MM55085,Aermacchi,MB-339CD,M339,6954,L1J,,,,
33ffc9,MM55084,Aermacchi,MB-339CD,M339,6953,L1J,,,,
33ffcb,MM55082,Aermacchi,MB-339CD,M339,6951,L1J,,,,
33ffcc,MM55081,Aermacchi,MB-339CD,M339,6950,L1J,,,,
33ffcd,MM55080,Aermacchi,MB-339CD,M339,6949,L1J,,,,
33ffce,MM55079,Aermacchi,MB-339CD,M339,6948,L1J,,,,
33ffcf,MM55078,Aermacchi,MB-339CD,M339,6947,L1J,,,,
33ffd0,MM55077,Aermacchi,MB-339CD,M339,6946,L1J,,,,
3810ec,F-BEHM,Aermacchi,MB-308,M308,5826/53,L1P,,,,
3d0530,D-EAFG,Aermacchi,AL-60B-2 Santa Maria,LA60,6255,L1P,,,,
3d0732,D-EAZA,Aermacchi,MB-308,M308,5792/19,L1P,,,,
3d1ca7,D-EJCH,Aermacchi,MB-308,M308,5844/71,L1P,,,,
3d1d4a,D-EJIO,Aermacchi,MB-308,M308,5895/122,L1P,,,,
3d28bd,D-ENRH,Aermacchi,AL-60B-2 Santa Maria,LA60,6243,L1P,,,,
75000c,M34-14,Aermacchi,MB-339CM,M339,6995,L1J,RMF,,,
75000f,M34-17,Aermacchi,MB-339CM,M339,6998,L1J,RMF,,,
750024,M34-16,Aermacchi,MB-339CM,M339,6997,L1J,RMF,,,
750025,M34-19,Aermacchi,MB-339CM,M339,7000,L1J,RMF,,,
750027,M34-21,Aermacchi,MB-339CM,M339,7002,L1J,RMF,,,
a0d354,N152TP,Aermacchi,MB-326M,M326,481,L1J,,,2024-02-29,1967-01-01
a0de79,N155TP,Aermacchi,MB-326M,M326,498,L1J,,,2021-10-31,1967-01-01
a0e230,N156TP,Aermacchi,MB-326M,M326,468,L1J,,,2021-05-31,1967-01-01
a0e99e,N158TP,Aermacchi,MB-326M,M326,471,L1J,,,2021-05-31,1967-01-01
a0fe8a,N163TP,Aermacchi,MB-326M,M326,6358/129,L1J,,,,
a3cc9a,N344EM,Aermacchi,MB-339CB,M339,6801,L1J,,,2022-03-31,1991-01-01
a3d7bf,N347EM,Aermacchi,MB-339CB,M339,6807,L1J,,,2022-04-30,1991-01-01
a3db76,N348EM,Aermacchi,MB-339CB,M339,6829,L1J,,,2022-03-31,1991-01-01
a3df2d,N349EM,Aermacchi,MB-339CB,M339,6830,L1J,,,2022-04-30,1990-01-01
ad5f08,N96038,Aermacchi,AL-60F-5 Trojan,LA60,53-6233,L1P,,,2022-09-30,1963-01-01
