icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
393593,F-GNMT,Aero,AT-3 R100,AAT3,AT3-030,L1P,,,,
393594,F-GNMU,Aero,AT-3 R100,AAT3,AT3-031,L1P,,,,
393595,F-GNMV,Aero,AT-3 R100,AAT3,AT3-032,L1P,,,,
393597,F-GNMX,Aero,AT-3 R100,AAT3,AT3-033,L1P,,,,
393598,F-GNMY,Aero,AT-3 R100,AAT3,AT3-034,L1P,,,,
393599,F-GNMZ,Aero,AT-3 R100,AAT3,AT3-035,L1P,,,,
395222,F-GURC,Aero,AT-3 R100,AAT3,AT3-016,L1P,,,,
395223,F-GURD,Aero,AT-3 R100,AAT3,AT3-017,L1P,,,,
395224,F-GURE,Aero,AT-3 R100,AAT3,AT3-018,L1P,,,,
395226,F-GURG,Aero,AT-3 R100,AAT3,AT3-036,L1P,,,,
395230,F-GURQ,Aero,AT-3 R100,AAT3,AT3-014,L1P,,,,
395233,F-GURT,Aero,AT-3 L100,AAT3,AT3-004,L1P,,,,
395235,F-GURV,Aero,AT-3 R100,AAT3,AT3-015,L1P,,,,
39be21,F-HPRB,Aero,AT-3 R100,AAT3,AT3-050,L1P,,,,
3d24f9,D-EMGF,Aero,AT-3 R100,AAT3,AT3-022,L1P,,,,
3d46bf,D-EZAT,Aero,AT-3 L100,AAT3,AT3-003,L1P,,,,
400fe4,G-SYEL,Aero,AT-3 R100,AAT3,AT3-019,L1P,,2006-08-21,,2006-01-01
40115e,G-SBRK,Aero,AT-3 R100,AAT3,AT3-021,L1P,,2007-03-14,,2007-01-01
4011bf,G-LGOC,Aero,AT-3 R100,AAT3,AT3-020,L1P,,2013-07-31,,2007-01-01
40137e,G-SACX,Aero,AT-3 R100,AAT3,AT3-028,L1P,,2007-11-07,,2007-01-01
404a2c,G-SPAT,Aero,AT-3 R100,AAT3,AT3-008,L1P,,2004-10-20,,2003-01-01
404dbe,G-SWLL,Aero,AT-3 R100,AAT3,AT3-012,L1P,,2005-10-24,,2005-01-01
405ee2,G-MAVV,Aero,AT-3 R100,AAT3,AT3-025,L1P,,2016-03-07,,2007-01-01
405f21,G-TGUN,Aero,AT-3 R100,AAT3,AT3-045,L1P,,2016-03-07,,2008-01-01
406327,G-SKAZ,Aero,AT-3 R100,AAT3,AT3-055,L1P,,2010-09-27,,2010-01-01
406998,G-SACW,Aero,AT-3 R100,AAT3,AT3-058,L1P,,2013-04-12,,2010-01-01
406e8c,G-SACP,Aero,AT-3 R100,AAT3,AT3-062,L1P,,2015-06-22,,2013-01-01
46ad21,SX-KIA,Aero,AT-3 R100,AAT3,AT3-041,L1P,,,,
46ad22,SX-KIB,Aero,AT-3 R100,AAT3,AT3-043,L1P,,,,
4851f8,PH-ZVA,Aero,AT-3 R100,AAT3,AT3-010,L1P,,,,
4852f1,PH-EVB,Aero,AT-3 R100,AAT3,AT3-057,L1P,,,,
488012,SP-AAT,Aero,AT-3 R100,AAT3,AT3-079,L1P,,,,
489888,SP-GEI,Aero,AT-3 R100,AAT3,AT3-047,L1P,,,,
48dc6c,SP-YDM,Aero,AT-4 LSA,AAT4,AT4-036,L1P,,,,
4b3142,HB-SRA,Aero,AT-3 R100,AAT3,AT3-051,L1P,,2009-07-15,,2009-01-01
4b3143,HB-SRB,Aero,AT-3 R100,AAT3,AT3-052,L1P,,,,
4b3144,HB-SRC,Aero,AT-3 R100,AAT3,AT3-053,L1P,,,,
4b3145,HB-SRD,Aero,AT-3 R100,AAT3,AT3-061,L1P,,2012-04-24,,2012-01-01
4bae41,TC-KRA,Aero,AT-3 R100,AAT3,AT3-065,L1P,,,,
50827e,UR-CJT,Aero,AT-3 R100,AAT3,AT3-060,L1P,,,,
5082a5,UR-CKI,Aero,AT-3 R100,AAT3,AT3-037,L1P,,,,
