icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
140065,RF-49800,Aero Vodochody,L-39C Albatros,L39,433033,L1J,,,,
140066,RA-00102,Aero Vodochody,L-39C Albatros,L39,433022,L1J,,,,
140067,RA-00103,Aero Vodochody,L-39C Albatros,L39,232225,L1J,,,,
14006a,RF-49803,Aero Vodochody,L-39C Albatros,L39,433031,L1J,,,,
14006d,RF-49804,Aero Vodochody,L-39C Albatros,L39,433002,L1J,,,,
14006f,RF-49806,Aero Vodochody,L-39C Albatros,L39,433028,L1J,,,,
403da8,G-DELF,Aero Vodochody,L-29 Delfin,L29,194555,L1J,,2013-05-23,,1971-01-01
404005,G-BYCT,Aero Vodochody,L-29 Delfin,L29,395142,L1J,,2012-08-06,,1973-01-01
4067a7,G-DLFN,Aero Vodochody,L-29 Delfin,L29,294872,L1J,,2016-10-11,,1972-01-01
406b7f,G-JMGP,Aero Vodochody,L-39ZO Albatros,L39,831125,L1J,,2014-03-24,,1978-01-01
498465,6048,Aero Vodochody,L-159A Alca,L159,156048,L1J,CEF,,,
49846b,6054,Aero Vodochody,L-159A Alca,L159,156054,L1J,CEF,,,
49846d,6057,Aero Vodochody,L-159A Alca,L159,156057,L1J,CEF,,,
49846e,6058,Aero Vodochody,L-159A Alca,L159,156058,L1J,CEF,,,
49846f,6059,Aero Vodochody,L-159A Alca,L159,156059,L1J,CEF,,,
498470,6060,Aero Vodochody,L-159A Alca,L159,156060,L1J,CEF,,,
498472,6062,Aero Vodochody,L-159A Alca,L159,156062,L1J,CEF,,,
498474,6064,Aero Vodochody,L-159A Alca,L159,156064,L1J,CEF,,,
498476,6066,Aero Vodochody,L-159A Alca,L159,156066,L1J,CEF,,,
498477,6067,Aero Vodochody,L-159T1 Alca,L159,156067,L1J,CEF,,,
498479,6069,Aero Vodochody,L-159T1 Alca,L159,156069,L1J,CEF,,,
49847a,6070,Aero Vodochody,L-159A Alca,L159,156070,L1J,CEF,,,
498557,OK-AJW,Aero Vodochody,L-29 Delfin,L29,993405,L1J,,,,
49a9e1,OK-JOA,Aero Vodochody,L-60S Brigadyr,L60,03,L1P,,,,
49ab02,OK-JXB,Aero Vodochody,L-39C Albatros,L39,931424,L1J,,,,
49ad41,OK-KJA,Aero Vodochody,L-60SF Brigadyr,L60,150205,L1P,,,,
49b167,OK-LKG,Aero Vodochody,L-60S Brigadyr,L60,150728,L1P,,,,
49b168,OK-LKH,Aero Vodochody,L-60S Brigadyr,L60,150729,L1P,,,,
49b16a,OK-LKJ,Aero Vodochody,L-60S Brigadyr,L60,150801,L1P,,,,
49b16e,OK-LKN,Aero Vodochody,L-60S Brigadyr,L60,150507,L1P,,,,
49b54e,OK-MJN,Aero Vodochody,L-60 Brigadyr,L60,150826,L1P,,,,
49b681,OK-MTA,Aero Vodochody,L-60S Brigadyr,L60,150820,L1P,,,,
49b687,OK-MTG,Aero Vodochody,L-60S Brigadyr,L60,151203,L1P,,,,
49b688,OK-MTH,Aero Vodochody,L-60S Brigadyr,L60,150813,L1P,,,,
49b689,OK-MTI,Aero Vodochody,L-60S Brigadyr,L60,150815,L1P,,,,
49b9c2,OK-NNB,Aero Vodochody,L-60S Brigadyr,L60,151207,L1P,,,,
49b9c7,OK-NNG,Aero Vodochody,L-60S Brigadyr,L60,151212,L1P,,,,
49b9c8,OK-NNH,Aero Vodochody,L-60S Brigadyr,L60,151213,L1P,,,,
49b9ca,OK-NNJ,Aero Vodochody,L-60S Brigadyr,L60,151215,L1P,,,,
49d048,OK-ALE,Aero Vodochody,Ae 270 Ibis,A270,0008,L1T,AOD,,,
49d1bd,OK-MTF,Aero Vodochody,L-60S Brigadyr,L60,151202,L1P,,,,
4d02d2,LX-MIK,Aero Vodochody,L-39C Albatros,L39,432936,L1J,,,,
4d02df,LX-ROB,Aero Vodochody,L-39ZO Albatros,L39,232302,L1J,,,,
4d02f6,LX-STN,Aero Vodochody,L-39C Albatros,L39,232152,L1J,,,,
502c5c,YL-KSH,Aero Vodochody,L-39C Albatros,L39,934632,L1J,,,,
502c60,YL-KSS,Aero Vodochody,L-39C Albatros,L39,934646,L1J,,,,
502c65,YL-KSM,Aero Vodochody,L-39C Albatros,L39,834472,L1J,,,,
505d8b,OM-SLK,Aero Vodochody,L-29 Delfin,L29,294645,L1J,,,,
511035,ES-YLX,Aero Vodochody,L-39C Albatros,L39,432905,L1J,,,,
511036,ES-TLB,Aero Vodochody,L-39C Albatros,L39,031824,L1J,,,,
511041,ES-TLF,Aero Vodochody,L-39C Albatros,L39,132114,L1J,,,,
511046,ES-TLC,Aero Vodochody,L-39C Albatros,L39,533223,L1J,,,,
511047,ES-YLF,Aero Vodochody,L-39C Albatros,L39,433141,L1J,,,,
511048,ES-YLP,Aero Vodochody,L-39C Albatros,L39,533620,L1J,,,,
511049,ES-YLR,Aero Vodochody,L-39C Albatros,L39,533628,L1J,,,,
511056,ES-TLH,Aero Vodochody,L-39C Albatros,L39,132042,L1J,,,,
511068,ES-RAZ,Aero Vodochody,L-39C Albatros,L39,931523,L1J,,,,
511092,10,Aero Vodochody,L-39C Albatros,L39,934669,L1J,,,,
5110a0,ES-TLS,Aero Vodochody,L-39C Albatros,L39,031826,L1J,,,,
5110d8,ES-TLV,Aero Vodochody,L-39C Albatros,L39,031612,L1J,,,,
5110d9,ES-TGV,Aero Vodochody,L-39C Albatros,L39,432845,L1J,,,,
7c02af,VH-ATD,Aero Vodochody,L-39C Albatros,L39,432909,L1J,,,,1984-01-01
7c0759,VH-BQJ,Aero Vodochody,L-29 Delfin,L29,093704,L1J,,,,1974-01-01
7c15b5,VH-EKN,Aero Vodochody,L-39C Albatros,L39,232206,L1J,,,,1982-01-01
7c1a82,VH-FIS,Aero Vodochody,L-39C Albatros,L39,931510,L1J,,,,1979-01-01
7c2b39,VH-ITN,Aero Vodochody,L-39 Albatros,L39,630638,L1J,,,,1976-01-01
7c35ad,VH-KVZ,Aero Vodochody,L-39 Albatros,L39,630640,L1J,,,,1976-01-01
7c3801,VH-LCJ,Aero Vodochody,L-39C Albatros,L39,232155,L1J,,,,1982-01-01
7c4220,VH-NCI,Aero Vodochody,L-39C Albatros,L39,232201,L1J,,,,1984-01-01
7c435f,VH-NLD,Aero Vodochody,L-39C Albatros,L39,132037,L1J,,,,1981-01-01
7c5c42,VH-SIC,Aero Vodochody,L-39C Albatros,L39,433144,L1J,,,,
7c621a,VH-TNW,Aero Vodochody,L-29 Delfin,L29,792329,L1J,,,,
7c6c4b,VH-VOD,Aero Vodochody,L-39C Albatros,L39,332511,L1J,,,,
7c6cc2,VH-VRO,Aero Vodochody,L-39C Albatros,L39,834424,L1J,,,,
7c702c,VH-WFY,Aero Vodochody,L-39C Albatros,L39,630742,L1J,,,,
7c7513,VH-XET,Aero Vodochody,L-29 Delfin,L29,892950,L1J,,,,
a0036a,N10LW,Aero Vodochody,L-39 Albatros,L39,232224,L1J,,,2023-12-31,1982-01-01
a00e45,N102XX,Aero Vodochody,L-39 Albatros,L39,040002,L1J,,,2022-01-31,1992-01-01
a01152,N103RB,Aero Vodochody,L-39C Albatros,L39,530525,L1J,,,,
a017ae,N105EC,Aero Vodochody,L-29 Delfin,L29,093948,L1J,,,2024-06-30,1970-01-01
a0196a,N105XX,Aero Vodochody,L-39MS Super Albatros,L59,140005,L1J,,,2022-03-31,1992-01-01
a01d21,N106XX,Aero Vodochody,L-39MS Super Albatros,L59,140006,L1J,,,2022-01-31,1992-01-01
a020f5,N107ZA,Aero Vodochody,L-39ZA Albatros,L39,734107,L1J,,,2022-08-31,
a02a10,N11CD,Aero Vodochody,L-29 Delfin,L29,591721,L1J,,,,
a02bf4,N11XN,Aero Vodochody,L-39 Albatros,L39,931336,L1J,,,2023-02-28,1979-01-01
a02ce4,N110HB,Aero Vodochody,L-39C Albatros,L39,332742,L1J,,,2023-06-30,1983-01-01
a033a6,N112AE,Aero Vodochody,L-29 Delfin,L29,892879,L1J,,,2022-12-31,
a0376c,N113AV,Aero Vodochody,L-29 Delfin,L29,294972,L1J,,,2022-12-31,
a04db7,N119AW,Aero Vodochody,L-29 Delfin,L29,692261,L1J,,,2022-06-30,
a053c7,N120AW,Aero Vodochody,L-29 Delfin,L29,692272,L1J,,,,
a0571e,N12076,Aero Vodochody,L-39C Albatros,L39,432927,L1J,,,2022-08-31,1984-01-01
a0754b,N129BS,Aero Vodochody,L-29 Delfin,L29,1722,L1J,,,2022-12-31,1967-01-01
a07574,N129DH,Aero Vodochody,L-29 Delfin,L29,591324,L1J,,,,
a0763e,N129MK,Aero Vodochody,L-29 Delfin,L29,792338,L1J,,,,
a07640,N129MM,Aero Vodochody,L-29 Delfin,L29,892790,L1J,,,2022-06-30,1968-01-01
