icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
00adcc,ZS-RIH,Aérospatiale,SA 316A Alouette III,ALO3,1052,H1T,,,,
00adfc,ZS-RKD,Aérospatiale,SA 330C Puma,PUMA,1118,H2T,,,,
00ae53,ZS-RNM,Aérospatiale,SA 330J Puma,PUMA,1604,H2T,,,,
00af3f,ZS-RWO,Aérospatiale,SA 330J Puma,PUMA,1585,H2T,,,,
090051,D2-EXV,Aérospatiale,AS332 L2 Super Puma Mk2,AS3B,2646,H2T,SOR,,,
090052,D2-EXU,Aérospatiale,AS332 L2 Super Puma Mk2,AS3B,2643,H2T,SOR,,,
141645,RA-05701,Aérospatiale,SA 316B Alouette III,ALO3,1227,H1T,,,,
141647,RA-05703,Westland,Gazelle AH.1,GAZL,1524,H1T,,,,
383de7,F-BPPH,Aérospatiale,SA 316B Alouette III,ALO3,2245,H1T,,,,
3856b4,F-BVVU,Aérospatiale,SA 341G Gazelle,GAZL,1142,H1T,,,,
390182,F-GAMC,Aérospatiale,SA 316B Alouette III,ALO3,5310,H1T,,,,
39056a,F-GBLK,Aérospatiale,SA 341G Gazelle,GAZL,1096,H1T,,,,
390ab5,F-GCVV,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1010,H1T,,,,
390c4c,F-GDCM,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1950,H1T,,,,
390e0b,F-GDQL,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1250,H1T,,,,
390e0e,F-GDQO,Aérospatiale,SA 318C Alouette II Astazou,ALO2,2151,H1T,,,,
390e11,F-GDQR,Aérospatiale,SA 318C Alouette II Astazou,ALO2,2262,H1T,,,,
390e85,F-GDUF,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1727,H1T,,,,
390e86,F-GDUG,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1907,H1T,,,,
390ef7,F-GDXX,Aérospatiale,SA 341G Gazelle,GAZL,1262,H1T,,,,
3910e0,F-GEHA,Aérospatiale,SA 341G Gazelle,GAZL,1064,H1T,,,,
3910e1,F-GEHB,Aérospatiale,SA 341G Gazelle,GAZL,1099,H1T,,,,
3910ee,F-GEHO,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1628,H1T,,,,
391169,F-GELJ,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1100,H1T,,,,
391212,F-GEQS,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1142,H1T,,,,
391253,F-GEST,Aérospatiale,SA 341G Gazelle,GAZL,1113,H1T,,,,
391448,F-GFCI,Aérospatiale,SA 341G Gazelle,GAZL,1206,H1T,,,,
3914f2,F-GFHS,Aérospatiale,SA 318C Alouette II Astazou,ALO2,2233,H1T,,,,
3915f0,F-GFPQ,Aérospatiale,SA 318C Alouette II Astazou,ALO2,2247,H1T,,,,
391725,F-GFZF,Aérospatiale,SA 318C Alouette II Astazou,ALO2,2352,H1T,,,,
391730,F-GFZQ,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1813,H1T,,,,
391837,F-GGBX,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1373,H1T,,,,
391838,F-GGBY,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1332,H1T,,,,
391846,F-GGCG,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1172,H1T,,,,
391848,F-GGCI,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1050,H1T,,,,
391866,F-GGDG,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1104,H1T,,,,
391867,F-GGDH,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1103,H1T,,,,
391954,F-GGKU,Aérospatiale,SA 341F Gazelle,GAZL,1378,H1T,,,,
391955,F-GGKV,Aérospatiale,SA 341F Gazelle,GAZL,1186,H1T,,,,
391957,F-GGKX,Aérospatiale,SA 330Ba Puma,PUMA,1081,H2T,,,,
3919e7,F-GGPH,Aérospatiale,SA 341G Gazelle,GAZL,1014,H1T,,,,
391cd4,F-GHGU,Aérospatiale,SA 341G Gazelle,GAZL,1308,H1T,,,,
391de3,F-GHPD,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1319,H1T,,,,
391e6d,F-GHTN,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1401,H1T,,,,
392120,F-GIJA,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1570,H1T,,,,
392129,F-GIJJ,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1019,H1T,,,,
3922b4,F-GIVU,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1473,H1T,,,,
39242d,F-GJBN,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1619,H1T,,,,
3925cd,F-GJON,Aérospatiale,SA 330J Puma,PUMA,1407,H2T,,,,
39264b,F-GJSL,Aérospatiale,SA 342J Gazelle,GAZL,1052,H1T,,,,
3929d3,F-GKOT,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1243,H1T,,,,
392b02,F-GKYC,Aérospatiale,SA 341G Gazelle,GAZL,1414,H1T,,,,
392df5,F-GLPV,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1443,H1T,,,,
392e22,F-GLRC,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1117,H1T,,,,
392e32,F-GLRS,Aérospatiale,SA 318C Alouette II Astazou,ALO2,1346,H1T,,,,
