icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
008ff4,ZS-GAL,Airbus,A320-231,A320,64,L2J,DAO,,,
008ff8,ZS-GAP,Airbus,A320-231,A320,77,L2J,,,,
008ffa,ZS-GAR,Airbus,A320-231,A320,53,L2J,KSZ,,,
008ffb,ZS-GAS,Airbus,A320-231,A320,76,L2J,JUB,,,
008fff,ZS-GAW,Airbus,A320-231,A320,54,L2J,CAI,,,
009002,ZS-GAZ,Airbus,A320-231,A320,81,L2J,,,,
00afea,ZS-SDD,Airbus,A350-941,A359,245,L2J,SAA,2019-11-01,,
00b021,ZS-SFG,Airbus,A319-132,A319,2326,L2J,SAA,,,
00b022,ZS-SFH,Airbus,A319-131,A319,2355,L2J,SAA,,,
00b023,ZS-SFI,Airbus,A319-131,A319,2375,L2J,SAA,,,
00b024,ZS-SFJ,Airbus,A319-131,A319,2379,L2J,SAA,,,
00b025,ZS-SFK,Airbus,A319-131,A319,2418,L2J,SAA,,,
00b026,ZS-SFL,Airbus,A319-131,A319,2438,L2J,SAA,2005-04-08,,2005-01-01
00b027,ZS-SFM,Airbus,A319-131,A319,2469,L2J,SAA,,,
00b0eb,ZS-SNA,Airbus,A340-642,A346,410,L4J,SAA,2002-12-24,,2002-01-01
00b0ec,ZS-SNB,Airbus,A340-642,A346,417,L4J,SAA,,,
00b0ed,ZS-SNC,Airbus,A340-642,A346,426,L4J,SAA,,,
00b0ee,ZS-SND,Airbus,A340-642,A346,531,L4J,SAA,,,
00b0ef,ZS-SNE,Airbus,A340-642,A346,534,L4J,SAA,,,
00b0f0,ZS-SNF,Airbus,A340-642,A346,547,L4J,SAA,,,
00b0f1,ZS-SNG,Airbus,A340-642,A346,557,L4J,SAA,,,
00b0f2,ZS-SNH,Airbus,A340-642,A346,626,L4J,SAA,,,
00b0f3,ZS-SNI,Airbus,A340-642,A346,630,L4J,SAA,,,
00b113,ZU-SOO,Airbus Defence and Space,CN235-10,CN35,C-008,L2T,,,,
00b1ef,ZS-SXA,Airbus,A340-313E,A343,544,L4J,SAA,,,
00b1f0,ZS-SXB,Airbus,A340-313E,A343,582,L4J,SAA,,,
00b1f1,ZS-SXC,Airbus,A340-313E,A343,590,L4J,SAA,,,
00b1f2,ZS-SXD,Airbus,A340-313E,A343,643,L4J,SAA,,,
00b1f3,ZS-SXE,Airbus,A340-313E,A343,646,L4J,SAA,,,
00b1f4,ZS-SXF,Airbus,A340-313E,A343,651,L4J,SAA,,,
00b1f5,ZS-SXG,Airbus,A340-313X,A343,378,L4J,SAA,,,
00b1f6,ZS-SXH,Airbus,A340-313X,A343,197,L4J,SAA,,,
00b1f7,ZS-SXI,Airbus,A330-343E,A333,1745,L2J,SAA,,,
00b1f8,ZS-SXJ,Airbus,A330-343E,A333,1754,L2J,SAA,,,
00b1f9,ZS-SXK,Airbus,A330-343E,A333,1757,L2J,SAA,,,
00b1fa,ZS-SXL,Airbus,A330-343E,A333,1779,L2J,SAA,,,
00b1fb,ZS-SXM,Airbus,A330-343E,A333,1792,L2J,SAA,,,
00b203,ZS-SXU,Airbus,A330-243,A332,1271,L2J,SAA,,,
00b204,ZS-SXV,Airbus,A330-243,A332,1249,L2J,SAA,,,
00b205,ZS-SXW,Airbus,A330-243,A332,1236,L2J,SAA,,,
00b206,ZS-SXX,Airbus,A330-243,A332,1223,L2J,SAA,,,
00b207,ZS-SXY,Airbus,A330-243,A332,1210,L2J,SAA,,,
00b208,ZS-SXZ,Airbus,A330-243,A332,1191,L2J,SAA,,,
00b223,ZS-SZA,Airbus,A320-232,A320,5637,L2J,SAA,,,
00b224,ZS-SZB,Airbus,A320-232,A320,5680,L2J,SAA,,,
00b225,ZS-SZC,Airbus,A320-232,A320,5956,L2J,SAA,,,
00b226,ZS-SZD,Airbus,A320-232,A320,6007,L2J,SAA,,,
00b227,ZS-SZE,Airbus,A320-232,A320,6147,L2J,SAA,,,
00b228,ZS-SZF,Airbus,A320-232,A320,6189,L2J,SAA,,,
00b22a,ZS-SZH,Airbus,A320-232,A320,6306,L2J,SAA,,,
