icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
392df7,F-GLPX,Aquila,AT01,A210,AT01-168,L1P,,,,
393b05,F-GOYF,Aquila,AT01,A210,AT01-158,L1P,,,,
3944b8,F-GRFY,Aquila,AT01-100C,A210,AT01-100C-307,L1P,,,,
394662,F-GRTC,Aquila,AT01,A210,AT01-111,L1P,,,,
394d02,F-GTIC,Aquila,AT01,A210,AT01-133,L1P,,,,
394dc2,F-GTOC,Aquila,AT01,A210,AT01-136,L1P,,,,
395075,F-GUDV,Aquila,AT01,A210,AT01-131,L1P,,,,
395410,F-GVAQ,Aquila,AT01,A210,AT01-104,L1P,,,,
395442,F-GVCC,Aquila,AT01,A210,AT01-148,L1P,,,,
3954af,F-GVFP,Aquila,AT01,A210,AT01-119,L1P,,,,
3955e5,F-GVPF,Aquila,AT01,A210,AT01-163,L1P,,,,
395c45,F-GXCF,Aquila,AT01,A210,AT01-127,L1P,,,,
395d95,F-GXMV,Aquila,AT01,A210,AT01-126,L1P,,,,
39646b,F-GZDL,Aquila,AT01,A210,AT01-120,L1P,,,,
3964cd,F-GZGN,Aquila,AT01,A210,AT01-138,L1P,,,,
3965eb,F-GZPL,Aquila,AT01,A210,AT01-146,L1P,,,,
398001,F-HAAB,Aquila,AT01,A210,AT01-132,L1P,,,,
398013,F-HAAT,Aquila,AT01,A210,AT01-130,L1P,,,,
398045,F-HACF,Aquila,AT01,A210,AT01-125,L1P,,,,
398086,F-HAEG,Aquila,AT01,A210,AT01-123,L1P,,,,
398208,F-HAQI,Aquila,AT01,A210,AT01-135,L1P,,,,
39822c,F-HARM,Aquila,AT01,A210,AT01-157,L1P,,,,
39822e,F-HARO,Aquila,AT01,A210,AT01-179,L1P,,,,
39826d,F-HATN,Aquila,AT01,A210,AT01-187,L1P,,,,
398500,F-HBIA,Aquila,AT01,A210,AT01-181,L1P,,,,
398629,F-HBRJ,Aquila,AT01,A210,AT01-156,L1P,,,,
398dd5,F-HDOV,Aquila,AT01,A210,AT01-182,L1P,,,,
3d0535,D-EAFL,Aquila,AT01-100B,A210,AT01-321,L1P,,,,
3d0585,D-EAIN,Aquila,AT01,A210,AT01-115,L1P,,,,
3d0590,D-EAIY,Aquila,AT01,A210,AT01-223,L1P,,,,
3d05fa,D-EANA,Aquila,AT01-100A,A210,AT01-340,L1P,,,,
3d0648,D-EAQA,Aquila,AT01,A210,AT01-100A-339,L1P,,,,
3d0649,D-EAQB,Aquila,AT01,A210,AT01-103,L1P,,,,
3d064a,D-EAQC,Aquila,AT01,A210,AT01-184,L1P,,,,
3d0651,D-EAQJ,Aquila,AT01,A210,AT01-213,L1P,,,,
3d0653,D-EAQL,Aquila,AT01,A210,AT01-145,L1P,,,,
3d0655,D-EAQN,Aquila,AT01,A210,AT01-140,L1P,,,,
3d0659,D-EAQR,Aquila,AT01,A210,AT01-191,L1P,,,,
3d065a,D-EAQS,Aquila,AT01,A210,AT01-201,L1P,,,,
3d065b,D-EAQT,Aquila,AT01,A210,AT01-144,L1P,,,,
3d065c,D-EAQU,Aquila,AT01-100C,A210,AT01-100C-303,L1P,,,,
3d065d,D-EAQV,Aquila,AT01,A210,AT01-173,L1P,,,,
3d065f,D-EAQX,Aquila,AT01,A210,AT01-190,L1P,,,,
3d0660,D-EAQY,Aquila,AT01,A210,AT01-166,L1P,,,,
3d06e0,D-EAVW,Aquila,AT01,A210,AT01-229,L1P,,,,
3d06e3,D-EAVZ,Aquila,AT01,A210,AT01-224,L1P,,,,
3d07d9,D-EBFL,Aquila,AT01-100B,A210,AT01-100B-342,L1P,,,,
3d0850,D-EBKA,Aquila,AT01,A210,AT01-257,L1P,,,,
3d08cb,D-EBOT,Aquila,AT01,A210,AT01-142,L1P,,,,
3d0cf0,D-EDDO,Aquila,AT01,A210,AT01-242,L1P,,,,
3d0d42,D-EDGS,Aquila,AT01,A210,AT01-102,L1P,,,,
3d10a4,D-EEOA,Aquila,AT01,A210,AT01-253,L1P,,,,
3d1249,D-EFEF,Aquila,AT01,A210,AT01-170,L1P,,,,
3d13b1,D-EFSB,Aquila,AT01,A210,AT01-114,L1P,,,,
3d1433,D-EFXB,Aquila,AT01,A210,AT01-222,L1P,,,,
3d1435,D-EFXD,Aquila,AT01,A210,AT01-219,L1P,,,,
3d1439,D-EFXH,Aquila,AT01,A210,AT01-220,L1P,,,,
3d143b,D-EFXJ,Aquila,AT01,A210,AT01-221,L1P,,,,
3d1449,D-EFXX,Aquila,AT01,A210,AT01-238,L1P,,,,
3d144b,D-EFXZ,Aquila,AT01,A210,AT01-239,L1P,,,,
3d16d2,D-EGWW,Aquila,AT01,A210,AT01-192,L1P,,,,
3d1b04,D-EIME,Aquila,AT01,A210,AT01-171,L1P,,,,
3d1d16,D-EJGO,Aquila,AT01,A210,AT01-198,L1P,,,,
3d1d98,D-EJLO,Aquila,AT01,A210,AT01-217,L1P,,,,
3d1fc6,D-EKHA,Aquila,AT01,A210,AT01-159,L1P,,,,
3d208e,D-EKOS,Aquila,AT01,A210,AT01-147,L1P,,,,
3d223d,D-ELFH,Aquila,AT01-100C,A210,AT01-100C-309,L1P,,,,
3d2293,D-ELIP,Aquila,AT01-100B,A210,AT01-326,L1P,,,,
3d2302,D-ELMW,Aquila,AT01-100B,A210,AT01-336,L1P,,,,
3d243c,D-ELYY,Aquila,AT01,A210,AT01-212,L1P,,,,
3d24d9,D-EMEZ,Aquila,AT01,A210,AT01-195,L1P,,,,
3d2535,D-EMIN,Aquila,AT01-100A,A210,AT01-341,L1P,,,,
3d2545,D-EMJD,Aquila,AT01,A210,AT01-185,L1P,,,,
3d264c,D-EMTG,Aquila,AT01,A210,AT01-169,L1P,,,,
3d2776,D-ENES,Aquila,AT01,A210,AT01-153,L1P,,,,
3d2800,D-ENKA,Aquila,AT01,A210,AT01-232,L1P,,,,
3d2811,D-ENKR,Aquila,AT01,A210,AT01-189,L1P,,,,
3d28db,D-ENSL,Aquila,AT01,A210,AT01-175,L1P,,,,
3d28dc,D-ENSM,Aquila,AT01,A210,AT01-129,L1P,,,,
3d29b2,D-EOAS,Aquila,AT01,A210,AT01-207,L1P,,,,
3d2ab0,D-EOKM,Aquila,AT01,A210,AT01-215,L1P,,,,
3d2bf2,D-EOWW,Aquila,AT01,A210,AT01-110,L1P,,,,
3d2d1a,D-EPIG,Aquila,AT01,A210,AT01-167,L1P,,,,
3d2d68,D-EPLG,Aquila,AT01-100C,A210,AT01-100C-315,L1P,,,,
3d2d86,D-EPMK,Aquila,AT01,A210,AT01-154,L1P,,,,
3d2d9a,D-EPNE,Aquila,AT01-100C,A210,AT01-100C-327,L1P,,,,
3d2e30,D-EPSY,Aquila,AT01,A210,AT01-197,L1P,,,,
3d2ef4,D-EQAM,Aquila,AT01,A210,AT01-300,L1P,,,,
3d2efc,D-EQAU,Aquila,AT01,A210,AT01-301,L1P,,,,
3d2f1e,D-EQCC,Aquila,AT01,A210,AT01-218,L1P,,,,
3d2f6e,D-EQFE,Aquila,AT01-100B,A210,AT01-100B-355,L1P,,2018-07-10,,2018-06-18
