icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0081fb,ZS-ASW,Avro,RJ-85 Avroliner,RJ85,E2313,L4J,,,,
0081fc,ZS-ASX,Avro,RJ-85 Avroliner,RJ85,E2314,L4J,,,,
0081fd,ZS-ASY,Avro,RJ-85 Avroliner,RJ85,E2316,L4J,,,,
0081fe,ZS-ASZ,Avro,RJ-85 Avroliner,RJ85,E2318,L4J,,,,
00b174,ZS-SSH,Avro,RJ-85 Avroliner,RJ85,E2285,L4J,,,,
00b175,ZS-SSI,Avro,RJ-85 Avroliner,RJ85,E2383,L4J,,,,
00b176,ZS-SSJ,Avro,RJ-85 Avroliner,RJ85,E2385,L4J,,,,
00b177,ZS-SSK,Avro,RJ-85 Avroliner,RJ85,E2251,L4J,,,,
00b217,ZS-SYO,Avro,RJ-85 Avroliner,RJ85,E2394,L4J,,,,
00b218,ZS-SYP,Avro,RJ-85 Avroliner,RJ85,E2393,L4J,,,,
00b27f,ZS-TCO,Avro,RJ-85 Avroliner,RJ85,E2388,L4J,,,,
00b280,ZS-TCP,Avro,RJ-85 Avroliner,RJ85,E2389,L4J,SAA,,,
01808b,5A-FLE,Avro,RJ-100 Avroliner,RJ1H,E3382,L4J,TLR,,,
020125,CNA-SM,Avro,RJ-100 Avroliner,RJ1H,E3387,L4J,,,,
03001e,A2-ABG,Avro,RJ-85 Avroliner,RJ85,E2303,L4J,BOT,,,
03001f,A2-ABH,Avro,RJ-85 Avroliner,RJ85,E2304,L4J,BOT,,,
044052,9G-SBE,Avro,RJ-100 Avroliner,RJ1H,E3332,L4J,IKM,2016-09-06,,1998-01-01
4005c4,G-BVYS,Avro,RJ-100 Avroliner,RJ1H,E3259,L4J,,2017-09-20,,1995-01-01
4008bb,G-CFAB,Avro,RJ-100 Avroliner,RJ1H,E3377,L4J,,2016-12-20,,2000-01-01
4008bc,G-CFAC,Avro,RJ-100 Avroliner,RJ1H,E3379,L4J,,2017-08-08,,2000-01-01
4008bd,G-CFAD,Avro,RJ-100 Avroliner,RJ1H,E3380,L4J,,2016-12-06,,2000-01-01
4008d7,G-CFAE,Avro,RJ-100 Avroliner,RJ1H,E3381,L4J,,2016-11-07,,2001-01-01
4008d9,G-CFAH,Avro,RJ-100 Avroliner,RJ1H,E3384,L4J,,2017-06-12,,2001-01-01
400fb2,G-CEBU,Avro,RJ-85 Avroliner,RJ85,E2335,L4J,,2017-06-21,,1998-01-01
401408,G-AHKX,Avro,652A Anson C.19 Series 2,ANSN,1333,L2P,,1994-11-22,,1946-01-01
401cff,G-VROE,Avro,652A Anson T.21,ANSN,3634,L2P,,2017-03-21,,1950-01-01
406524,G-ASXX,Avro,683 Lancaster B7,LANC,NX611,L4P,,2016-09-29,,1945-01-01
40673b,G-JOTR,Avro,RJ-85 Avroliner,RJ85,E2294,L4J,ENZ,2016-01-12,,1996-01-01
4068ea,G-SKTN,Avro,696 Shackleton MR2,SHAC,WR963,L4P,,2013-02-04,,1954-01-01
406924,G-CHRF,Avro,RJ-85 Avroliner,RJ85,E2297,L4J,,2017-07-03,,1996-01-01
4071d4,G-CJKC,Avro,RJ-100 Avroliner,RJ1H,E3340,L4J,,2016-10-04,,1998-01-01
407221,G-CJNS,Avro,RJ-100 Avroliner,RJ1H,E3342,L4J,,2016-11-21,,1999-01-01
40732e,G-JOTS,Avro,RJ-100 Avroliner,RJ1H,E3355,L4J,ENZ,2017-07-07,,1999-01-01
4073da,G-CKKA,Avro,RJ-100 Avroliner,RJ1H,E3315,L4J,,2017-07-03,,1997-01-01
407428,G-CKNP,Avro,RJ-100 Avroliner,RJ1H,E3284,L4J,,2017-09-20,,1996-01-01
407452,G-CKRG,Avro,RJ-100 Avroliner,RJ1H,E3359,L4J,,2017-10-04,,1999-01-01
4245ec,VP-LOS,Avro,RJ-100 Avroliner,RJ1H,E3282,L4J,,,,
4245f0,VP-LWW,Avro,RJ-100 Avroliner,RJ1H,E3274,L4J,,,,
43c2fb,QQ102,Avro,RJ-70 Avroliner,RJ70,E1254,L4J,,,,
43c392,PA474,Avro,683 Lancaster B1,LANC,PA474,L4P,SHF,,,
43c5f3,QQ101,Avro,RJ-100 Avroliner,RJ1H,E3368,L4J,,,,
43ea65,M-STRY,Avro,RJ-70 Avroliner,RJ70,E1267,L4J,FOR,,,
4492e1,OO-DWA,Avro,RJ-100 Avroliner,RJ1H,E3308,L4J,DAT,,,
4492e2,OO-DWB,Avro,RJ-100 Avroliner,RJ1H,E3315,L4J,DAT,,,
4492e3,OO-DWC,Avro,RJ-100 Avroliner,RJ1H,E3322,L4J,DAT,,,
4492e4,OO-DWD,Avro,RJ-100 Avroliner,RJ1H,E3324,L4J,DAT,,,
4492e5,OO-DWE,Avro,RJ-100 Avroliner,RJ1H,E3327,L4J,DAT,,,
4492e6,OO-DWF,Avro,RJ-100 Avroliner,RJ1H,E3332,L4J,DAT,,,
4492e7,OO-DWG,Avro,RJ-100 Avroliner,RJ1H,E3336,L4J,DAT,,,
4492e8,OO-DWH,Avro,RJ-100 Avroliner,RJ1H,E3340,L4J,DAT,,,
4492e9,OO-DWI,Avro,RJ-100 Avroliner,RJ1H,E3342,L4J,DAT,,,
4492ea,OO-DWJ,Avro,RJ-100 Avroliner,RJ1H,E3355,L4J,DAT,,,
4492eb,OO-DWK,Avro,RJ-100 Avroliner,RJ1H,E3360,L4J,DAT,,,
4492ec,OO-DWL,Avro,RJ-100 Avroliner,RJ1H,E3361,L4J,DAT,,,
4695a9,SX-EMI,Avro,RJ-85 Avroliner,RJ85,E2305,L4J,,,,
4695b3,SX-EMS,Avro,RJ-85 Avroliner,RJ85,E2296,L4J,,,,
4a8157,SE-DSO,Avro,RJ-100 Avroliner,RJ1H,E3221,L4J,SCW,,,
4a8158,SE-DSP,Avro,RJ-100 Avroliner,RJ1H,E3242,L4J,SCW,,,
4a8159,SE-DSR,Avro,RJ-100 Avroliner,RJ1H,E3244,L4J,SCW,,,
4a815a,SE-DSS,Avro,RJ-100 Avroliner,RJ1H,E3245,L4J,SCW,,,
4a815b,SE-DST,Avro,RJ-100 Avroliner,RJ1H,E3247,L4J,SCW,,,
4a815c,SE-DSU,Avro,RJ-100 Avroliner,RJ1H,E3248,L4J,SCW,,,
4a815d,SE-DSV,Avro,RJ-100 Avroliner,RJ1H,E3250,L4J,SCW,,,
4a815e,SE-DSX,Avro,RJ-100 Avroliner,RJ1H,E3255,L4J,SCW,,,
4a815f,SE-DSY,Avro,RJ-100 Avroliner,RJ1H,E3263,L4J,SCW,,,
4a914e,SE-DJN,Avro,RJ-85 Avroliner,RJ85,E2231,L4J,SCW,,,
4a914f,SE-DJO,Avro,RJ-85 Avroliner,RJ85,E2226,L4J,SCW,,,
4ac949,SE-RJI,Avro,RJ-100 Avroliner,RJ1H,E3357,L4J,SCW,,,
4b1784,HB-IXO,Avro,RJ-100 Avroliner,RJ1H,E3284,L4J,SWR,,,
4b1785,HB-IXP,Avro,RJ-100 Avroliner,RJ1H,E3283,L4J,SWR,,,
4b1786,HB-IXQ,Avro,RJ-100 Avroliner,RJ1H,E3282,L4J,SWR,,,
4b1788,HB-IXS,Avro,RJ-100 Avroliner,RJ1H,E3280,L4J,SWR,,,
4b1789,HB-IXT,Avro,RJ-100 Avroliner,RJ1H,E3259,L4J,SWR,,,
4b178a,HB-IXU,Avro,RJ-100 Avroliner,RJ1H,E3276,L4J,SWR,,,
4b178b,HB-IXV,Avro,RJ-100 Avroliner,RJ1H,E3274,L4J,SWR,,,
4b17a0,HB-IYQ,Avro,RJ-100 Avroliner,RJ1H,E3384,L4J,SWR,,,
4b17a1,HB-IYR,Avro,RJ-100 Avroliner,RJ1H,E3382,L4J,SWR,,,
4b17a2,HB-IYS,Avro,RJ-100 Avroliner,RJ1H,E3381,L4J,SWR,,,
4b17a3,HB-IYT,Avro,RJ-100 Avroliner,RJ1H,E3380,L4J,SWR,,,
4b17a4,HB-IYU,Avro,RJ-100 Avroliner,RJ1H,E3379,L4J,SWR,,,
4b17a5,HB-IYV,Avro,RJ-100 Avroliner,RJ1H,E3377,L4J,SWR,,,
4b17a6,HB-IYW,Avro,RJ-100 Avroliner,RJ1H,E3359,L4J,SWR,,,
4b17a8,HB-IYY,Avro,RJ-100 Avroliner,RJ1H,E3339,L4J,SWR,,,
4b17a9,HB-IYZ,Avro,RJ-100 Avroliner,RJ1H,E3338,L4J,SWR,,,
4ca4c3,EI-RJR,Avro,RJ-85 Avroliner,RJ85,E2364,L4J,BCY,2006-11-27,,2000-01-01
4ca4e3,EI-RJO,Avro,RJ-85 Avroliner,RJ85,E2352,L4J,BCY,2007-01-11,,1999-01-01
4ca51d,EI-RJN,Avro,RJ-85 Avroliner,RJ85,E2351,L4J,BCY,2007-01-11,,1999-01-01
4ca51f,EI-RJT,Avro,RJ-85 Avroliner,RJ85,E2366,L4J,BCY,2007-04-16,,2000-01-01
4ca520,EI-RJU,Avro,RJ-85 Avroliner,RJ85,E2367,L4J,BCY,2007-05-24,,2000-01-01
4ca555,EI-RJI,Avro,RJ-85 Avroliner,RJ85,E2346,L4J,BCY,2007-05-02,,1999-01-01
4ca5be,EI-RJD,Avro,RJ-85 Avroliner,RJ85,E2334,L4J,BCY,2007-08-10,,1998-01-01
4ca5d9,EI-RJW,Avro,RJ-85 Avroliner,RJ85,E2371,L4J,BCY,2007-07-13,,2000-01-01
4ca5da,EI-RJX,Avro,RJ-85 Avroliner,RJ85,E2372,L4J,BCY,2007-09-20,,2000-01-01
4ca612,EI-RJF,Avro,RJ-85 Avroliner,RJ85,E2337,L4J,BCY,2007-08-24,,1998-01-01
4ca62b,EI-RJC,Avro,RJ-85 Avroliner,RJ85,E2333,L4J,BCY,2007-12-06,,1998-01-01
