icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
400d26,G-BWSG,BAC,Jet Provost T5,JPRO,EEP/JP/988,L1J,,2007-11-12,,1970-01-01
402062,G-BKOU,Hunting Percival,Jet Provost T3,JPRO,PAC/W/13901,L1J,,2009-02-05,,1961-01-01
4022b8,G-PROV,BAC,Jet Provost T52,JPRO,PAC/W/23905,L1J,,2001-06-18,,1967-01-01
402934,G-AOBU,Hunting Percival,Jet Provost T1,JPRO,P84/6,L1J,,1992-06-17,,1955-01-01
40382d,G-BVEZ,Hunting Percival,Jet Provost T3A,JPRO,PAC/W/9287,L1J,,2015-05-14,,1960-01-01
403971,G-BVSP,Hunting Percival,Jet Provost T3A,JPRO,PAC/W/6327,L1J,,2016-04-08,,1959-01-01
40398f,G-BVTC,BAC,Jet Provost T5A,JPRO,EEP/JP/997,L1J,,1994-09-07,,1970-01-01
403a0a,G-JPVA,BAC,Jet Provost T5A,JPRO,EEP/JP/953,L1J,,,,
403a7c,G-BWCS,BAC,Jet Provost T5,JPRO,EEP/JP/957,L1J,,2013-05-15,,1971-01-01
403aa8,G-BWDS,Hunting Percival,Jet Provost T3A,JPRO,PAC/W/932,L1J,,2008-10-13,,1960-01-01
403ab5,G-BWEB,BAC,Jet Provost T5A,JPRO,EEP/JP/1044,L1J,,2017-05-11,,1971-01-01
403ae9,G-JPRO,BAC,Jet Provost T5A,JPRO,EEP/JP/1055,L1J,,2017-09-07,,1972-01-01
403af7,G-BWGF,BAC,Jet Provost T5A,JPRO,EEP/JP/989,L1J,,2016-12-06,,1970-01-01
403b01,G-BWGS,BAC,Jet Provost T5A,JPRO,EEP/JP/974,L1J,,,,
403bcd,G-BWOF,BAC,Jet Provost T5,JPRO,EEP/JP/955,L1J,,1997-03-03,,1969-01-01
403bdb,G-BWOT,Hunting Percival,Jet Provost T3A,JPRO,PAC/W/10138,L1J,,2016-04-11,,1961-01-01
403c1f,G-JPTV,BAC,Jet Provost T5A,JPRO,EEP/JP/1002,L1J,,2009-06-09,,1971-01-01
403c2e,G-BWSH,Hunting Percival,Jet Provost T3A,JPRO,PAC/W/10159,L1J,,1996-05-13,,1961-01-01
403e6a,G-BXLO,BAC,Jet Provost T4,JPRO,PAC/W/19986,L1J,,2009-06-09,,1963-01-01
7c2fb0,VH-JPE,BAC,Jet Provost T5A,JPRO,XW374,L1J,,,,1969-01-01
7c2fc1,VH-JPV,BAC,Jet Provost T5A,JPRO,XW295,L1J,,,,1969-01-01
7c7d05,VH-YZB,BAC,Jet Provost T5A,JPRO,EEP/JP/1012,L1J,,,,
7c7d06,VH-YZC,BAC,Jet Provost T5A,JPRO,EEP/JP/1030,L1J,,,,
a1a1b5,N204JP,BAC,Jet Provost T4,JPRO,XR701,L1J,,,2023-08-31,1965-01-01
a1dbc7,N219JP,BAC,Jet Provost T4,JPRO,XS219,L1J,,,2022-12-31,1964-01-01
a2ea1e,N287XW,BAC,Jet Provost T5,JPRO,XW287,L1J,,,2022-09-30,1970-01-01
a3205e,N300LT,BAC,Jet Provost T5A,JPRO,XW354,L1J,,,2022-12-31,1970-01-01
a351f6,N313A,BAC,Jet Provost T5A,JPRO,XW306,L1J,,,2023-06-30,1974-01-01
a35375,N313RH,BAC,Jet Provost T5A,JPRO,EEP/JP/977,L1J,,,,
