icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0082b7,ZS-BAC,Bell,206B-3 JetRanger III,B06,3851,H1T,,,,
00860a,ZS-CGV,Bell,407,B407,53786,H1T,,,,
009296,ZS-HAJ,Bell,206B-3 JetRanger III,B06,3504,H1T,,,,
009298,ZS-HAL,Bell,407,B407,53810,H1T,,,,
0092bd,ZS-HBW,Bell,206L-3 LongRanger III,B06,45450,H1T,,,,
0092bf,ZS-HBY,Bell,206B-3 JetRanger III,B06,4657,H1T,,,,
0092c6,ZS-HCF,Bell,407,B407,53531,H1T,,,,
0092c9,ZS-HCI,Bell,206B-3 JetRanger III,B06,4268,H1T,,,,
0092ca,ZS-HCJ,Bell,206B-3 JetRanger III,B06,3383,H1T,,,,
0092d4,ZS-HCT,Bell,206B JetRanger II,B06,212,H1T,,,,
0092da,ZS-HCZ,Bell,206B-3 JetRanger III,B06,4110,H1T,,,,
0092dd,ZS-HDC,Bell,47G-4A,B47G,7664,H1P,,,,
0092e0,ZS-HDF,Bell,222UT,B222,47525,H2T,,,,
0092e2,ZS-HDH,Bell,206L-4 LongRanger IV,B06,52402,H1T,,,,
0092ed,ZS-HDS,Bell,222UT,B222,47574,H2T,,,,
0092f0,ZS-HDV,Bell,206B JetRanger II,B06,1063,H1T,,,,
0092f2,ZS-HDX,Bell,206L LongRanger,B06,45538,H1T,,,,
0092f4,ZS-HDZ,Bell,206B JetRanger II,B06,1319,H1T,,,,
0092ff,ZS-HEK,Bell,407,B407,53951,H1T,,,,
009312,ZS-HFD,Bell,206B-3 JetRanger III,B06,1809,H1T,,,,
009313,ZS-HFE,Bell,407,B407,54019,H1T,,,,
009320,ZS-HFR,Bell,206B-3 JetRanger III,B06,2206,H1T,,,,
00932a,ZS-HGB,Bell,Sioux AH.1,B47G,WA568,H1P,,,,
009335,ZS-HGM,Bell,206B-3 JetRanger III,B06,4665,H1T,,,,
009337,ZS-HGO,Bell,206B-3 JetRanger III,B06,2450,H1T,,,,
00933a,ZS-HGR,Bell,206B JetRanger II,B06,2075,H1T,,,,
00933d,ZS-HGU,Bell,UH-1H Iroquois,UH1,8976,H1T,,,,
00933e,ZS-HGV,Bell,Sioux AH.1,B47G,WA565,H1P,,,,
009341,ZS-HGY,Bell,Sioux AH.1,B47G,WA599,H1P,,,,
009342,ZS-HGZ,Bell,Sioux AH.1,B47G,WA342,H1P,,,,
009344,ZS-HHB,Bell,Sioux AH.1,B47G,WA446,H1P,,,,
009345,ZS-HHC,Bell,206B-3 JetRanger III,B06,2257,H1T,,,,
009347,ZS-HHE,Bell,206B-3 JetRanger III,B06,2302,H1T,,,,
009348,ZS-HHF,Bell,206L LongRanger,B06,45170,H1T,,,,
00934d,ZS-HHK,Bell,UH-1H Iroquois,UH1,12839,H1T,,,,
00934f,ZS-HHM,Bell,206B-3 JetRanger III,B06,3676,H1T,,,,
009355,ZS-HHS,Bell,212,B212,30661,H2T,,,,
009357,ZS-HHU,Bell,430,B430,49041,H2T,,,,
00935b,ZS-HHY,Bell,430,B430,49050,H2T,,,,
00935d,ZS-HIA,Bell,206B-3 JetRanger III,B06,2713,H1T,,,,
00935e,ZS-HIB,Bell,206L LongRanger,B06,45303,H1T,,,,
009368,ZS-HIL,Bell,Sioux AH.1,B47G,WA391,H1P,,,,
00936a,ZS-HIN,Bell,206B-3 JetRanger III,B06,3011,H1T,,,,
00937e,ZS-HJH,Bell,206B JetRanger II,B06,1125,H1T,,,,
00937f,ZS-HJI,Bell,206B-3 JetRanger III,B06,3123,H1T,,,,
009380,ZS-HJJ,Bell,206B-3 JetRanger III,B06,3152,H1T,,,,
009382,ZS-HJL,Bell,206L LongRanger,B06,45536,H1T,,,,
00938a,ZS-HJT,Bell,Sioux AH.1,B47G,WA440,H1P,,,,
00938b,ZS-HJU,Bell,206B-3 JetRanger III,B06,3238,H1T,,,,
00938c,ZS-HJV,Bell,230,B230,23026,H2T,,,,
00938f,ZS-HJY,Bell,206B-3 JetRanger III,B06,3299,H1T,,,,
009390,ZS-HJZ,Bell,206B-3 JetRanger III,B06,3320,H1T,,,,
009394,ZS-HKD,Bell,206B-3 JetRanger III,B06,3347,H1T,,,,
009395,ZS-HKE,Bell,206B-3 JetRanger III,B06,3302,H1T,,,,
009396,ZS-HKF,Bell,206B-3 JetRanger III,B06,3438,H1T,,,,
009397,ZS-HKG,Bell,206B-3 JetRanger III,B06,4117,H1T,,,,
0093a4,ZS-HKT,Bell,206L-3 LongRanger III,B06,51048,H1T,,,,
0093b3,ZS-HLI,Bell,UH-1H Iroquois,UH1,5272,H1T,,,,
0093b4,ZS-HLJ,Bell,UH-1H Iroquois,UH1,8800,H1T,,,,
0093b5,ZS-HLK,Bell,UH-1H Iroquois,UH1,9960,H1T,,,,
0093ba,ZS-HLP,Bell,UH-1H Iroquois,UH1,10484,H1T,,,,
0093c2,ZS-HLX,Bell,UH-1H Iroquois,UH1,12481,H1T,,,,
0093c3,ZS-HLY,Bell,Sioux AH.1,B47G,WA419,H1P,,,,
0093c4,ZS-HLZ,Bell,UH-1H Iroquois,UH1,11162,H1T,,,,
0093c6,ZS-HMB,Bell,206B-3 JetRanger III,B06,3639,H1T,,,,
0093d6,ZS-HMR,Bell,407,B407,54002,H1T,,,,
0093d7,ZS-HMS,Bell,222A,B222,47014,H2T,,,,
0093d8,ZS-HMT,Bell,206L LongRanger,B06,45226,H1T,,,,
0093d9,ZS-HMU,Bell,206B JetRanger II,B06,88,H1T,,,,
0093e9,ZS-HNK,Bell,206B-3 JetRanger III,B06,4633,H1T,,,,
009408,ZS-HOP,Bell,407,B407,53701,H1T,,,,
00941d,ZS-HPK,Bell,230,B230,23034,H2T,,,,
009427,ZS-HPU,Bell,206B-3 JetRanger III,B06,2337,H1T,,,,
009456,ZS-HRP,Bell,212,B212,30801,H2T,,,,
009458,ZS-HRR,Bell,206B-3 JetRanger III,B06,4689,H1T,,,,
009462,ZS-HSB,Bell,206B-3 JetRanger III,B06,2983,H1T,,,,
009463,ZS-HSC,Bell,206B-3 JetRanger III,B06,4105,H1T,,,,
009469,ZS-HSI,Bell,206B-3 JetRanger III,B06,2671,H1T,,,,
009473,ZS-HSS,Bell,206B-3 JetRanger III,B06,4678,H1T,,,,
00948c,ZS-HTR,Bell,206B-3 JetRanger III,B06,2556,H1T,,,,
00948e,ZS-HTT,Bell,206B-3 JetRanger III,B06,2804,H1T,,,,
00948f,ZS-HTU,Bell,206B-3 JetRanger III,B06,2277,H1T,,,,
009490,ZS-HTV,Bell,206B-3 JetRanger III,B06,2416,H1T,,,,
009494,ZS-HTZ,Bell,UH-1H Iroquois,UH1,11262,H1T,,,,
009497,ZS-HUC,Bell,206B JetRanger II,B06,1723,H1T,,,,
009499,ZS-HUE,Bell,206B-3 JetRanger III,B06,2472,H1T,,,,
0094a0,ZS-HUL,Bell,TH-13T Sioux,B47G,3771,H1P,,,,
0094ab,ZS-HUW,Bell,47G-3B-2,B47G,6714,H1P,,,,
0094c0,ZS-HVR,Bell,407,B407,53933,H1T,,,,
0094c4,ZS-HVV,Bell,206L-3 LongRanger III,B06,51151,H1T,,,,
0094c5,ZS-HVW,Bell,407,B407,53711,H1T,,,,
0094c9,ZS-HWA,Bell,206L-4 LongRanger IV,B06,52140,H1T,,,,
0094cb,ZS-HWC,Bell,206L LongRanger,B06,45775,H1T,,,,
0094dd,ZS-HWU,Bell,206B-3 JetRanger III,B06,3677,H1T,,,,
0094de,ZS-HWV,Bell,206B-3 JetRanger III,B06,2427,H1T,,,,
0094e2,ZS-HWZ,Bell,206B-3 JetRanger III,B06,3784,H1T,,,,
0094e9,ZS-HXG,Bell,206L-3 LongRanger III,B06,51346,H1T,,,,
0094ee,ZS-HXL,Bell,206B-3 JetRanger III,B06,4106,H1T,,,,
0094f0,ZS-HXN,Bell,206L-3 LongRanger III,B06,51150,H1T,,,,
0094f8,ZS-HXV,Bell,206B-3 JetRanger III,B06,3535,H1T,,,,
0094fc,ZS-HXZ,Bell,206L-3 LongRanger III,B06,51413,H1T,,,,
00950c,ZS-HYP,Bell,206L-4 LongRanger IV,B06,52384,H1T,,,,
009ff7,ZS-MCC,Bell,407,B407,53766,H1T,,,,
00a78c,ZS-OYT,Bell,47G-5A,B47G,25098,H1P,,,,
00a7e6,ZS-PCF,Bell,407,B407,53709,H1T,,,,
00a9a8,ZS-PTN,Bell,206B-3 JetRanger III,B06,4610,H1T,,,,
00aa00,ZS-PWX,Bell,206B-3 JetRanger III,B06,4627,H1T,,,,
00aa21,ZS-PYE,Bell,407,B407,53774,H1T,,,,
00acf7,ZS-RAC,Bell,206L-4 LongRanger IV,B06,52306,H1T,,,,
00acfd,ZS-RAI,Bell,UH-1H Iroquois,UH1,5657,H1T,,,,
00ad09,ZS-RAU,Bell,206B JetRanger II,B06,44,H1T,,,,
00ad12,ZS-RBD,Bell,TH-13T Sioux,B47G,3613,H1P,,,,
00ad1a,ZS-RBL,Bell,407,B407,53548,H1T,,,,
00ad24,ZS-RBV,Bell,206B-3 JetRanger III,B06,4188,H1T,,,,
00ad3a,ZS-RCR,Bell,206B-3 JetRanger III,B06,4228,H1T,,,,
00ad3f,ZS-RCW,Bell,206L-4 LongRanger IV,B06,52018,H1T,,,,
00ad42,ZS-RCZ,Bell,206B-3 JetRanger III,B06,4267,H1T,,,,
00ad43,ZS-RDA,Bell,206B-3 JetRanger III,B06,4266,H1T,,,,
00ad4f,ZS-RDM,Bell,206B-3 JetRanger III,B06,4122,H1T,,,,
00ad50,ZS-RDN,Bell,206B-3 JetRanger III,B06,2668,H1T,,,,
00ad54,ZS-RDR,Bell,206B-3 JetRanger III,B06,4183,H1T,,,,
00ad5c,ZS-RDZ,Bell,TH-13T Sioux,B47G,3550,H1P,,,,
00ad5f,ZS-REC,Bell,206L LongRanger,B06,45341,H1T,,,,
00ad63,ZS-REG,Bell,206L-4 LongRanger IV,B06,52030,H1T,,,,
00ad6a,ZS-REN,Bell,206L LongRanger,B06,45606,H1T,,,,
00ad6c,ZS-REP,Bell,206B-3 JetRanger III,B06,4095,H1T,,,,
00ad75,ZS-REY,Bell,206B-3 JetRanger III,B06,3397,H1T,,,,
00ad7a,ZS-RFD,Bell,206B-3 JetRanger III,B06,2940,H1T,,,,
00ad7b,ZS-RFE,Bell,206B-3 JetRanger III,B06,3809,H1T,,,,
00ad83,ZS-RFM,Bell,206B-3 JetRanger III,B06,2890,H1T,,,,
00ad89,ZS-RFS,Bell,206L-4 LongRanger IV,B06,52116,H1T,,,,
00ad98,ZS-RGH,Bell,206B-3 JetRanger III,B06,3212,H1T,,,,
00ad9c,ZS-RGL,Bell,206L-3 LongRanger III,B06,51489,H1T,,,,
00ada7,ZS-RGW,Bell,206L LongRanger,B06,45281,H1T,,,,
00adb2,ZS-RHH,Bell,206B-3 JetRanger III,B06,3749,H1T,,,,
00adb4,ZS-RHJ,Bell,407,B407,53021,H1T,,,,
00adb5,ZS-RHK,Bell,407,B407,53034,H1T,,,,
00adb8,ZS-RHN,Bell,407,B407,53817,H1T,,,,
00adba,ZS-RHP,Bell,206B-3 JetRanger III,B06,4430,H1T,,,,
00adbe,ZS-RHT,Bell,407,B407,53723,H1T,,,,
00adc4,ZS-RHZ,Bell,206L-4 LongRanger IV,B06,52186,H1T,,,,
00adc6,ZS-RIB,Bell,407,B407,53078,H1T,,,,
00adca,ZS-RIF,Bell,206B-3 JetRanger III,B06,2939,H1T,,,,
00add1,ZS-RIM,Bell,206L-3 LongRanger III,B06,51430,H1T,,,,
00ade4,ZS-RJF,Bell,407,B407,53251,H1T,,,,
00ade9,ZS-RJK,Bell,206B-3 JetRanger III,B06,3811,H1T,,,,
00adeb,ZS-RJM,Bell,206B-3 JetRanger III,B06,2992,H1T,,,,
00adf0,ZS-RJR,Bell,407,B407,53234,H1T,,,,
00ae10,ZS-RKX,Bell,407,B407,53501,H1T,,,,
00ae14,ZS-RLB,Bell,407,B407,53334,H1T,,,,
00ae1f,ZS-RLM,Bell,407GX,B407,54339,H1T,,,,
00ae25,ZS-RLS,Bell,407,B407,53009,H1T,,,,
