icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
a1a298,N204TR,Bell/Boeing,MV-22B Osprey,V22,D0043,T2T,,,,
ae1477,166723,Bell/Boeing,MV-22B Osprey,V22,D0092,T2T,,,,
ae498b,08-0037,Bell/Boeing,CV-22B Osprey,V22,D1018,T2T,AIO,,,
ae498c,08-0038,Bell/Boeing,CV-22B Osprey,V22,D1019,T2T,AIO,,,
ae498d,08-0039,Bell/Boeing,CV-22B Osprey,V22,D1020,T2T,AIO,,,
ae4a7e,07-0033,Bell/Boeing,CV-22B Osprey,V22,D1014,T2T,AIO,,,
ae4ecd,09-0046,Bell/Boeing,CV-22B Osprey,V22,D1027,T2T,AIO,,,
ae5406,08-0050,Bell/Boeing,CV-22B Osprey,V22,D1038,T2T,AIO,,,
ae5407,08-0051,Bell/Boeing,CV-22B Osprey,V22,D1042,T2T,AIO,,,
ae5409,11-0057,Bell/Boeing,CV-22B Osprey,V22,D1036,T2T,AIO,,,
ae540a,11-0058,Bell/Boeing,CV-22B Osprey,V22,D1037,T2T,AIO,,,
ae540b,11-0059,Bell/Boeing,CV-22B Osprey,V22,D1039,T2T,AIO,,,
ae540c,11-0060,Bell/Boeing,CV-22B Osprey,V22,D1040,T2T,AIO,,,
ae540d,11-0061,Bell/Boeing,CV-22B Osprey,V22,D1041,T2T,AIO,,,
ae571c,12-0062,Bell/Boeing,CV-22B Osprey,V22,D1043,T2T,AIO,,,
ae571d,12-0063,Bell/Boeing,CV-22B Osprey,V22,D1044,T2T,AIO,,,
ae571e,12-0064,Bell/Boeing,CV-22B Osprey,V22,D1045,T2T,AIO,,,
