icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
009d7c,ZS-LDR,Boeing-Stearman,PT-17,ST75,75-2173,L1P,,,,
009fc0,ZS-LZZ,Boeing-Stearman,N2S-3,ST75,75-6648,L1P,,,,
00a304,ZS-NGD,Boeing-Stearman,PT-13D,ST75,75-5919,L1P,,,,
00a884,ZS-PIH,Boeing-Stearman,PT-17,ST75,75-2379,L1P,,,,
00a903,ZS-PNE,Boeing-Stearman,PT-17,ST75,75-3160,L1P,,,,
38447b,F-AZIP,Boeing-Stearman,PT-17,ST75,75-341,L1P,,,,
38644a,F-AZCK,Boeing-Stearman,PT-17,ST75,75-1653,L1P,,,,
386468,F-AZDI,Boeing-Stearman,PT-13D,ST75,75-5238,L1P,,,,
386484,F-AZEE,Boeing-Stearman,N2S-4,ST75,75-3286,L1P,,,,
3864c9,F-AZGJ,Boeing-Stearman,N2S-5,ST75,SA028,L1P,,,,
3864cc,F-AZGM,Boeing-Stearman,PT-18,ST75,75-589,L1P,,,,
3864d1,F-AZGR,Boeing-Stearman,N2S-3,ST75,75-2650,L1P,,,,
386502,F-AZIC,Boeing-Stearman,PT-13D,ST75,75-5540,L1P,,,,
386531,F-AZJR,Boeing-Stearman,PT-13D,ST75,75-5656,L1P,,,,
386653,F-AZST,Boeing-Stearman,PT-17,ST75,75-2184,L1P,,,,
38bfdb,F-AZMZ,Boeing-Stearman,N2S-5,ST75,SA098,L1P,,,,
398184,F-HAME,Boeing-Stearman,PT-13B,ST75,75-190,L1P,,,,
398832,F-HCBS,Boeing-Stearman,PT-13B,ST75,75-883,L1P,,,,
398ea3,F-HDVD,Boeing-Stearman,N2S-4,ST75,75-940,L1P,,,,
3d09fb,D-ECAL,Boeing-Stearman,PT-13D,ST75,75-5535,L1P,,,,
3d0bd2,D-ECSO,Boeing-Stearman,N2S-2,ST75,75-1391,L1P,,,,
3d0dbd,D-EDLL,Boeing-Stearman,PT-17,ST75,75-2764,L1P,,,,
3d13e1,D-EFTX,Boeing-Stearman,N2S-4,ST75,75-3475,L1P,,,,
3d24bb,D-EMDV,Boeing-Stearman,PT-13D,ST75,75-5844,L1P,,,,
3d24e5,D-EMFL,Boeing-Stearman,PT-17,ST75,75-4695,L1P,,,,
3d29d1,D-EOBX,Boeing-Stearman,N2S-5,ST75,75-8232,L1P,,,,
3d2e35,D-EPTD,Boeing-Stearman,N2S-5,ST75,75-5322,L1P,,,,
3d3149,D-EQXL,Boeing-Stearman,PT-17,ST75,75-658,L1P,,,,
3d31a3,D-ERAX,Boeing-Stearman,N2S-3,ST75,75-7073,L1P,,,,
3d3c1b,D-EUZZ,Boeing-Stearman,PT-17,ST75,75-4959,L1P,,,,
40156f,G-AROY,Boeing-Stearman,A75N1,ST75,75-4775,L1P,,2016-01-07,,1942-01-01
4017a6,G-AWLO,Boeing-Stearman,E75,ST75,75-5563,L1P,,1986-10-17,,1943-01-01
40195a,G-AZLE,Boeing-Stearman,A75N1,ST75,75-8543,L1P,,1993-09-08,,1940-01-01
401a88,G-BAVO,Boeing-Stearman,A75N1,ST75,3250-1405,L1P,,2017-03-23,,1945-01-01
401f66,G-BIXN,Boeing-Stearman,A75N1,ST75,75-2248,L1P,,2000-10-05,,1941-01-01
4028c5,G-BNIW,Boeing-Stearman,A75N1,ST75,75-1526,L1P,,2017-08-14,,1941-01-01
402d98,G-NZSS,Boeing-Stearman,B75,ST75,75-8611,L1P,,2011-08-12,,1943-01-01
4030e7,G-ILLE,Boeing-Stearman,E75,ST75,75-5028,L1P,,2007-09-12,,1943-01-01
403137,G-BRUJ,Boeing-Stearman,A75N1,ST75,75-4299,L1P,,2016-09-20,,1942-01-01
403138,G-RJAH,Boeing-Stearman,A75N1,ST75,75-4041,L1P,,1990-04-06,,1942-01-01
403139,G-IIIG,Boeing-Stearman,A75N1,ST75,75-4354,L1P,,2007-09-29,,1943-01-01
40313a,G-BSDS,Boeing-Stearman,E75,ST75,75-118,L1P,,2009-07-21,,1938-01-01
4032bb,G-BSWC,Boeing-Stearman,E75,ST75,75-5560,L1P,,2017-05-09,,1944-01-01
4033ae,G-BTFG,Boeing-Stearman,A75N1,ST75,75-3441,L1P,,2002-06-26,,1940-01-01
403482,G-CCXA,Boeing-Stearman,A75N1,ST75,75-3616,L1P,,2004-11-29,,1942-01-01
4039b3,G-ISDN,Boeing-Stearman,A75N1,ST75,75-1263,L1P,,1995-02-06,,1941-01-01
404bd5,G-CCXB,Boeing-Stearman,B75N1,ST75,75-7854,L1P,,2009-12-23,,1942-01-01
