icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
006015,FAM-002,Hawker Beechcraft,Hawker 850XP,H25B,258750,L2J,,,,
00817d,ZS-AOA,British Aerospace,BAe 125-800A,H25B,258160,L2J,,,,
008190,ZS-AOT,Hawker Beechcraft,Hawker 800XP,H25B,258670,L2J,,,,
00855f,ZS-CAG,British Aerospace,BAe 125-700B,H25B,257172,L2J,,,,
008800,ZS-DAD,Hawker Beechcraft,Hawker 800XP,H25B,258477,L2J,,2016-11-01,,2000-01-01
008cfd,ZS-EXG,Hawker Beechcraft,Hawker 800XP,H25B,258406,L2J,,,,
009579,ZS-ICU,British Aerospace,BAe 125-700A,H25B,257113,L2J,,,,
0096bb,ZS-IPE,British Aerospace,BAe 125-700A,H25B,257202,L2J,AZR,,,
0099b5,ZS-JSM,British Aerospace,BAe-4112 Jetstream 41,JS41,41052,L2T,MCC,,,
009fdb,ZS-MBA,Hawker Beechcraft,Hawker 800XP,H25B,258460,L2J,COO,,,
00a127,ZS-MNU,Hawker Beechcraft,Hawker 800XP,H25B,258435,L2J,,,,
00a3dd,ZS-NOM,British Aerospace,BAe-4102 Jetstream 41,JS41,41047,L2T,MCC,,,
00a423,ZS-NRE,British Aerospace,BAe-4121 Jetstream 41,JS41,41048,L2T,,,,
00a424,ZS-NRF,British Aerospace,BAe-4101 Jetstream 41,JS41,41050,L2T,,,,
00a425,ZS-NRG,British Aerospace,BAe-4121 Jetstream 41,JS41,41051,L2T,,,,
00a426,ZS-NRH,British Aerospace,BAe-4121 Jetstream 41,JS41,41054,L2T,,,,
00a427,ZS-NRI,British Aerospace,BAe-4121 Jetstream 41,JS41,41061,L2T,,,,
00a428,ZS-NRJ,British Aerospace,BAe-4121 Jetstream 41,JS41,41062,L2T,,,,
00a588,ZS-OEX,British Aerospace,BAe-4121 Jetstream 41,JS41,41103,L2T,,,,
00a65a,ZS-OMZ,British Aerospace,BAe-4102 Jetstream 41,JS41,41037,L2T,,,,
00a93a,ZS-PPH,Hawker Beechcraft,Hawker 800XP,H25B,258717,L2J,,,,
00affb,ZS-SDU,British Aerospace,BAe 125-700A,H25B,257053,L2J,,,,
00b0df,ZS-SMO,British Aerospace,BAe 146-300,B463,E3169,L4J,,,,
00b10d,ZS-SOI,British Aerospace,BAe 125-700A,H25B,257144,L2J,,,,
00b116,ZS-SOR,British Aerospace,BAe 146-300,B463,E3155,L4J,DJU,,,
00b26a,ZS-TBT,British Aerospace,BAe 125-700A,H25B,257210,L2J,,,,
00b394,ZS-TNF,Hawker Beechcraft,Hawker 800XP,H25B,258724,L2J,,,,
00bb29,ZS-WJW,British Aerospace,BAe 125-700A,H25B,257159,L2J,,,,
00c28a,ZS-ZEN,British Aerospace,BAe 125-800A,H25B,258246,L2J,,,,
00c2f1,ZS-ZIM,Hawker Beechcraft,Hawker 800XP,H25B,258499,L2J,,,,
0100f2,SU-MAN,Hawker Beechcraft,Hawker 850XP,H25B,258832,L2J,AKN,,,
0200d7,CN-TMK,British Aerospace,BAe-3201 Jetstream 32,JS32,943,L2T,AFA,,,
0360ef,TN-AJE,British Aerospace,BAe 125-800A,H25B,258209,L2J,,,,
042c59,3C-AKK,British Aerospace,BAe 146-200,B462,E2069,L4J,,,,
04403c,9G-SBA,British Aerospace,BAe 146-300,B463,E3125,L4J,,,,
044046,9G-GAS,British Aerospace,BAe-3202 Jetstream 32,JS32,970,L2T,,,,
064004,5N-DGN,British Aerospace,BAe 125-1000B,H25C,259018,L2J,,,,
064059,5N-NPC,British Aerospace,BAe 125-800B,H25B,258109,L2J,,,,
064063,5N-JMB,Hawker Beechcraft,Hawker 800XP,H25B,258659,L2J,ARA,,,
064071,5N-BEX,British Aerospace,BAe 125-700B,H25B,257197,L2J,,,,
0640d9,5N-BMR,British Aerospace,BAe 125-800,H25B,258264,L2J,,,,
0640e2,5N-BMT,British Aerospace,BAe 125-800A,H25B,258231,L2J,,,,
0640e6,5N-BNE,British Aerospace,BAe 125-800,H25B,258265,L2J,,,,
064102,5N-BNM,Hawker Beechcraft,Hawker 800XP,H25B,258429,L2J,,,,
064115,5N-BOO,British Aerospace,BAe 125-800B,H25B,258143,L2J,COO,,,
06415f,5N-EXJ,Hawker Beechcraft,Hawker 800XP,H25B,258312,L2J,COO,,,
070104,6V-AIE,British Aerospace,BAe-3201 Jetstream 32,JS32,899,L2T,,,,
08800b,5V-TTM,Hawker Beechcraft,Hawker 800XP,H25B,258632,L2J,COO,,,
0a0041,7T-VCW,British Aerospace,BAe 125-700B,H25B,257163,L2J,,,,
0a8037,C6-SVA,British Aerospace,BAe 125-700A,H25B,257045,L2J,,,,
0a8039,C6-JAG,British Aerospace,BAe 125-700A,H25B,257120,L2J,,,,
0ac0a2,HK-4502,British Aerospace,BAe-4101 Jetstream 41,JS41,41091,L2T,EFY,,,
0ac0a6,HK-4522,British Aerospace,BAe-4101 Jetstream 41,JS41,41086,L2T,EFY,,,
0ac0ae,HK-4551,British Aerospace,BAe-4101 Jetstream 41,JS41,41089,L2T,EFY,,,
0ac105,HK-4670,Hawker Beechcraft,Hawker 800XP,H25B,258502,L2J,,,,
0ac124,HK-4765,British Aerospace,BAe-4101 Jetstream 41,JS41,41074,L2T,EFY,,,
0ac12d,HK-4775,British Aerospace,BAe-4101 Jetstream 41,JS41,41039,L2T,EFY,,,
0ac130,HK-4786-X,British Aerospace,BAe-4101 Jetstream 41,JS41,41098,L2T,EFY,,,
0ac160,HK-4844,British Aerospace,BAe-3201 Jetstream 32,JS32,888,L2T,,,,
0ac161,HK-4854,British Aerospace,BAe-3201 Jetstream 32,JS32,921,L2T,,,,
0d007d,XA-BWB,Hawker Beechcraft,Hawker 800XP,H25B,258581,L2J,,,,
0d0166,XB-JTN,British Aerospace,BAe 125-700A,H25B,257185,L2J,,,,
0d020b,XA-HHH,Hawker Beechcraft,Hawker 800XP,H25B,258554,L2J,,,,
0d0254,XA-TYK,Hawker Beechcraft,Hawker 800XP,H25B,258597,L2J,,2003-08-01,,2002-01-01
0d0262,XA-NTE,Hawker Beechcraft,Hawker 800XP,H25B,258638,L2J,,,,
0d02be,XA-KTY,British Aerospace,BAe 125-800A,H25B,258004,L2J,,,,
0d02d1,XA-JET,Hawker Beechcraft,Hawker 800XP,H25B,258628,L2J,,2004-11-23,,2003-01-01
0d03d3,XA-LEY,Hawker Beechcraft,Hawker 800XP,H25B,258731,L2J,,,,
0d0405,XA-RBV,British Aerospace,BAe 125-800,H25B,258275,L2J,,,,
0d0441,XA-LUN,British Aerospace,BAe 125-700B,H25B,257127,L2J,,,,
0d04b0,XA-GCC,British Aerospace,BAe 125-800A,H25B,258252,L2J,,,,
0d04cd,XB-MCB,Hawker Beechcraft,Hawker 800XP,H25B,258320,L2J,,,,
0d04e6,XA-JBG,Hawker Beechcraft,Hawker 800XP,H25B,258715,L2J,,,,
0d052d,XA-PBT,Hawker Beechcraft,Hawker 800XP,H25B,258601,L2J,,,,
0d054d,XA-TPB,Hawker Beechcraft,Hawker 800XP,H25B,258409,L2J,,,,
0d0559,XA-TEM,Hawker Beechcraft,Hawker 800XP,H25B,258431,L2J,,,,
0d057d,XA-GGP,Hawker Beechcraft,Hawker 800XP,H25B,258476,L2J,,,,
0d05ab,XA-OLA,Hawker Beechcraft,Hawker 850XP,H25B,258757,L2J,,,,
0d0643,XA-NIC,Hawker Beechcraft,Hawker 800XP,H25B,258552,L2J,,,,
0d0668,XA-LEX,British Aerospace,BAe 125-800A,H25B,258187,L2J,,,,
0d0672,XA-RAA,British Aerospace,BAe 125-800A,H25B,258220,L2J,PNU,,,
0d06bf,XA-JMR,Hawker Beechcraft,Hawker 800XP,H25B,258530,L2J,,,,
0d06ca,XA-STK,Hawker Beechcraft,Hawker 800XP,H25B,258383,L2J,,,,
0d06e4,XA-ASH,British Aerospace,BAe 125-800B,H25B,258082,L2J,,,,
0d06f9,XA-GBP,Hawker Beechcraft,Hawker 800XP,H25B,258749,L2J,,,,
0d072d,XA-PIE,Hawker Beechcraft,Hawker 800XP,H25B,258327,L2J,,,,
0d073e,XA-RLV,British Aerospace,BAe 125-800A,H25B,258035,L2J,,,,
0d074c,XA-UPE,British Aerospace,BAe 125-700A,H25B,257019,L2J,,,,
0d0750,XA-DAR,Hawker Beechcraft,Hawker 800XP,H25B,258753,L2J,,,,
0d075a,XA-ELX,Hawker Beechcraft,Hawker 800XP,H25B,258413,L2J,,,,
0d07c3,XA-CHK,Hawker Beechcraft,Hawker 800XP,H25B,258727,L2J,,,,
0d07d2,XA-HEL,Hawker Beechcraft,Hawker 800XP,H25B,258489,L2J,,,,
0d07e5,XA-WNG,Hawker Beechcraft,Hawker 800XP,H25B,258397,L2J,,,,
0d07ed,XA-PYC,Hawker Beechcraft,Hawker 800XP,H25B,258644,L2J,,,,
