icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0200e6,CN-ATM,Canadair,CL-415,CL2T,2079,A2T,,,,
0200ee,CN-ATN,Canadair,CL-415,CL2T,2080,A2T,,,,
020107,CN-ATO,Canadair,CL-415,CL2T,2085,A2T,,,,
020109,CN-ATP,Canadair,CL-415,CL2T,2087,A2T,,,,
30023d,I-DPCD,Canadair,CL-415,CL2T,2003,A2T,,,,
30023e,I-DPCE,Canadair,CL-415,CL2T,2004,A2T,,,,
30023f,I-DPCO,Canadair,CL-415,CL2T,2009,A2T,,,,
300240,I-DPCP,Canadair,CL-415,CL2T,2020,A2T,,,,
300241,I-DPCQ,Canadair,CL-415,CL2T,2021,A2T,,,,
300243,I-DPCU,Canadair,CL-415,CL2T,2030,A2T,,,,
300244,I-DPCV,Canadair,CL-415,CL2T,2035,A2T,,,,
300245,I-DPCW,Canadair,CL-415,CL2T,2036,A2T,,,,
300247,I-DPCY,Canadair,CL-415,CL2T,2047,A2T,,,,
300249,I-DPCI,Canadair,CL-415,CL2T,2058,A2T,,,,
30024a,I-DPCF,Canadair,CL-415,CL2T,2059,A2T,,,,
30024b,I-DPCC,Canadair,CL-415,CL2T,2066,A2T,,,,
30024c,I-DPCH,Canadair,CL-415,CL2T,2062,A2T,,,,
3002ed,I-DPCR,Canadair,CL-415,CL2T,2074,A2T,,,,
344609,UD.14-04,Canadair,CL-415,CL2T,2090,A2T,AME,,,
353041,UD.14-01,Canadair,CL-415,CL2T,2064,A2T,AME,,,
353042,UD.14-02,Canadair,CL-415,CL2T,2067,A2T,AME,,,
354641,UD.14-03,Canadair,CL-415,CL2T,2069,A2T,AME,,,
3b7b6b,F-ZBMG,Canadair,CL-415,CL2T,2065,A2T,,,,
3b7b6c,F-ZBFX,Canadair,CL-415,CL2T,2007,A2T,,,,
3b7b6d,F-ZBFN,Canadair,CL-415,CL2T,2006,A2T,,,,
3b7b6f,F-ZBFP,Canadair,CL-415,CL2T,2002,A2T,,,,
3b7b70,F-ZBMF,Canadair,CL-415,CL2T,2063,A2T,,,,
3b7b71,F-ZBME,Canadair,CL-415,CL2T,2057,A2T,,,,
3b7b72,F-ZBEU,Canadair,CL-415,CL2T,2024,A2T,,,,
3b7b74,F-ZBEG,Canadair,CL-415,CL2T,2015,A2T,,,,
3b7b75,F-ZBFV,Canadair,CL-415,CL2T,2013,A2T,,,,
3b7b76,F-ZBFY,Canadair,CL-415,CL2T,2010,A2T,,,,
4bd168,TC-TKH,Canadair,CL-215,CL2P,1104,A2P,HVK,,,
4bd16a,TC-TKJ,Canadair,CL-215,CL2P,1007,A2P,HVK,,,
4bd16b,TC-TKK,Canadair,CL-215,CL2P,1030,A2P,HVK,,,
4bd16c,TC-TKL,Canadair,CL-215,CL2P,1011,A2P,HVK,,,
4bd16d,TC-TKM,Canadair,CL-215,CL2P,1027,A2P,HVK,,,
4bd174,TC-TKT,Canadair,CL-215,CL2P,1097,A2P,,,,
4bd176,TC-TKV,Canadair,CL-215,CL2P,1072,A2P,,,,
4bd179,TC-TKY,Canadair,CL-215,CL2P,1108,A2P,,,,
4bd17a,TC-TKZ,Canadair,CL-215,CL2P,1076,A2P,,,,
a40a30,N36CL,Canadair,CL-215,CL2P,1068,A2P,,,2023-01-31,
a46de0,N385AC,Canadair,CL-415,CL2T,2095,A2T,,,2022-08-31,2015-01-01
a47197,N386AC,Canadair,CL-415,CL2T,2093,A2T,,,2024-02-29,2015-01-01
a47cbc,N389AC,Canadair,CL-415,CL2T,2089,A2T,,,2022-08-31,2013-01-01
a48a3a,N392AC,Canadair,CL-415,CL2T,2092,A2T,,,2024-02-29,2014-01-01
a4e6de,N415BT,Canadair,CL-215T,CL2T,1081,A2T,,,2023-05-31,1985-01-01
a4ee4c,N417BT,Canadair,CL-215T,CL2T,1082,A2T,,,2023-08-31,1986-01-01
a88a9e,N65CL,Canadair,CL-215,CL2P,1065,A2P,,,2023-01-31,
c00090,C-FAFN,Canadair,CL-215T,CL2T,1093,A2T,,1996-01-16,,
c00091,C-FAFO,Canadair,CL-215T,CL2T,1094,A2P,,1996-01-16,,
c00092,C-FAFP,Canadair,CL-215T,CL2T,1100,A2P,,1988-03-03,,
c00093,C-FAFQ,Canadair,CL-215T,CL2T,1101,A2T,,1988-03-03,,
c001d9,C-FASE,Canadair,CL-215T,CL2T,1114,A2T,,1989-10-27,,
c0024d,C-FAWQ,Canadair,CL-215T,CL2T,1115,A2T,,1989-10-27,,
c0027e,C-FAYN,Canadair,CL-215,CL2P,1105,A2P,,2017-07-06,,
c00285,C-FAYU,Canadair,CL-215,CL2P,1106,A2P,,2018-11-06,,
c0094a,C-FDNL,Canadair,CL-415,CL2T,2091,A2T,,2014-07-24,,
c015c6,C-FIGJ,Canadair,CL-415,CL2T,2084,A2T,,2012-05-29,,
c02341,C-FNJC,Canadair,CL-415,CL2T,2077,A2T,,2010-08-12,,
c02583,C-FOFI,Canadair,CL-415,CL2T,2081,A2T,,2011-08-17,,
c028b7,C-FPKW,Canadair,CL-215T,CL2T,1103,A2T,,2017-07-14,,
c0344a,C-FTUV,Canadair,CL-215,CL2P,1020,A2P,,1998-02-17,,
c03483,C-FTXA,Canadair,CL-215,CL2P,1006,A2P,BVA,2018-08-28,,
c03489,C-FTXG,Canadair,CL-215,CL2P,1014,A2P,,1970-07-06,,
c0348b,C-FTXI,Canadair,CL-215,CL2P,1016,A2P,,1998-02-05,,
c0348c,C-FTXJ,Canadair,CL-215,CL2P,1017,A2P,,1971-02-08,,
c0348d,C-FTXK,Canadair,CL-215,CL2P,1018,A2P,,1971-01-28,,
c041a7,C-FYWK,Canadair,CL-415,CL2T,2094,A2T,,2015-10-05,,
c041ab,C-FYWO,Canadair,CL-215,CL2P,1003,A2P,,1997-04-16,,
c041ac,C-FYWP,Canadair,CL-215,CL2P,1002,A2P,BVA,2018-08-28,,
c041bd,C-FYXG,Canadair,CL-215,CL2P,1009,A2P,,1997-04-16,,
c048cf,C-GBOW,Canadair,CL-215,CL2P,1087,A2P,,1995-08-04,,
c048d6,C-GBPD,Canadair,CL-215,CL2P,1084,A2P,,2018-11-06,,
c049d1,C-GBYU,Canadair,CL-215,CL2P,1083,A2P,,2017-11-27,,
c04bdc,C-GCSX,Canadair,CL-215,CL2P,1088,A2P,,2017-11-27,,
c04d58,C-GDHN,Canadair,CL-215,CL2P,1089,A2P,,2017-11-27,,
c04daf,C-GDKW,Canadair,CL-215,CL2P,1095,A2P,,2017-07-06,,
c051fc,C-GFBF,Canadair,CL-215,CL2P,1082,A2P,,2016-08-22,,
c051fd,C-GFBG,Canadair,CL-215,CL2P,1102,A2P,,2016-08-22,,
c05204,C-GFBN,Canadair,CL-215,CL2P,1081,A2P,,2017-04-12,,
c05206,C-GFBP,Canadair,CL-215,CL2P,1090,A2P,,2016-12-05,,
c0537e,C-GFQB,Canadair,CL-215,CL2P,1092,A2P,,1995-11-10,,
c053bb,C-GFSK,Canadair,CL-215T,CL2T,1085,A2T,,2006-05-05,,
