icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
1406f5,RA-01781,Cirrus,SR22,SR22,2986,L1P,,,,
3004de,I-SRIT,Cirrus,SR20,SR20,2075,L1P,,,,
3424c6,EC-JXL,Cirrus,SR22,SR22,1863,L1P,,,,
342610,EC-KAA,Cirrus,SR22,SR22,1932,L1P,,,,
34314f,EC-JYM,Cirrus,SR22,SR22,2054,L1P,,,,
343151,EC-KIH,Cirrus,SR22,SR22,2503,L1P,,,,
343154,EC-KKH,Cirrus,SR20,SR20,1814,L1P,,,,
343155,EC-KLY,Cirrus,SR22,SR22,2689,L1P,,,,
343156,EC-KLX,Cirrus,SR22,SR22,1545,L1P,,,,
343212,EC-KST,Cirrus,SR22,SR22,2837,L1P,,,,
3433cd,EC-KYG,Cirrus,SR22,SR22,3318,L1P,,,,
343518,EC-LDD,Cirrus,SR20,SR20,1861,L1P,,,,
344256,EC-KLZ,Cirrus,SR22,SR22,2696,L1P,,,,
344259,EC-LMS,Cirrus,SR22 G2,SR22,1330,L1P,,,,
393071,F-GMDR,Cirrus,SR22,SR22,2408,L1P,,,,
393c26,F-GPBG,Cirrus,SR20 G2,SR20,1502,L1P,,,,
393da2,F-GPNC,Cirrus,SR20,SR20,1408,L1P,,,,
394503,F-GRID,Cirrus,SR20,SR20,1347,L1P,,,,
394a43,F-GSSD,Cirrus,SR20 GTS,SR20,1858,L1P,,,,
394ab3,F-GSVT,Cirrus,SR22 GTS,SR22,2071,L1P,,,,
394c48,F-GTCI,Cirrus,SR20,SR20,1768,L1P,,,,
394da2,F-GTNC,Cirrus,SR20,SR20,1701,L1P,,,,
3950ec,F-GUHM,Cirrus,SR22,SR22,3883,L1P,,,,
39564f,F-GVSP,Cirrus,SR20,SR20,1813,L1P,,,,
395d42,F-GXKC,Cirrus,SR22 GTS G3,SR22,1318,L1P,,,,
395de1,F-GXPB,Cirrus,SR22,SR22,0390,L1P,,,,
395dec,F-GXPM,Cirrus,SR20,SR20,1410,L1P,,,,
395e64,F-GXTE,Cirrus,SR20,SR20,1047,L1P,,,,
395e71,F-GXTR,Cirrus,SR20,SR20,1795,L1P,,,,
395f0f,F-GXYP,Cirrus,SR20,SR20,1489,L1P,,,,
3960a5,F-GYFF,Cirrus,SR20,SR20,1331,L1P,,,,
39622c,F-GYRM,Cirrus,SR22,SR22,1273,L1P,,,,
396235,F-GYRV,Cirrus,SR20,SR20,1903,L1P,,,,
39658b,F-GZML,Cirrus,SR20,SR20,1691,L1P,,,,
396592,F-GZMS,Cirrus,SR22,SR22,1565,L1P,,,,
396645,F-GZSF,Cirrus,SR20 G2,SR20,1487,L1P,,,,
398063,F-HADD,Cirrus,SR20 G2,SR20,1619,L1P,,,,
398068,F-HADI,Cirrus,SR20 GTS,SR20,1549,L1P,,,,
