icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
00a8c2,ZS-PKR,Dassault,Falcon 2000,F2TH,114,L2J,,,,
036bc1,TN-ELS,Dassault,Falcon 7X,FA7X,232,L3J,,2014-11-01,,2014-01-01
0640f0,5N-FGU,Dassault,Falcon 7X,FA7X,90,L3J,NGR,,,
0640f1,5N-FGV,Dassault,Falcon 7X,FA7X,126,L3J,NGR,2011-01-01,,2011-01-01
067c02,VQ-BFN,Dassault,Falcon 7X,FA7X,27,L3J,,,,2008-01-01
098014,J2-HPV,Dassault,Falcon 7X,FA7X,43,L3J,,,,
0d0085,XA-MAR,Dassault,Falcon 7X,FA7X,10,L3J,,,,
0d01cf,XA-AVE,Dassault,Falcon 2000,F2TH,175,L2J,LET,2002-04-01,,2001-01-01
0d0493,XA-CXW,Dassault,Falcon 7X,FA7X,32,L3J,VME,2008-11-01,,2008-01-01
0d07bf,XA-JHS,Dassault,Falcon 7X,FA7X,192,L3J,,,,
0d090f,XA-GNI,Dassault,Falcon 7X,FA7X,252,L3J,,,,
0d0937,XA-RHA,Dassault,Falcon 2000,F2TH,107,L2J,,,,
0d094d,XA-GOR,Dassault,Falcon 7X,FA7X,261,L3J,,2015-11-01,,2015-01-01
14232f,RA-09007,Dassault,Falcon 7X,FA7X,20,L3J,RSD,,,
142331,RA-09009,Dassault,Falcon 7X,FA7X,264,L3J,GZP,2010-03-22,2016-01-01,2008-01-01
142332,RA-09010,Dassault,Falcon 7X,FA7X,71,L3J,RSD,,,
142382,RA-09090,Dassault,Falcon 7X,FA7X,247,L3J,RSD,2016-09-01,,2015-01-01
142581,RA-09601,Dassault,Falcon 7X,FA7X,253,L3J,GZP,,,
142582,RA-09602,Dassault,Falcon 7X,FA7X,256,L3J,GZP,,,
142583,RA-09603,Dassault,Falcon 7X,FA7X,229,L3J,GZP,,,
142587,RA-09607,Dassault,Falcon 7X,FA7X,275,L3J,GZP,,,
142590,RA-09616,Dassault,Falcon 7X,FA7X,191,L3J,BIV,,,
20103f,V5-GON,Dassault,Falcon 7X,FA7X,127,L3J,,,,
30011f,I-FLYV,Dassault,Falcon 2000,F2TH,108,L2J,EEU,,,
3001a7,I-ARIF,Dassault,Falcon 2000,F2TH,203,L2J,EEU,,,
3001ca,I-SEAE,Dassault,Falcon 2000,F2TH,200,L2J,,,,
30029d,I-JAMJ,Dassault,Falcon 2000EX EASy,F2TH,108,L2J,,,,
300371,I-KERE,Dassault,Falcon 2000,F2TH,197,L2J,,,,
300440,I-FFRR,Dassault,Falcon 7X,FA7X,94,L3J,EEU,,,
300473,I-JAMI,Dassault,Falcon 7X,FA7X,81,L3J,,,,
300490,I-GEFD,Dassault,Falcon 2000,F2TH,191,L2J,,,,
341545,EC-HYI,Dassault,Falcon 2000,F2TH,150,L2J,,,,
342496,EC-JXR,Dassault,Falcon 2000,F2TH,55,L2J,,,,
3434ce,EC-LGV,Dassault,Falcon 2000LX,F2TH,198,L2J,EXU,,,
34361a,EC-LLV,Dassault,Falcon 7X,FA7X,117,L3J,,,,
381c5a,F-WWHA,Dassault,Falcon 7X,FA7X,280,L3J,DAB,,,
3825da,F-WWVK,Dassault,Falcon 8X,FA8X,433,L3J,DAB,,,
3825fa,F-WWVL,Dassault,Falcon 8X,FA8X,434,L3J,DAB,,,
38261a,F-WWVM,Dassault,Falcon 8X,FA8X,435,L3J,DAB,,,
38263a,F-WWVN,Dassault,Falcon 7X,FA7X,247,L3J,DAB,,,
3829fb,F-WFBW,Dassault,Falcon 7X,FA7X,01,L3J,DAB,,,
38417a,F-WWUB,Dassault,Falcon 7X,FA7X,278,L3J,DAB,,,
38439a,F-WWQS,Dassault,Falcon 8X,FA8X,419,L3J,DAB,,,
3848da,F-WWQA,Dassault,Falcon 8X,FA8X,401,L3J,DAB,,,
3849ba,F-WWQH,Dassault,Falcon 8X,FA8X,408,L3J,DAB,,,
384aba,F-WWQP,Dassault,Falcon 8X,FA8X,416,L3J,DAB,,,
384afa,F-WWQR,Dassault,Falcon 8X,FA8X,418,L3J,DAB,,,
384b5a,F-WWQW,Dassault,Falcon 8X,FA8X,423,L3J,DAB,,,
384b7a,F-WWQX,Dassault,Falcon 8X,FA8X,424,L3J,DAB,,,
384b9a,F-WWQY,Dassault,Falcon 8X,FA8X,425,L3J,DAB,,,
384bba,F-WWQZ,Dassault,Falcon 8X,FA8X,426,L3J,DAB,,,
384bda,F-WWNA,Dassault,Falcon 8X,FA8X,427,L3J,DAB,,,
384bfa,F-WWNB,Dassault,Falcon 8X,FA8X,428,L3J,DAB,,,
384c1a,F-WWNC,Dassault,Falcon 8X,FA8X,429,L3J,DAB,,,
384c3a,F-WWND,Dassault,Falcon 8X,FA8X,430,L3J,DAB,,,
384c5a,F-WWNE,Dassault,Falcon 8X,FA8X,431,L3J,DAB,,,
384c7a,F-WWNF,Dassault,Falcon 8X,FA8X,432,L3J,DAB,,,
38cefb,F-WFVX,Dassault,Falcon 5X,FA5X,1,L2J,DAB,,,
398a2c,F-HCRM,Dassault,Falcon 7X,FA7X,28,L3J,DAB,,,
399043,F-HECD,Dassault,Falcon 7X,FA7X,134,L3J,,,,
3992f1,F-HEXR,Dassault,Falcon 7X,FA7X,223,L3J,DAB,,,
399643,F-HFSD,Dassault,Falcon 8X,FA8X,404,L3J,DAB,,,
39a1ea,F-HIPK,Dassault,Falcon 7X,FA7X,258,L3J,DAB,,,
39ae68,F-HLTI,Dassault,Falcon 7X,FA7X,108,L3J,,,,
39b012,F-HMAS,Dassault,Falcon 7X,FA7X,274,L3J,DAB,,,
39b1c3,F-HMOD,Dassault,Falcon 7X,FA7X,106,L3J,,,,
39b1cc,F-HMOM,Dassault,Falcon 7X,FA7X,109,L3J,DAB,,,
39c812,F-HSAS,Dassault,Falcon 7X,FA7X,119,L3J,,,,
39d117,F-HUIX,Dassault,Falcon 8X,FA8X,402,L3J,DAB,,,
39d42b,F-HVBL,Dassault,Falcon 7X,FA7X,188,L3J,,,,
39d501,F-HVIB,Dassault,Falcon 7X,FA7X,47,L3J,DAB,,,
3b76b3,F-RAFB,Dassault,Falcon 7X,FA7X,86,L3J,FAF,,,
3b770d,F-RAFA,Dassault,Falcon 7X,FA7X,68,L3J,FAF,,,
3c0121,D-APLC,Dassault,Falcon 7X,FA7X,77,L3J,,,,
3c4ccc,D-ACFL,Dassault,Falcon 7X,FA7X,201,L3J,MMD,,,
3c5c41,D-AGBA,Dassault,Falcon 8X,FA8X,412,L3J,,,,
3c5c42,D-AGBB,Dassault,Falcon 8X,FA8X,425,L3J,WGT,2017-12-06,,
3c5c45,D-AGBE,Dassault,Falcon 7X,FA7X,268,L3J,,,,
3c5c46,D-AGBF,Dassault,Falcon 7X,FA7X,269,L3J,,,,
3c5c47,D-AGBG,Dassault,Falcon 7X,FA7X,210,L3J,,,,
3c5c48,D-AGBH,Dassault,Falcon 7X,FA7X,270,L3J,,,,
3c5c49,D-AGBI,Dassault,Falcon 7X,FA7X,267,L3J,,,,
3c712c,D-ALIL,Dassault,Falcon 7X,FA7X,179,L3J,,,,
3c8502,D-BAHB,Dassault,Falcon 2000LX,F2TH,230,L2J,MHV,,,
3c9579,D-BEKY,Dassault,Falcon 2000LX,F2TH,201,L2J,,,,
3c9674,D-BEST,Dassault,Falcon 2000,F2TH,50,L2J,,,,
3cb281,D-BLTA,Dassault,Falcon 2000LX,F2TH,234,L2J,,,,
400053,VP-CJA,Dassault,Falcon 2000,F2TH,18,L2J,,,,
405595,G-SRDG,Dassault,Falcon 7X,FA7X,036,L3J,,2009-01-29,,2008-01-01
406204,G-LATE,Dassault,Falcon 2000EX,F2TH,088,L2J,EXJ,2015-07-20,,2006-01-01
406560,G-SVNX,Dassault,Falcon 7X,FA7X,123,L3J,EXJ,2012-02-17,,2011-01-01
40668a,G-STMT,Dassault,Falcon 7X,FA7X,148,L3J,,2012-03-21,,2011-01-01
4068fb,G-WWFC,Dassault,Falcon 2000LX S,F2TH,257,L2J,LNX,,,
406984,G-TTJF,Dassault,Falcon 2000EX,F2TH,705,L2J,,2013-07-01,,2013-01-01
4069ae,G-VPCM,Dassault,Falcon 2000EX,F2TH,261,L2J,,2013-08-01,,2012-01-01
406e95,G-PULA,Dassault,Falcon 2000EX,F2TH,269,L2J,,2015-09-17,,2014-01-01
406f1d,G-YFOX,Dassault,Falcon 2000EX,F2TH,067,L2J,LNX,2015-08-25,,2005-01-01
406f3f,G-FLLY,Dassault,Falcon 2000LX S,F2TH,301,L2J,,,,
406fef,G-TNIK,Dassault,Falcon 2000,F2TH,25,L2J,,2016-04-18,,1996-01-01
40711b,G-SMSM,Dassault,Falcon 2000EX,F2TH,325,L2J,LNX,2016-12-09,,2016-01-01
4071bf,G-XION,Dassault,Falcon 8X,FA8X,409,L3J,,2017-03-21,,2016-01-01
407200,G-OIMF,Dassault,Falcon 7X,FA7X,125,L3J,,2017-01-27,,2011-01-01
40720a,G-MATO,Dassault,Falcon 7X,FA7X,277,L3J,,2016-12-12,,2016-01-01
4075d3,G-SPTX,Dassault,Falcon 7X,FA7X,282,L3J,JCO,,,
424134,VP-CGS,Dassault,Falcon 7X,FA7X,210,L3J,,,,
42413f,VP-CLS,Dassault,Falcon 7X,FA7X,226,L3J,,,,
424159,VP-CIG,Dassault,Falcon 7X,FA7X,122,L3J,,,,
42418d,VP-CDY,Dassault,Falcon 7X,FA7X,141,L3J,,,,
4241cd,VP-CSW,Dassault,Falcon 7X,FA7X,143,L3J,,,,
4241e3,VP-CTG,Dassault,Falcon 7X,FA7X,104,L3J,,,,
4241e4,VP-CBY,Dassault,Falcon 7X,FA7X,204,L3J,,,,
424241,VP-BZE,Dassault,Falcon 7X,FA7X,14,L3J,,,,
424254,VP-BEH,Dassault,Falcon 7X,FA7X,21,L3J,,,,
4243bc,VQ-BXG,Dassault,Falcon 8X,FA8X,455,L3J,SHE,2019-09-04,,
4243d1,VQ-BVS,Dassault,Falcon 7X,FA7X,48,L3J,,,,
4243f6,VQ-BFD,Dassault,Falcon 8X,FA8X,411,L3J,,,,
42447f,VQ-BXD,Dassault,Falcon 8X,FA8X,449,L3J,SHE,2019-05-28,,
424546,VQ-BTV,Dassault,Falcon 7X,FA7X,175,L3J,,,,
42460d,VQ-BNT,Dassault,Falcon 7X,FA7X,135,L3J,,,,
424754,VP-CJS,Dassault,Falcon 7X,FA7X,220,L3J,,,,
42477c,VP-CMW,Dassault,Falcon 7X,FA7X,267,L3J,,,,
424785,VP-CRS,Dassault,Falcon 7X,FA7X,268,L3J,,,,
424788,VP-CDP,Dassault,Falcon 7X,FA7X,269,L3J,,,,
42478a,VP-CHW,Dassault,Falcon 7X,FA7X,270,L3J,,,,
424796,VP-CZS,Dassault,Falcon 7X,FA7X,257,L3J,,,,
4248da,VQ-BAA,Dassault,Falcon 7X,FA7X,46,L3J,,,,
424953,VQ-BSN,Dassault,Falcon 7X,FA7X,58,L3J,,,,
424954,VQ-BSO,Dassault,Falcon 7X,FA7X,64,L3J,,,,
424955,VQ-BSP,Dassault,Falcon 7X,FA7X,83,L3J,,,,
42496e,VQ-BGG,Dassault,Falcon 7X,FA7X,93,L3J,,,,
424985,VQ-BHA,Dassault,Falcon 7X,FA7X,84,L3J,,,,
4249e9,VQ-BLP,Dassault,Falcon 7X,FA7X,132,L3J,,,,
424b19,M-RFAP,Dassault,Falcon 7X,FA7X,165,L3J,,2018-04-03,,
43e792,M-ALRV,Dassault,Falcon 2000LX,F2TH,173,L2J,,,,
43e83e,M-SCMG,Dassault,Falcon 7X,FA7X,96,L3J,,,,
43e86b,M-ALMA,Dassault,Falcon 7X,FA7X,11,L3J,,,,
43e885,M-MNBB,Dassault,Falcon 7X,FA7X,91,L3J,,,,
43e887,M-MNCC,Dassault,Falcon 7X,FA7X,156,L3J,,,,
43e8b1,M-CELT,Dassault,Falcon 7X,FA7X,110,L3J,,,,
43e8c6,M-SFOZ,Dassault,Falcon 2000,F2TH,121,L2J,,,,
43e8f8,M-FALC,Dassault,Falcon 7X,FA7X,138,L3J,,,,
43e92e,M-ORAD,Dassault,Falcon 2000EX EASy,F2TH,101,L2J,,,,
43e97d,M-YORK,Dassault,Falcon 7X,FA7X,42,L3J,,,,
43e994,M-LJGI,Dassault,Falcon 7X,FA7X,178,L3J,,,,
43e9af,M-YJET,Dassault,Falcon 7X,FA7X,186,L3J,,,,
43e9db,M-ARVY,Dassault,Falcon 7X,FA7X,216,L3J,,,,
43e9ef,M-HKND,Dassault,Falcon 7X,FA7X,72,L3J,,,,
43e9f3,M-GMKM,Dassault,Falcon 7X,FA7X,183,L3J,,,,
43ea05,M-YUMN,Dassault,Falcon 2000,F2TH,1,L2J,,,,
43ea1f,M-FALZ,Dassault,Falcon 7X,FA7X,224,L3J,,,,
43ea2b,M-IAMI,Dassault,Falcon 7X,FA7X,230,L3J,,,,
43ea35,M-SCOT,Dassault,Falcon 7X,FA7X,54,L3J,,,,
43ea67,M-OPDE,Dassault,Falcon 7X,FA7X,30,L3J,,,,
43ea6c,M-MNAA,Dassault,Falcon 7X,FA7X,213,L3J,,,,
43ea83,M-ZJBT,Dassault,Falcon 7X,FA7X,97,L3J,,,,
43ea8a,M-TINK,Dassault,Falcon 7X,FA7X,266,L3J,,,,
43ea8b,M-RTFS,Dassault,Falcon 7X,FA7X,207,L3J,,,,
43ea98,M-OEPL,Dassault,Falcon 7X,FA7X,163,L3J,,,,
43ea9e,M-CKSB,Dassault,Falcon 2000,F2TH,6,L2J,,,,
43eaa0,M-WANG,Dassault,Falcon 7X,FA7X,272,L3J,,,,
43eaae,M-WING,Dassault,Falcon 7X,FA7X,215,L3J,GMA,,,
43ead4,M-FLCN,Dassault,Falcon 2000EX EASy,F2TH,075,L2J,,,,
43eadf,M-OUNT,Dassault,Falcon 7X,FA7X,175,L3J,,,,
43eae9,M-ATEX,Dassault,Falcon 8X,FA8X,421,L3J,,,,
43eaef,M-ORAT,Dassault,Falcon 7X,FA7X,147,L3J,,,,
43eafa,M-SURE,Dassault,Falcon 7X,FA7X,155,L3J,,,,
44035f,OE-HKK,Dassault,Falcon 2000EX,F2TH,010,L2J,,,,
44038f,OE-HPH,Dassault,Falcon 2000,F2TH,209,L2J,,,,
4406a9,OE-IRR,Dassault,Falcon 7X,FA7X,196,L3J,,,,
4406d9,OE-HBG,Dassault,Falcon 2000,F2TH,207,L2J,,,,
440793,OE-IPW,Dassault,Falcon 7X,FA7X,238,L3J,,,,
4407b8,OE-IMF,Dassault,Falcon 7X,FA7X,125,L3J,,,,
448443,OO-ABC,Dassault,Falcon 7X,FA7X,166,L3J,,,,
449541,OO-EJA,Dassault,Falcon 7X,FA7X,124,L3J,,,,
