icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
a053c5,N120AU,Dassault-Dornier,Alpha Jet,AJET,120,L2J,,,2023-10-31,1981-01-01
a1d2d3,N2165,Dassault-Dornier,Alpha Jet,AJET,0165,L2J,,,2022-01-31,1982-01-01
a755e0,N572AJ,Dassault-Dornier,Alpha Jet,AJET,0020,L2J,,,2024-02-29,1979-01-01
a66aeb,N512XA,Dassault-Dornier,Alpha Jet,AJET,0112,L2J,,,2024-01-31,1981-01-01
43c5bb,ZJ646,Dassault-Dornier,Alpha Jet,AJET,0155,L2J,,,,
a0db19,N154XA,Dassault-Dornier,Alpha Jet,AJET,0154,L2J,,,,
aa903b,N78XA,Dassault-Dornier,Alpha Jet,AJET,0078,L2J,,,,
43c5be,ZJ649,Dassault-Dornier,Alpha Jet,AJET,0173,L2J,,,,
43c5ba,ZJ645,Dassault-Dornier,Alpha Jet,AJET,0162,L2J,,,,
ab0911,N81XA,Dassault-Dornier,Alpha Jet,AJET,0081,L2J,,,,
4407f4,OE-FRB,Dassault-Dornier,Alpha Jet,AJET,0130,L2J,,,,
43c5bc,ZJ647,Dassault-Dornier,Alpha Jet,AJET,0171,L2J,,,,
a22fb4,N24XA,Dassault-Dornier,Alpha Jet,AJET,0024,L2J,,,,
a668e3,N512AF,Dassault-Dornier,Alpha Jet,AJET,0115,L2J,,,,
4407f5,OE-FAS,Dassault-Dornier,Alpha Jet,AJET,0090,L2J,,,,
3b7654,E115,Dassault-Dornier,Alpha Jet,AJET,E115,L2J,FAF,,,
3b7688,E35,Dassault-Dornier,Alpha Jet,AJET,E35,L2J,FAF,,,
43c5c0,ZJ651,Dassault-Dornier,Alpha Jet,AJET,0142,L2J,,,,
a0a265,N14XA,Dassault-Dornier,Alpha Jet,AJET,0014,L2J,,,,
3b7687,E37,Dassault-Dornier,Alpha Jet,AJET,E37,L2J,FAF,,,
44f805,AT-05,Dassault-Dornier,Alpha Jet 1B+,AJET,1018,L2J,,,,
44f849,AT-29,Dassault-Dornier,Alpha Jet 1B+,AJET,1139,L2J,,,,
44f808,AT-08,Dassault-Dornier,Alpha Jet 1B+,AJET,1024,L2J,,,,
44f847,AT-27,Dassault-Dornier,Alpha Jet 1B+,AJET,1125,L2J,,,,
44f827,AT-17,Dassault-Dornier,Alpha Jet 1B+,AJET,1061,L2J,,,,
