icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
009886,ZS-JGV,De Havilland,DH-89 Dragon Rapide,DH89,6831,L2P,,,,
3814f1,F-BFHR,De Havilland,DH-82A Tiger Moth,DH82,86230,L1P,,,,
3816b4,F-BFVU,De Havilland,DH-82A Tiger Moth,DH82,86603,L1P,,,,
38186b,F-BGDL,De Havilland,DH-82A Tiger Moth,DH82,86564,L1P,,,,
381877,F-BGDX,De Havilland,DH-82A Tiger Moth,DH82,86610,L1P,,,,
386440,F-AZCA,De Havilland,DH-89 Dragon Rapide,DH89,6541,L2P,,,,
386488,F-AZEI,De Havilland,DH-82A Tiger Moth,DH82,84882,L1P,,,,
3864f4,F-AZHU,De Havilland,DH-115 Vampire T.55,VAMP,870,L1J,,,,
3864f7,F-AZHX,De Havilland,DH-115 Vampire FB.6,VAMP,624,L1J,,,,
3864f8,F-AZHY,De Havilland,DH-115 Vampire FB.6,VAMP,610,L1J,,,,
386545,F-AZKF,De Havilland,DH-115 Vampire T.55,VAMP,15793,L1J,,,,
3865cf,F-AZOP,De Havilland,DH-115 Vampire FB.6,VAMP,701,L1J,,,,
3865ef,F-AZPP,De Havilland,DH-82A Tiger Moth,DH82,PH-001,L1P,,,,
38666c,F-AZTM,De Havilland,DH-82A Tiger Moth,DH82,85946,L1P,,,,
394c2e,F-GTBO,De Havilland,DH-82A Tiger Moth,DH82,3810,L1P,,,,
3d0863,D-EBKT,De Havilland,DH-82A Tiger Moth,DH82,85223,L1P,,,,
3d0bea,D-ECTM,De Havilland,DH-82A Tiger Moth,DH82,83745,L1P,,,,
3d0d08,D-EDEM,De Havilland,DH-82A Tiger Moth,DH82,86403,L1P,,,,
3d0d4a,D-EDHA,De Havilland,DH-82A Tiger Moth,DH82,83105,L1P,,,,
3d13d7,D-EFTN,De Havilland,DH-82A Tiger Moth,DH82,84764,L1P,,,,
3d17ed,D-EHHT,De Havilland,DH-82A Tiger Moth,DH82,85478,L1P,,,,
3d1fe5,D-EKIF,De Havilland,DH-82A Tiger Moth,DH82,83091,L1P,,,,
3d227e,D-ELHU,De Havilland,DH-82A Tiger Moth,DH82,83786,L1P,,,,
3d2752,D-ENDI,De Havilland,DH-82A Tiger Moth,DH82,82335,L1P,,,,
3d2b71,D-EORX,De Havilland,DH-82A Tiger Moth,DH82,83866,L1P,,,,
3d36b2,D-ESYS,De Havilland,DH-82A Tiger Moth,DH82,83900,L1P,,,,
3d378c,D-ETHC,De Havilland,DH-82A Tiger Moth,DH82,82018,L1P,,,,
3d42a8,D-EXMM,De Havilland,DH-82A Tiger Moth,DH82,82814,L1P,,,,
3e2650,D-IFSA,De Havilland,DH-104 Dove 7XC,DOVE,04531,L2P,,,,
3e3238,D-IKFG,De Havilland,DH-89 Dragon Rapide,DH89,6853,L2P,,,,
3e3aa0,D-INKA,De Havilland,Devon C Mk.2,DOVE,04266,L2P,,,,
400b2c,G-ANNI,De Havilland,DH-82A Tiger Moth,DH82,85162,L1P,,2004-02-27,,1941-01-01
400c7e,G-AORG,De Havilland,DH-114 Sea Heron C MK.1,HERN,14101,L4P,,1990-05-18,,1956-01-01
400f8e,G-AEDU,De Havilland,DH-90A Dragonfly,DH90,7526,L2P,,2016-07-08,,1937-01-01
4011cc,G-DHDV,De Havilland,DH-104 Dove 8,DOVE,04205,L2P,,2016-04-19,,1954-01-01
40123a,G-ANRN,De Havilland,DH-82A Tiger Moth,DH82,83133,L1P,,1979-08-20,,1940-01-01
4012e2,G-ABLS,De Havilland,DH-80A Puss Moth,DH80,2164,L1P,,2015-07-30,,1931-01-01
401359,G-ECDS,De Havilland,DH-82A Tiger Moth,DH82,86347,L1P,,2008-07-08,,1943-01-01
4013ba,G-AELO,De Havilland,DH-87B Hornet Moth,DH87,8105,L1P,,1998-10-09,,1936-01-01
4013bc,G-AEOA,De Havilland,DH-80A Puss Moth,DH80,2184,L1P,,1982-03-30,,1931-01-01
4013d4,G-AFNI,De Havilland,DH-94 Moth Minor,DH94,94035,L1P,,2000-08-16,,1939-01-01
4013d5,G-AFOB,De Havilland,DH-94 Moth Minor,DH94,94018,L1P,,2002-02-05,,1939-01-01
4013d6,G-AFOJ,De Havilland,DH-94 Moth Minor,DH94,9407,L1P,,2012-01-26,,1939-01-01
4013d7,G-AFPN,De Havilland,DH-94 Moth Minor,DH94,94016,L1P,,2016-03-21,,1939-01-01
4013dd,G-AFWI,De Havilland,DH-82A Tiger Moth,DH82,82187,L1P,,2017-08-01,,1939-01-01
4013e4,G-AGEG,De Havilland,DH-82A Tiger Moth,DH82,82710,L1P,,2013-09-19,,1940-01-01
4013e7,G-AGJG,De Havilland,DH-89A Dragon Rapide,DH89,6517,L2P,,1986-03-20,,1941-01-01
4013ea,G-AGSH,De Havilland,DH-89A Dragon Rapide,DH89,6884,L2P,,1989-06-15,,1945-01-01
4013eb,G-AGTM,De Havilland,DH-89A Dragon Rapide Mk.6,DH89,6746,L2P,,2016-09-30,,1944-01-01
4013f8,G-AGYU,De Havilland,DH-82A Tiger Moth,DH82,85265,L1P,,2009-12-17,,1941-01-01
4013fa,G-AGZZ,De Havilland,DH-82A Tiger Moth,DH82,T256,L1P,,2007-11-23,,1941-01-01
4013fb,G-AHAG,De Havilland,DH-89A Dragon Rapide,DH89,6926,L2P,,2014-05-12,,1945-01-01
4013ff,G-AHBL,De Havilland,DH-87B Hornet Moth,DH87,8135,L1P,,2009-08-04,,1936-01-01
401400,G-AHBM,De Havilland,DH-87B Hornet Moth,DH87,8126,L1P,,1982-12-13,,1935-01-01
401407,G-AHIZ,De Havilland,DH-82A Tiger Moth,DH82,4610,L1P,,1975-08-18,,1944-01-01
40140a,G-AHLT,De Havilland,DH-82A Tiger Moth,DH82,82247,L1P,,2004-02-24,,1939-01-01
40140f,G-AHUV,De Havilland,DH-82A Tiger Moth,DH82,3894,L1P,,2002-07-25,,1939-01-01
401410,G-AHVU,De Havilland,DH-82A Tiger Moth,DH82,84728,L1P,,2015-07-10,,1941-01-01
401411,G-AHVV,De Havilland,DH-82A Tiger Moth,DH82,86123,L1P,,2010-04-13,,1943-01-01
401419,G-AIDL,De Havilland,DH-89A Dragon Rapide Mk.6,DH89,6968,L2P,,2015-11-26,,1946-01-01
40141a,G-AIDS,De Havilland,DH-82A Tiger Moth,DH82,84546,L1P,,1985-03-20,,1941-01-01
401424,G-AIRK,De Havilland,DH-82A Tiger Moth,DH82,82336,L1P,,2005-10-06,,1939-01-01
40142b,G-AIYR,De Havilland,DH-89A Dragon Rapide,DH89,6676,L2P,,2002-09-19,,1943-01-01
40142c,G-AIYS,De Havilland,DH-85 Leopard Moth,DH85,7089,L1P,,2017-04-28,,1934-01-01
40143b,G-AJHS,De Havilland,DH-82A Tiger Moth,DH82,82121,L1P,,2013-02-26,,1939-01-01
401445,G-AJTW,De Havilland,DH-82A Tiger Moth,DH82,82203,L1P,,1985-11-26,,1938-01-01
401448,G-AJVE,De Havilland,DH-82A Tiger Moth,DH82,85814,L1P,,1998-10-28,,1942-01-01
