icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
00600a,C9-AUL,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4019,L2T,LAM,,,
008367,ZS-BGW,De Havilland Canada,DHC-8-311 Dash 8,DH8C,250,L2T,,,,
0088b3,ZS-DHA,De Havilland Canada,DHC-8-311Q Dash 8,DH8C,571,L2T,,,,
0088b5,ZS-DHC,De Havilland Canada,DHC-8-102 Dash 8,DH8A,030,L2T,,,,
0089d8,ZS-DSH,De Havilland Canada,DHC-8-311Q Dash 8,DH8C,467,L2T,,,,
009dcf,ZS-LGW,De Havilland Canada,DHC-8-314 Dash 8,DH8C,414,L2T,,,,
00a3ab,ZS-NMO,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4122,L2T,EXY,,,
00a3af,ZS-NMS,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4127,L2T,EXY,,,
00bf9a,ZS-YBP,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4142,L2T,EXY,,,
00bf9c,ZS-YBR,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4144,L2T,EXY,,,
00bf9e,ZS-YBT,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4146,L2T,EXY,,,
00bf9f,ZS-YBU,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4344,L2T,EXY,2011-10-28,,2010-01-01
00bfa1,ZS-YBW,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4350,L2T,EXY,,,
00bfa2,ZS-YBX,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4366,L2T,EXY,,,
00bfa3,ZS-YBY,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4370,L2T,EXY,,,
00bfa4,ZS-YBZ,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4175,L2T,EXY,,,
010062,SU-CBF,De Havilland Canada,DHC-8-315Q Dash 8,DH8C,584,L2T,,,,
010063,SU-CBG,De Havilland Canada,DHC-8-315Q Dash 8,DH8C,585,L2T,,,,
01008d,SU-CBH,De Havilland Canada,DHC-8-315Q Dash 8,DH8C,594,L2T,,,,
010097,SU-CBA,De Havilland Canada,DHC-7-102 Dash 7,DHC7,93,L4T,,,,
0100a0,SU-CBD,De Havilland Canada,DHC-7-102 Dash 7,DHC7,98,L4T,,,,
0100a1,SU-CBE,De Havilland Canada,DHC-7-102 Dash 7,DHC7,99,L4T,,,,
0100c7,SU-CBJ,De Havilland Canada,DHC-8-315Q Dash 8,DH8C,607,L2T,,,,
0100e2,SU-CBN,De Havilland Canada,DHC-8-315Q Dash 8,DH8C,632,L2T,,,,
018037,5A-DHN,De Havilland Canada,DHC-6-300 Twin Otter,DHC6,712,L2T,,,,
018050,5A-AGR,De Havilland Canada,DHC-8-315Q Dash 8,DH8C,601,L2T,,,,
018052,5A-DLX,De Havilland Canada,DHC-8-311A Dash 8,DH8C,254,L2T,,,,
018071,5A-PAC,Viking Air,DHC-6-400 Twin Otter,DHC6,854,L2T,,,,
02ad01,TS-LIB,De Havilland Canada,DHC-6-300 Twin Otter,DHC6,716,L2T,TAJ,,,
02ae45,TS-LSF,De Havilland Canada,DHC-6-300 Twin Otter,DHC6,575,L2T,TAJ,,,
038439,TU-TSI,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4514,L2T,,,,
038451,TU-TSQ,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4521,L2T,,,,
03e027,TR-CLB,De Havilland Canada,DHC-8-314Q Dash 8,DH8C,545,L2T,,,,
04002b,ET-ANI,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4299,L2T,ETH,,,
04002c,ET-ANJ,De Havilland Canada,DHC-8-402 Dash 8,DH8D,4303,L2T,ETH,2010-04-13,,2010-01-01
04002d,ET-ANK,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4304,L2T,ETH,,,
04002e,ET-ANL,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4307,L2T,ETH,,,
040035,ET-ANV,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4317,L2T,ETH,,,
040036,ET-ANW,De Havilland Canada,DHC-8-402NG Dash 8,DH8D,4320,L2T,,,,
