icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
00801b,ZS-AAK,Dornier,Do 328-310,J328,3162,L2J,,,,
008024,ZS-AAT,Dornier,Do 328-300,J328,3146,L2J,,,,
00810d,ZS-AJS,Dornier,Do 328-120,D328,3029,L2T,,,,
00969f,ZS-IOC,Dornier,Do 328-310,J328,3219,L2J,,,,
00a42c,ZS-NRN,Dornier,Do 228-200,D228,8021,L2T,,,,
00a625,ZS-OKY,Dornier,Do 27A-4,DO27,463,L1P,,,,
00b17b,ZS-SSO,Dornier,Do 228-100,D228,7023,L2T,,,,
04c00a,5Y-BTU,Dornier,Do 228-201,D228,8030,L2T,,,,
04c0aa,5Y-BYH,Dornier,Do 228-101,D228,7014,L2T,,,,
04c0e5,5Y-CBJ,Dornier,Do 228-201,D228,8066,L2T,,,,
04c102,5Y-CCS,Dornier,Do 228-202K,D228,8152,L2T,,,,
04c109,5Y-CCD,Dornier,Do 228-200,D228,8002,L2T,,,,
04c140,5Y-CDS,Dornier,Do 228-100,D228,7028,L2T,,,,
06400b,5N-BMH,Dornier,Do 328-300,J328,3120,L2J,,,,
064010,5N-SPE,Dornier,Do 328-300,J328,3151,L2J,,,,
064011,5N-SPM,Dornier,Do 328-300,J328,3141,L2J,,,,
0640d3,5N-DOX,Dornier,Do 328-110,D328,3073,L2T,DAV,,,
0640db,5N-DOY,Dornier,Do 328-110,D328,3089,L2T,DAV,,,
06411f,5N-DOW,Dornier,Do 328-100,D328,3070,L2T,DAV,,,
064152,5N-BQT,Dornier,Do 328-310,J328,3221,L2J,,,,
0641e0,5N-BUN,Dornier,Do 328-130,D328,3109,L2T,DAV,,,
0900e3,D2-FHK,Dornier,Do 328-310,J328,3161,L2J,,,,
09600b,D4-CBK,Dornier,Do 228-212,D228,8222,L2T,,,,
09a03a,C5-CGA,Dornier,Do 328-300,J328,3121,L2J,,,,
0ac31d,HK-5053,Dornier,Do 328-100,D328,3018,L2T,,,,
0c800b,PZ-TVE,Dornier,Do 328-300,J328,3114,L2J,HHS,,,
0d0016,XA-AAS,Dornier,Do 328-300,J328,3127,L2J,,,,
0d0234,XA-ALA,Dornier,Do 328-310,J328,3167,L2J,,,,
0d0431,XA-FAS,Dornier,Do 328-300,J328,3125,L2J,,,,
343615,EC-KTC,Dornier,Do 28 G92 Turbo Skyservant,D28T,4125,L2T,,,,
384505,F-BRIF,Dornier,Do 27Q-1,DO27,2022,L1P,,,,
3c8481,D-BADA,Dornier,Do 328-310,J328,3224,L2J,,,,
3c8483,D-BADC,Dornier,Do 328-310,J328,3216,L2J,,,,
3c9284,D-BDTD,Dornier,Do 328-310,J328,3181,L2J,,,,
3c9c33,D-BGAS,Dornier,Do 328-300,J328,3139,L2J,,,,
3ca644,D-BIRD,Dornier,Do 328-310,J328,3180,L2J,PWF,,,
3ca8b4,D-BJET,Dornier,Do 328-310,J328,3207,L2J,PWF,,,
3cb424,D-BMAD,Dornier,Do 328-300,J328,3142,L2J,XMS,,,
3cc00b,D-CAAL,Dornier,Do 228-212,D228,8155,L2T,AUR,,,
3cc00c,D-CAAM,Dornier,Do 228-212,D228,8205,L2T,,,,
3cc207,D-CATZ,Dornier,Do 328-110,D328,3090,L2T,PWF,,,
3cc23c,D-CAWA,Dornier,Do 328-100,D328,3119,L2T,PWF,,,
3cc803,D-CDAX,Dornier,Do 328-110,D328,3087,L2T,PWF,,,
3ccdca,D-CFFU,Dornier,Do 228-212,D228,8180,L2T,,,,
3cd6e2,D-CIRI,Dornier,Do 328-110,D328,3005,L2T,XMS,,,
3cd6e3,D-CIRJ,Dornier,Do 328-120,D328,3035,L2T,MHV,,,
3cd6e9,D-CIRP,Dornier,Do 328-100,D328,3006,L2T,MHV,,,
3cd71c,D-CITO,Dornier,Do 328-110,D328,3063,L2T,PWF,,,
3ce066,D-CMHA,Dornier,Do 328-110,D328,3023,L2T,,,,
3ce067,D-CMHB,Dornier,Do 328-130,D328,3110,L2T,,,,
3ce068,D-CMHC,Dornier,Do 328-110,D328,3022,L2T,,,,
3ce069,D-CMHD,Dornier,Do 328-110,D328,3088,L2T,,,,
3ce2d0,D-CNEU,RUAG,Do 228-212 NG,D228,8206,L2T,,,,
3ce54a,D-CODE,Dornier,Do 228-101,D228,7083,L2T,,,,
3ce6e4,D-COSY,Dornier,Do 328-110,D328,3072,L2T,PWF,,,
3ce9dd,D-CPWF,Dornier,Do 328-110,D328,3112,L2T,PWF,,,
3ced62,D-CREW,Dornier,Do 328-110,D328,3113,L2T,PWF,,,
3cf194,D-CSUE,Dornier,Do 328-100,D328,3019,L2T,PWF,,,
3cf3ef,D-CTRJ,Dornier,Do 328-100,D328,3015,L2T,,,,
3cf601,D-CULT,Dornier,Do 228-212,D228,8192,L2T,,,,
3d0594,D-EAJC,Dornier,Do 27B-1,DO27,292,L1P,,,,
3d074e,D-EBAC,Dornier,Do 27A-4,DO27,381,L1P,,,,
3d075f,D-EBAT,Dornier,Do 27A-4,DO27,451,L1P,,,,
3d07ab,D-EBDR,Dornier,Do 27A-1,DO27,272,L1P,,,,
3d0804,D-EBHC,Dornier,Do 27A-4,DO27,512,L1P,,,,
3d085b,D-EBKL,Dornier,Do 27B-1,DO27,363,L1P,,,,
3d0b73,D-ECOX,Dornier,Do 27Q-1,DO27,2018,L1P,,,,
3d0cce,D-EDCG,Dornier,Do 27B-1,DO27,245,L1P,,,,
3d0cdd,D-EDCV,Dornier,Do 27A-4,DO27,390,L1P,,,,
3d0cfa,D-EDDY,Dornier,Do 27Q-5,DO27,2096,L1P,,,,
3d0d21,D-EDFL,Dornier,Do 27B-3,DO27,392,L1P,,,,
3d0dcc,D-EDMA,Dornier,Do 27A-4,DO27,396,L1P,,,,
3d0dfa,D-EDNU,Dornier,Do 27B-3,DO27,401,L1P,,,,
3d0dfc,D-EDNW,Dornier,Do 27B-1,DO27,176,L1P,,,,
3d0e33,D-EDPZ,Dornier,Do 27A-4,DO27,367,L1P,,,,
3d0e60,D-EDRS,Dornier,Do 27B-1,DO27,306,L1P,,,,
3d0f3d,D-EEAF,Dornier,Do 27B-1,DO27,274,L1P,,,,
3d10c7,D-EEPJ,Dornier,Do 27A-1,DO27,173,L1P,,,,
3d10cb,D-EEPN,Dornier,Do 27A-4,DO27,395,L1P,,,,
3d125f,D-EFFB,Dornier,Do 27A-1,DO27,271,L1P,,,,
3d1349,D-EFOB,Dornier,Do 27A-4,DO27,389,L1P,,,,
3d1391,D-EFQV,Dornier,Do 27B-1,DO27,175,L1P,,,,
3d13b2,D-EFSC,Dornier,Do 27A-4,DO27,2109,L1P,,,,
3d1472,D-EFZM,Dornier,Do 27A-4,DO27,483,L1P,,,,
3d148e,D-EGAO,Dornier,Do 27B-3,DO27,2200,L1P,,,,
3d1513,D-EGFR,Dornier,Do 27A-1,DO27,160,L1P,,,,
3d16a4,D-EGVC,Dornier,Do 27A-4,DO27,2059,L1P,,,,
3d185c,D-EHMA,Dornier,Do 27A-4,DO27,388,L1P,,,,
3d19e6,D-EIBE,Dornier,Do 27A-1,DO27,310,L1P,,,,
3d1bee,D-EIVE,Dornier,Do 27A-1,DO27,328,L1P,,,,
3d1ceb,D-EJEX,Dornier,Do 27Q-1,DO27,2021,L1P,,,,
3d1d5f,D-EJJJ,Dornier,Do 27B-1,DO27,192,L1P,,,,
3d1f98,D-EKFG,Dornier,Do 27A-4,DO27,471,L1P,,,,
3d1fe4,D-EKIE,Dornier,Do 27A-1,DO27,172,L1P,,,,
3d2116,D-EKTY,Dornier,Do 27A-1,DO27,322,L1P,,,,
3d2120,D-EKUI,Dornier,Do 27A-4,DO27,230,L1P,,,,
3d212b,D-EKUT,Dornier,Do 27Q-4,DO27,2024,L1P,,,,
3d238d,D-ELSF,Dornier,Do 27B-1,DO27,273,L1P,,,,
3d2425,D-ELYB,Dornier,Do 27A-1,DO27,2003,L1P,,,,
3d2473,D-EMBB,Dornier,Do 27B-1,DO27,307,L1P,,,,
3d24c9,D-EMEJ,Dornier,Do 27A-3,DO27,429,L1P,,,,
3d252f,D-EMIH,Dornier,Do 27Q-5,DO27,2027,L1P,,,,
3d25ba,D-EMNQ,Dornier,Do 27B-1,DO27,305,L1P,,,,
3d28ee,D-ENTE,Dornier,Do 27A-4,DO27,472,L1P,,,,
3d29a2,D-EOAC,Dornier,Do 27A-4,DO27,452,L1P,,,,
3d29a3,D-EOAD,Dornier,Do 27A-4,DO27,459,L1P,,,,
3d29aa,D-EOAK,Dornier,Do 27A-4,DO27,481,L1P,,,,
3d29b3,D-EOAT,Dornier,Do 27A-1,DO27,319,L1P,,,,
3d2a44,D-EOGI,Dornier,Do 27A-4,DO27,473,L1P,,,,
3d2c42,D-EOZY,Dornier,Do 27B-1,DO27,224,L1P,,,,
3d3517,D-ESIX,Dornier,Do 27B-1,DO27,357,L1P,,,,
3d4080,D-EWRG,Dornier,Do 27B-1,DO27,276,L1P,,,,
3e19b9,D-IAYB,Dornier,Do 28D-2 Skyservant,D28D,4343,L2P,,,,
3e1bf9,D-IBUF,Dornier,Do 128-6 Turbo Skyservant,D28T,4302,L2T,,,,
3e1cf6,D-ICDY,Dornier,Do 28D-2 Skyservant,D28D,4164,L2P,,,,
3e3865,D-IMOB,Dornier,Do 28 G92 Turbo Skyservant,D28T,4199,L2T,,,,
3e386e,D-IMOK,Dornier,Do 28 G92 Turbo Skyservant,D28T,4320,L2T,,,,
3e44a6,D-IRES,Dornier,Do 28D-2 Skyservant,D28D,4186,L2P,,,,
3e45a3,D-IROL,RUAG,Do 228-100 NG,D228,7003,L2T,,,,
3f9ae8,57+05,RUAG,Do 228-212 NG,D228,8302,L2T,,,,
3f9c84,57+04,Dornier,Do 228-212,D228,8214,L2T,GNY,,,
4007d4,G-BYHG,Dornier,Do 328-100,D328,3098,L2T,,2013-05-16,,1998-01-01
4007fd,G-BYMK,Dornier,Do 328-100,D328,3062,L2T,,2013-04-29,,1996-01-01
400a48,G-CCGS,Dornier,Do 328-100,D328,3101,L2T,,2013-05-08,,1998-01-01
400b22,G-OMAF,Dornier,Do 228-202K,D228,8112,L2T,AUR,2016-07-25,,1986-01-01
400b23,G-MAFI,Dornier,Do 228-202K,D228,8115,L2T,,2016-07-25,,1986-01-01
