icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
3d0736,D-EAZE,Focke-Wulf,Fw 44J Stieglitz,FW44,2779,L1P,,,,
3d1060,D-EELK,Focke-Wulf,Fw 44J Stieglitz,FW44,2924,L1P,,,,
3d1427,D-EFWP,Focke-Wulf,Fw 44J Stieglitz,FW44,2929,L1P,,,,
3d14ab,D-EGBR,Focke-Wulf,Fw 44J Stieglitz,FW44,2906,L1P,,,,
3d1fc9,D-EKHD,Focke-Wulf,Fw 44J Stieglitz,FW44,648,L1P,,,,
3d246f,D-EMAX,Focke-Wulf,Fw 44J Stieglitz,FW44,83,L1P,,,,
3d252e,D-EMIG,Focke-Wulf,Fw 44J Stieglitz,FW44,2293,L1P,,,,
3d2533,D-EMIL,Focke-Wulf,Fw 44J Stieglitz,FW44,662,L1P,,,,
3d25b7,D-EMNN,Focke-Wulf,Fw 44J Stieglitz,FW44,1904,L1P,,,,
3d25c9,D-EMOF,Focke-Wulf,Fw 44J Stieglitz,FW44,ASJA-82,L1P,,,,
3d2714,D-ENAY,Focke-Wulf,Fw 44J Stieglitz,FW44,45,L1P,,,,
3d2880,D-ENOY,Focke-Wulf,Fw 44J Stieglitz,FW44,133,L1P,,,,
3d2eff,D-EQAX,Focke-Wulf,Fw 44J Stieglitz,FW44,1899,L1P,,,,
3d38e1,D-ETUF,Focke-Wulf,Fw 44J Stieglitz,FW44,154,L1P,,,,
3d43ab,D-EXWL,Focke-Wulf,Fw 44J Stieglitz,FW44,2776,L1P,,,,
3d43ae,D-EXWO,Focke-Wulf,Fw 44J Stieglitz,FW44,2778-1439,L1P,,,,
3d47a2,D-EZJM,Focke-Wulf,Fw 44J Stieglitz,FW44,2782,L1P,,,,
3d6998,D-FMFW,Focke-Wulf,Fw 190 A-8,FW90,739447,L1P,,,,
3d84b5,D-FWMV,Focke-Wulf,Fw 190 A-2/M,FW90,980554,L1P,,,,
46321b,OH-SZJ,Focke-Wulf,Fw 44J Stieglitz,FW44,2927,L1P,,,,
4a8aed,SE-BWM,Focke-Wulf,Fw 44J Stieglitz,FW44,655,L1P,,,,
7c70f1,VH-WLF,Focke-Wulf,Fw 190 A-8,FW90,990004,L1P,,,,
a06acb,N126JG,Focke-Wulf,Fw 190 A-6,FW90,550470,L1P,,,2024-04-30,
a16831,N190AF,Focke-Wulf,Fw 190 F-8/R1,FW90,583661,L1P,,,2022-04-30,1944-01-01
a16863,N190CF,Focke-Wulf,Fw 190 D-9,FW90,210096,L1P,,,2024-06-30,
a16880,N190DK,Focke-Wulf,Fw 190 A-5,FW90,1134,L1P,,,2023-01-31,1943-01-01
a16949,N190ML,Focke-Wulf,Fw 190 F-8/R1,FW90,583573,L1P,,,2023-10-31,
a169a8,N190RF,Focke-Wulf,Fw 190 A-9,FW90,980574,L1P,,,2022-02-28,1944-01-01
a16ae9,N19027,Focke-Wulf,Fw 190 A-5,FW90,0151227,L1P,,,2024-02-29,1943-01-01
a50dd3,N4247L,Focke-Wulf,Fw 190 A-8,FW90,350177,L1P,,,2023-04-30,
a803fd,N6152P,Focke-Wulf,Fw 190 A-2,FW90,5476,L1P,,,2022-08-31,
a8230d,N623TB,Focke-Wulf,Fw 190 D-9,FW90,210111,L1P,,,2024-01-31,
ac6d65,N90FW,Focke-Wulf,Fw 190 A-8,FW90,732183,L1P,,,2023-04-30,
ac94e4,N91FW,Focke-Wulf,Fw 190 A-4,FW90,931862,L1P,,,2023-07-31,
c81e40,ZK-RFR,Focke-Wulf,Fw 190 A-8/N,FW90,990001,L1P,,,,
