icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
00b09d,ZS-SKA,Fokker,70,F70,11559,L2T,,,,
00b971,ZS-VSY,Fokker,D.VII,D7,API-1,L1P,,,,
01009e,SU-YAI,Fokker,50,F50,20143,L2T,PNW,,,
034019,TJ-ALG,Fokker,F28-4000,F28,11227,L2J,,,,
04c030,KAF308,Fokker,70,F70,11557,L2T,,,,
04c0f0,5Y-SIA,Fokker,100,F100,11307,L2J,,,,
04c0f6,5Y-MIS,Fokker,50,F50,20111,L2T,,,,
04c0f7,5Y-CCE,Fokker,F27-500,F27,10370,L2T,,,,
04c13b,5Y-SKN,Fokker,50,F50,20110,L2T,GTI,,,
04c14d,5Y-SED,Fokker,50,F50,20108,L2T,,,,
04c153,5Y-JXK,Fokker,50,F50,20233,L2T,,,,
04c15e,5Y-JXJ,Fokker,50,F50,20232,L2T,,,,
04c170,5Y-WFA,Fokker,50,F50,20121,L2T,,,,
04c172,5Y-SMZ,Fokker,50,F50,20192,L2T,,,,
04c193,5Y-GMC,Fokker,F27-500,F27,10378,L2T,,,,
04c197,5Y-GMD,Fokker,F27-500,F27,10448,L2T,,,,
04c19a,5Y-SMQ,Fokker,50,F50,20202,L2T,,,,
04c1a1,5Y-SMT,Fokker,50,F50,20177,L2T,,,,
04c1aa,5Y-JWZ,Fokker,50,F50,20208,L2T,,,,
04c1b3,5Y-JWX,Fokker,50,F50,20209,L2T,,,,
04c1b8,5Y-SMS,Fokker,50,F50,20112,L2T,,,,
04c1c1,5Y-FAI,Fokker,50,F50,20282,L2T,,,,
0640c1,5N-HIR,Fokker,100,F100,11498,L2J,LVB,,,
08001f,5H-TGF,Fokker,50,F50,20231,L2T,,,,
080022,5H-CCM,Fokker,F28-3000,F28,11137,L2J,,,,
088005,5V-TAI,Fokker,F28-1000,F28,11079,L2J,,,,
090011,D2-ESN,Fokker,F27-500,F27,10610,L2T,,,,
09c081,XT-AID,Fokker,F27-500,F27,10615,L2T,,,,
0ac005,FAC0002,Fokker,F28-1000,F28,11992,L2J,,,,
0ac039,FAC1041,Fokker,F28-3000C,F28,11162,L2J,,,,
0c2085,HP-1763PST,Fokker,100,F100,11315,L2J,,,,
0c2086,HP-1764PST,Fokker,100,F100,11364,L2J,,,,
0c209b,HP-1793PST,Fokker,50,F50,20162,L2T,,,,
0c209c,HP-1794PST,Fokker,50,F50,20163,L2T,,,,
0c20b8,HP-1895PST,Fokker,100,F100,11400,L2J,PST,,,
0c20c1,HP-1894PST,Fokker,100,F100,11390,L2J,,,,
0c20c3,HP-1896PST,Fokker,100,F100,11320,L2J,,,,
0c800c,PZ-TFA,Fokker,70,F70,11556,L2T,,,,
300132,I-MLRT,Fokker,F27-500,F27,10377,L2T,MNL,,,
3864cd,F-AZGN,Fokker,Dr.I,DR1,MF-01,L1P,,,,
3c5e08,D-AGPH,Fokker,100,F100,11308,L2J,NAX,,,
3c7d87,D-AOLG,Fokker,100,F100,11452,L2J,ATV,,,
3d13d3,D-EFTJ,Fokker,Dr.I,DR1,003,L1P,,,,
401c85,G-BEPV,Fokker,S11 Instructor,S11,6274,L1P,,2002-10-29,,1950-01-01
401f75,G-BIYU,Fokker,S11 Instructor,S11,6206,L1P,,2008-09-08,,1950-01-01
4072ef,G-LRJA,Fokker,50,F50,20190,L2T,,2017-02-22,,1990-01-01
440023,OE-LFJ,Fokker,70,F70,11532,L2T,AUA,,,
440025,OE-LFI,Fokker,70,F70,11529,L2T,AUA,,,
4400cb,OE-LVB,Fokker,100,F100,11502,L2J,AUA,,,
4400db,OE-LVC,Fokker,100,F100,11446,L2J,AUA,,,
4400f6,OE-LVD,Fokker,100,F100,11515,L2J,AUA,,,
4400f7,OE-LVE,Fokker,100,F100,11499,L2J,AUA,,,
4400f8,OE-LVG,Fokker,100,F100,11520,L2J,AUA,,,
4400f9,OE-LVF,Fokker,100,F100,11483,L2J,AUA,,,
44010c,OE-LVH,Fokker,100,F100,11456,L2J,AUA,,,
44011e,OE-LVI,Fokker,100,F100,11468,L2J,AUA,,,
440156,OE-LVJ,Fokker,100,F100,11359,L2J,AUA,,,
