icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
a0001c,N1BA,Icon Aircraft,A5,A5,00111,A1P,,,2022-10-31,2019-01-01
a00c3c,N102BA,Icon Aircraft,A5,A5,00057,A1P,,,2022-01-31,2018-01-01
a04297,N116BA,Icon Aircraft,A5,A5,00059,A1P,,,2022-01-31,2018-01-01
a053cc,N120BA,Icon Aircraft,A5,A5,00052,A1P,,,2022-05-31,2018-01-01
a09903,N138BA,Icon Aircraft,A5,A5,00055,A1P,,,2022-01-31,2018-01-01
a09cba,N139BA,Icon Aircraft,A5,A5,00026,A1P,,,2024-04-30,2018-01-01
a0c082,N148BA,Icon Aircraft,A5,A5,00053,A1P,,,2022-01-31,2018-01-01
a0dcdc,N155BA,Icon Aircraft,A5,A5,00056,A1P,,,2022-03-31,2018-01-01
a0e093,N156BA,Icon Aircraft,A5,A5,00073,A1P,,,2022-04-30,2019-01-01
a0ebb8,N159BA,Icon Aircraft,A5,A5,00076,A1P,,,2022-12-31,2019-01-01
a0f57f,N161BA,Icon Aircraft,A5,A5,00079,A1P,,,2024-02-29,2019-01-01
a0f936,N162BA,Icon Aircraft,A5,A5,00081,A1P,,,2022-06-30,2019-01-01
a14beb,N183BA,Icon Aircraft,A5,A5,00074,A1P,,,2023-09-30,2018-01-01
a15710,N186BA,Icon Aircraft,A5,A5,00077,A1P,,,2022-07-31,2019-01-01
a15e7e,N188BA,Icon Aircraft,A5,A5,00098,A1P,,,2023-10-31,2019-01-01
a16235,N189BA,Icon Aircraft,A5,A5,00100,A1P,,,2022-09-30,2019-01-01
a185fd,N198BA,Icon Aircraft,A5,A5,00080,A1P,,,2023-12-31,2019-01-01
a19d42,N203BA,Icon Aircraft,A5,A5,00008,A1P,,,2022-05-31,2016-01-01
a1a0f9,N204BA,Icon Aircraft,A5,A5,00082,A1P,,,2022-04-30,2019-01-01
a1c878,N214BA,Icon Aircraft,A5,A5,00075,A1P,,,2021-10-31,2019-01-01
a1d39d,N217BA,Icon Aircraft,A5,A5,00078,A1P,,,2022-04-30,2019-01-01
a1d754,N218BA,Icon Aircraft,A5,A5,00101,A1P,,,2022-09-30,2019-01-01
a1db0b,N219BA,Icon Aircraft,A5,A5,00102,A1P,,,2022-11-30,2019-01-01
a1eaa3,N222YP,Icon Aircraft,A5,A5,00045,A1P,,,2022-08-31,2018-01-01
a21008,N232BA,Icon Aircraft,A5,A5,00019,A1P,,,2023-08-31,
a213bf,N233BA,Icon Aircraft,A5,A5,00093,A1P,,,2023-10-31,2019-01-01
a22353,N237JK,Icon Aircraft,A5L-POC,,00001,A1P,,,2021-12-31,
a22652,N238BA,Icon Aircraft,A5,A5,00095,A1P,,,2022-06-30,2019-01-01
a22a09,N239BA,Icon Aircraft,A5,A5,00096,A1P,,,2022-07-31,2019-01-01
a2301b,N240BC,Icon Aircraft,A5,A5,00060,A1P,,,2022-01-31,2018-01-01
a29ccf,N268BA,Icon Aircraft,A5,A5,00097,A1P,,,2023-06-30,2019-01-01
a2aa61,N271BW,Icon Aircraft,A5,A5,00058,A1P,,,2022-02-28,2018-01-01
a2ebcd,N288BA,Icon Aircraft,A5,A5,00094,A1P,,,2022-06-30,2019-01-01
a2ed01,N288PJ,Icon Aircraft,A5,A5,00034,A1P,,,2022-09-30,2018-01-01
a30250,N293TH,Icon Aircraft,A5,A5,00104,A1P,,,2022-08-31,2019-01-01
a3568f,N314KA,Icon Aircraft,A5,A5,00027,A1P,,,2021-12-31,2018-01-01
a37e4c,N324MN,Icon Aircraft,A5,A5,00024,A1P,,,2024-03-31,2017-01-01
a3b886,N339PC,Icon Aircraft,A5,A5,00033,A1P,,,2021-11-30,2018-01-01
a3bb64,N34EL,Icon Aircraft,A5,A5,00067,A1P,,,2021-12-31,2018-01-01
a3d030,N345DD,Icon Aircraft,A5,A5,00030,A1P,,,2022-06-30,2018-01-01
a4df5f,N413BA,Icon Aircraft,A5,A5,00066,A1P,,,2022-03-31,2018-01-01
a53982,N436BA,Icon Aircraft,A5,A5,00071,A1P,,,2022-03-31,2018-01-01
a55993,N444BA,Icon Aircraft,A5,A5,00020,A1P,,,2023-10-31,2017-01-01
a579a4,N452BA,Icon Aircraft,A5,A5,00064,A1P,,,2022-06-30,2018-01-01
a593a5,N459BA,Icon Aircraft,A5,A5,00070,A1P,,,2022-04-30,2018-01-01
a5a891,N464BA,Icon Aircraft,A5,A5,00065,A1P,,,2022-06-30,2018-01-01
a5ac48,N465BA,Icon Aircraft,A5,A5,00068,A1P,,,2022-09-30,2018-01-01
a5afff,N466BA,Icon Aircraft,A5,A5,00086,A1P,,,2022-08-31,2019-01-01
a5b3b6,N467BA,Icon Aircraft,A5,A5,00006,A1P,,,2021-12-31,2016-01-01
a5b76d,N468BA,Icon Aircraft,A5,A5,00005,A1P,,,2023-07-31,2016-01-01
a5bb24,N469BA,Icon Aircraft,A5,A5,00089,A1P,,,2022-08-31,2019-01-01
a5d3c7,N475BA,Icon Aircraft,A5,A5,00084,A1P,,,2022-12-31,2019-01-01
a5deec,N478BA,Icon Aircraft,A5,A5,00087,A1P,,,2022-06-30,2019-01-01
a5ec6a,N481BA,Icon Aircraft,A5,A5,00090,A1P,,,2022-06-30,2019-01-01
a5f021,N482BA,Icon Aircraft,A5,A5,00092,A1P,,,2022-06-30,2019-01-01
a5fb46,N485BA,Icon Aircraft,A5,A5,00085,A1P,,,2022-05-31,2019-01-01
a5fefd,N486BA,Icon Aircraft,A5,A5,00088,A1P,,,2022-07-31,2019-01-01
a648e6,N504BA,Icon Aircraft,A5,A5,00043,A1P,,,2021-12-31,2018-01-01
