icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0080fe,ZS-AJD,Learjet,45,LJ45,45-369,L2J,,2008-07-21,,2008-01-01
0081cb,ZS-ARA,Learjet,35A,LJ35,35-349,L2J,ASM,2008-02-22,,1980-01-01
008644,ZS-CJB,Learjet,45,LJ45,45-037,L2J,,,,
00878f,ZS-CVU,Learjet,45,LJ45,45-250,L2J,,,,
008831,ZS-DCA,Learjet,45,LJ45,45-117,L2J,,,,
008ae7,ZS-ECS,Learjet,35A,LJ35,35A-304,L2J,,,,
008bc7,ZS-ELI,Learjet,55,LJ55,55-084,L2J,,,,
009ee0,ZS-LRJ,Learjet,45XR,LJ45,45-223,L2J,,,,
009f7a,ZS-LXH,Learjet,25D,LJ25,25D-206,L2J,,,,
00a1b2,ZS-MTD,Learjet,25B,LJ25,25B-160,L2J,MCC,,,
00a64c,ZS-OML,Learjet,31A,LJ31,31A-170,L2J,,,,
00a6a0,ZS-OPR,Learjet,45,LJ45,45-219,L2J,,,,
00a6a7,ZS-OPY,Learjet,45,LJ45,45-218,L2J,,,,
00a90e,ZS-PNP,Learjet,45,LJ45,45-059,L2J,,,,
00b030,ZS-SFV,Learjet,35A,LJ35,35A-275,L2J,,,,
00b049,ZS-SGU,Learjet,45XR,LJ45,45-365,L2J,,,,
00b179,ZS-SSM,Learjet,25XR,LJ25,25XR-022,L2J,,,,
00b2ae,ZS-TEJ,Learjet,60,LJ60,60-173,L2J,,,,
00b339,ZS-TJS,Learjet,45,LJ45,45-083,L2J,,,,
00b3bf,ZS-TOW,Learjet,35A,LJ35,35A-475,L2J,,,,
00b612,ZS-ULT,Learjet,45,LJ45,45-194,L2J,,,,
01806e,5A-UAE,Learjet,60XR,LJ60,60-385,L2J,UVN,,,
020081,CN-TJB,Learjet,45,LJ45,45-112,L2J,,,,
0640a4,5N-DAL,Learjet,45XR,LJ45,45-358,L2J,,,,
06410d,5N-LDM,Learjet,45XR,LJ45,45-327,L2J,,,,
090094,D2-EBN,Learjet,45,LJ45,45-069,L2J,,,,
090097,D2-FFX,Learjet,45,LJ45,45-066,L2J,,,,
09009c,D2-EPC,Learjet,60XR,LJ60,60-294,L2J,,,,
0a8044,C6-ZIP,Learjet,60,LJ60,60-214,L2J,COO,2013-12-01,,2001-01-01
0ac15e,HK-4891,Learjet,31A,LJ31,31A-123,L2J,,,,
0ac322,FAC1216,Learjet,60,LJ60,60-317,L2J,,,,
0ac323,HK-5107,Learjet,45,LJ45,45-200,L2J,,,,
0b4001,TG-AIR,Learjet,60XR,LJ60,60-377,L2J,,,,
0b4005,TG-SHV,Learjet,31A,LJ31,31A-130,L2J,,,,
0b4017,TG-MYS,Learjet,31A,LJ31,31A-067,L2J,,,,
0b4033,TG-CCH,Learjet,75,LJ75,45-555,L2J,,,,
0d002a,XA-NJM,Learjet,40XR,LJ40,45-2067,L2J,,,,
0d0098,XA-VLA,Learjet,60,LJ60,60-217,L2J,,,,
0d00cf,XA-IKE,Learjet,45,LJ45,45-176,L2J,,,,
0d00da,XA-PRA,Learjet,45,LJ45,45-067,L2J,,,,
0d0118,XB-AFA,Learjet,24D,LJ24,24D-290,L2J,,,,
0d0150,XA-ZTA,Learjet,60,LJ60,60-134,L2J,,,,
0d01b4,XA-VIG,Learjet,60,LJ60,60-116,L2J,,,,
0d01de,XA-FLY,Learjet,60,LJ60,60-250,L2J,,,,
0d024e,XA-ZYZ,Learjet,31A,LJ31,31A-073,L2J,TPG,,,
0d025a,XA-VYC,Learjet,45,LJ45,45-034,L2J,,2003-09-01,,1999-01-01
0d027b,XB-GSM,Learjet,35A,LJ35,35A-672,L2J,COO,,,
0d028d,XA-CZG,Learjet,35A,LJ35,35A-162,L2J,,,,
0d028e,XA-SAP,Learjet,45XR,LJ45,45-246,L2J,,,,
0d0295,XA-GRR,Learjet,40,LJ40,45-2013,L2J,,,,
0d0297,XA-UBI,Learjet,31A,LJ31,31A-235,L2J,,,,
0d02c6,XA-IRE,Learjet,60,LJ60,60-058,L2J,,,,
0d02ca,XA-AFX,Learjet,31A,LJ31,31A-159,L2J,,,,
0d02ef,XA-MDM,Learjet,60,LJ60,60-089,L2J,,,,
0d031c,XA-ZAP,Learjet,35A,LJ35,35A-129,L2J,,,,
0d0326,XA-ALF,Learjet,45,LJ45,45-127,L2J,,,,
0d0331,XA-ARQ,Learjet,31A,LJ31,31A-141,L2J,,,,
0d0332,XA-SNI,Learjet,40,LJ40,45-2030,L2J,,,,
0d0339,XA-KCM,Learjet,60,LJ60,60-291,L2J,,,,
0d0354,XA-RIU,Learjet,45,LJ45,45-038,L2J,PSN,,,
0d0362,XA-KLZ,Learjet,60,LJ60,60-297,L2J,,2006-01-01,,
0d0391,XC-HIS,Learjet,25D,LJ25,25D-312,L2J,,,,
0d03be,XC-HIE,Learjet,45,LJ45,45-026,L2J,,,,
0d03c0,XA-TGM,Learjet,31A,LJ31,31A-052,L2J,,,,
0d0412,XA-GTP,Learjet,45XR,LJ45,45-256,L2J,,,,
0d044b,XA-UJZ,Learjet,45,LJ45,45-188,L2J,,,,
