icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0098ba,ZS-JIV,Lockheed,L-100-30 Hercules,C130,4673,L4T,SFR,,,
0098be,ZS-JIZ,Lockheed,L-100-30 Hercules,C130,4695,L4T,ABR,,,
00a6a1,ZS-OPS,Lockheed,L-100-30 Hercules,C130,4799,L4T,SFR,,,
00a6c4,ZS-ORB,Lockheed,L-100-30 Hercules,C130,4248,L4T,SFR,,,
00aecb,ZS-RSC,Lockheed,L-100-30 Hercules,C130,4475,L4T,SFR,,,
00aece,ZS-RSF,Lockheed,L-100-30 Hercules,C130,4562,L4T,SFR,,,
00aecf,ZS-RSG,Lockheed,L-100-30 Hercules,C130,4565,L4T,SFR,,,
00b893,402,Lockheed,C-130BZ Hercules,C130,3749,L4T,LMG,,,
00b894,403,Lockheed,C-130B Hercules,C130,3750,L4T,LMG,,,
00b895,404,Lockheed,C-130B Hercules,C130,3764,L4T,LMG,,,
00b896,405,Lockheed,C-130BZ Hercules,C130,3765,L4T,LMG,,,
00b897,406,Lockheed,C-130BZ Hercules,C130,3767,L4T,LMG,,,
00eacb,165313,Lockheed,C-130T Hercules,C130,382-5383,L4T,CNV,,,
010075,SU-BAB,Lockheed,C-130H Hercules,C130,4709,L4T,EGY,,,
010076,SU-BAC,Lockheed,C-130H Hercules,C130,4714,L4T,EGY,,,
010077,SU-BAD,Lockheed,C-130H Hercules,C130,4719,L4T,EGY,,,
010078,SU-BAE,Lockheed,C-130H Hercules,C130,4721,L4T,EGY,,,
010079,SU-BAF,Lockheed,C-130H Hercules,C130,4728,L4T,EGY,,,
01007a,SU-BAI,Lockheed,C-130H Hercules,C130,4794,L4T,EGY,,,
01007b,SU-BAJ,Lockheed,C-130H Hercules,C130,4795,L4T,EGY,,,
01007c,SU-BAK,Lockheed,C-130H Hercules,C130,4797,L4T,EGY,,,
01007d,SU-BAL,Lockheed,C-130H Hercules,C130,4802,L4T,EGY,,,
01007e,SU-BAM,Lockheed,C-130H Hercules,C130,4803,L4T,EGY,,,
01007f,SU-BAN,Lockheed,C-130H Hercules,C130,4804,L4T,EGY,,,
010080,SU-BAP,Lockheed,C-130H Hercules,C130,4805,L4T,EGY,,,
010081,SU-BAQ,Lockheed,C-130H Hercules,C130,4806,L4T,EGY,,,
010082,SU-BAR,Lockheed,C-130H Hercules,C130,4807,L4T,EGY,,,
010083,SU-BAS,Lockheed,C-130H Hercules,C130,4808,L4T,EGY,,,
010084,SU-BAT,Lockheed,C-130H Hercules,C130,4809,L4T,EGY,,,
010085,SU-BAU,Lockheed,C-130H Hercules,C130,4810,L4T,EGY,,,
010086,SU-BAV,Lockheed,VC-130H Hercules,C130,4811,L4T,EGY,,,
010087,SU-BEW,Lockheed,C-130H Hercules,C130,4936,L4T,EGY,,,
010088,SU-BEX,Lockheed,C-130H Hercules,C130,4937,L4T,EGY,,,
010089,SU-BEY,Lockheed,C-130H Hercules,C130,4938,L4T,EGY,,,
01008a,SU-BKS,Lockheed,C-130H-30 Hercules,C130,5187,L4T,EGY,,,
01008b,SU-BKT,Lockheed,C-130H-30 Hercules,C130,5191,L4T,EGY,,,
01008c,SU-BKU,Lockheed,C-130H-30 Hercules,C130,5206,L4T,EGY,,,
01012c,SU-BPL,Lockheed,C-130H Hercules,C130,4599,L4T,EGY,,,
0183e9,LAAF-111,Lockheed,HC-130H Hercules,C130,4992,L4T,,,,
