icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
009464,ZS-HSD,MBB/Kawasaki,BK-117 B1,BK17,7079,H2T,,,,
00af97,ZS-RZY,MBB/Kawasaki,BK-117 B2,BK17,1040,H2T,,,,
00b031,ZS-SFW,MBB/Kawasaki,BK-117 C1,BK17,7532,H2T,,,,
140759,RA-01881,MBB/Kawasaki,BK-117 C1,BK17,7533,H2T,,,,
3dd373,D-HAID,MBB/Kawasaki,BK-117 B2,BK17,7018,H2T,,,,
3dd410,D-HAOE,MBB/Kawasaki,BK-117 C1,BK17,7530,H2T,,,,
3dd464,D-HARK,MBB/Kawasaki,BK-117 C1,BK17,7542,H2T,,,,
3dd4e6,D-HAWK,MBB/Kawasaki,BK-117 B2,BK17,7225,H2T,AMB,,,
3dd55c,D-HBAY,MBB/Kawasaki,BK-117 B2,BK17,7205,H2T,,,,
3dd652,D-HBKK,MBB/Kawasaki,BK-117 B2,BK17,7009,H2T,,,,
3dd68e,D-HBMS,MBB/Kawasaki,BK-117 C1,BK17,7531,H2T,AMB,,,
3dd75d,D-HBUR,MBB/Kawasaki,BK-117 A1,BK17,7007,H2T,,,,
3dda8e,D-HDAC,MBB/Kawasaki,BK-117 B2,BK17,7005,H2T,,,,
3ddadd,D-HDDD,MBB/Kawasaki,BK-117 B2,BK17,7164,H2T,,,,
3ddbd5,D-HDMR,MBB/Kawasaki,BK-117 B2,BK17,7045,H2T,,,,
3ddbeb,D-HDNN,MBB/Kawasaki,BK-117 C1,BK17,7546,H2T,,,,
3ddc24,D-HDPS,MBB/Kawasaki,BK-117 B2,BK17,7074,H2T,,,,
3ddc4b,D-HDRF,MBB/Kawasaki,BK-117 B2,BK17,7094,H2T,AMB,,,
3ddc4d,D-HDRH,MBB/Kawasaki,BK-117 B1,BK17,7199,H2T,AMB,,,
3ddc71,D-HDSR,MBB/Kawasaki,BK-117 C1,BK17,7545,H2T,AMB,,,
3ddd68,D-HECE,MBB/Kawasaki,BK-117 B2,BK17,7244,H2T,AMB,,,
3ddea0,D-HEOE,MBB/Kawasaki,BK-117 B2,BK17,7247,H2T,,,,
3de8e3,D-HILF,MBB/Kawasaki,BK-117 B2,BK17,7096,H2T,AMB,,,
3de8f9,D-HIMB,MBB/Kawasaki,BK-117 B1,BK17,7185,H2T,AMB,,,
3deb57,D-HJJJ,MBB/Kawasaki,BK-117 B2,BK17,7251,H2T,AMB,,,
3df08d,D-HLIR,MBB/Kawasaki,BK-117 C1,BK17,7500,H2T,,,,
3df653,D-HNNN,MBB/Kawasaki,BK-117 B2,BK17,7008,H2T,AMB,,,
3df73e,D-HNWO,MBB/Kawasaki,BK-117 C1,BK17,7552,H2T,,,,
3df73f,D-HNWP,MBB/Kawasaki,BK-117 C1,BK17,7553,H2T,,,,
3df740,D-HNWQ,MBB/Kawasaki,BK-117 C1,BK17,7554,H2T,,,,
3dfe90,D-HQQQ,MBB/Kawasaki,BK-117 B2,BK17,7071,H2T,AMB,,,
3e023a,D-HSAS,MBB/Kawasaki,BK-117 B2,BK17,7241,H2T,,,,
3e023b,D-HSAT,MBB/Kawasaki,BK-117 B2,BK17,7233,H2T,,,,
3e02ab,D-HSFB,MBB/Kawasaki,BK-117 B2,BK17,7240,H2T,,,,
3e0360,D-HSMA,MBB/Kawasaki,BK-117 B2,BK17,7073,H2T,,,,
3e059d,D-HTIB,MBB/Kawasaki,BK-117 A3,BK17,7022,H2T,,,,
3e06cd,D-HTTT,MBB/Kawasaki,BK-117 B2,BK17,7246,H2T,AMB,,,
3e0f0a,D-HWWW,MBB/Kawasaki,BK-117 B2,BK17,7248,H2T,AMB,,,
400e4f,G-OEMT,MBB/Kawasaki,BK-117 C1,BK17,7538,H2T,,2016-03-11,,2001-01-01
40123c,G-RESC,MBB/Kawasaki,BK-117 C1,BK17,7504,H2T,,2015-07-28,,1996-01-01
403acd,G-DCPA,MBB/Kawasaki,BK-117 C1,BK17,7511,H2T,,2015-08-07,,1995-01-01
440880,OE-XAR,MBB/Kawasaki,BK-117 C1,BK17,7528,H2T,,,,
46a0c4,SX-HFD,MBB/Kawasaki,BK-117 C1,BK17,7535,H2T,,,,
46a0c5,SX-HFE,MBB/Kawasaki,BK-117 C1,BK17,7536,H2T,,,,
46a0c8,SX-HFH,MBB/Kawasaki,BK-117 C1,BK17,7549,H2T,,,,
71ca00,HL9200,MBB/Kawasaki,BK-117 C1,BK17,1129,H2T,,,,
71ca14,HL9214,MBB/Kawasaki,BK-117 B1,BK17,1085,H2T,,,,
71ca27,HL9227,MBB/Kawasaki,BK-117 A1,BK17,1004,H2T,,,,
71ca43,HL9243,MBB/Kawasaki,BK-117 B1,BK17,1025,H2T,,,,
71ca93,HL9293,MBB/Kawasaki,BK-117 A1,BK17,1005,H2T,,,,
71cc45,HL9445,MBB/Kawasaki,BK-117 B2,BK17,1090,H2T,,,,
71cc50,HL9450,MBB/Kawasaki,BK-117 B2,BK17,1113,H2T,,,,
71cc53,HL9453,MBB/Kawasaki,BK-117 B2,BK17,1060,H2T,,,,
71cc54,HL9454,MBB/Kawasaki,BK-117 B2,BK17,1115,H2T,,,,
71cc58,HL9458,MBB/Kawasaki,BK-117 B2,BK17,1119,H2T,,,,
739449,4X-BDW,MBB/Kawasaki,BK-117 A4,BK17,7092,H2T,,,,
73946f,4X-BEM,MBB/Kawasaki,BK-117 B2,BK17,7228,H2T,,,,
7c0635,VH-BIF,MBB/Kawasaki,BK-117 B2,BK17,1084,H2T,,,,1991-01-01
7c0689,VH-BKR,MBB/Kawasaki,BK-117 B2,BK17,7179,H2T,,,,1988-01-01
7c154c,VH-EHQ,MBB/Kawasaki,BK-117 C1,BK17,7502,H2T,,,,1992-01-01
7c1602,VH-EMS,MBB/Kawasaki,BK-117 B2,BK17,1095,H2T,,,,1994-01-01
7c1a4d,VH-FHB,MBB/Kawasaki,BK-117 B2,BK17,1056,H2T,,,,1990-01-01
7c1a4f,VH-FHD,MBB/Kawasaki,BK-117 B2,BK17,1103,H2T,,,,1992-01-01
7c1a51,VH-FHF,MBB/Kawasaki,BK-117 B2,BK17,1093,H2T,,,,1991-01-01
7c2a34,VH-IME,MBB/Kawasaki,BK-117 B2,BK17,1097,H2T,,,,1991-01-01
7c30a9,VH-JWB,MBB/Kawasaki,BK-117 B2,BK17,1094,H2T,,,,1994-01-01
7c58a8,VH-RSQ,MBB/Kawasaki,BK-117 B2,BK17,1105,H2T,,,,
7c5cac,VH-SLA,MBB/Kawasaki,BK-117 B1,BK17,1048,H2T,,,,
7c5cc0,VH-SLU,MBB/Kawasaki,BK-117 B1,BK17,1065,H2T,,,,
7c619b,VH-TKD,MBB/Kawasaki,BK-117 B1,BK17,1083,H2T,,,,
