icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
000200,91-0302,McDonnell Douglas,F-15E-51-MC Strike Eagle,F15,1209/E167,L2J,,,,1991-01-01
004020,Z-ALB,McDonnell Douglas,DC-8-62AF,DC86,46162,L4J,SMJ,2008-05-01,2008-01-01,
004022,Z-GAA,McDonnell Douglas,MD-11F,MD11,48410,L3J,,,,
00a7b7,ZS-PAK,McDonnell Douglas,DC-9-32,DC93,47368,L2J,PHB,,,
00b400,ZS-TRJ,McDonnell Douglas,MD-87,MD87,49829,L2J,,,,
00bfc0,ZS-YDB,McDonnell Douglas,DC-8-62AF,DC86,46162,L4J,STX,,,
01006a,SU-BOZ,McDonnell Douglas,MD-83,MD83,53192,L2J,AMV,,,
044045,9G-TOP,McDonnell Douglas,DC-8-63CF,DC86,46151,L4J,JON,,,
04c09b,5Y-AXN,McDonnell Douglas,MD-82,MD82,49207,L2J,AXK,,,
04c09c,5Y-AXL,McDonnell Douglas,MD-82,MD82,49204,L2J,AXK,,,
04c12e,5Y-UAE,McDonnell Douglas,DC-9-34CF,DC93,47707,L2J,ACP,,,
0640a2,5N-BKI,McDonnell Douglas,MD-82,MD82,49482,L2J,,,,
0640a3,5N-SRI,McDonnell Douglas,MD-83,MD83,53020,L2J,,,,
0640cf,5N-JAI,McDonnell Douglas,MD-83,MD83,53016,L2J,,,,
064123,5N-DEV,McDonnell Douglas,MD-83,MD83,49947,L2J,,,,
06415d,5N-JOY,McDonnell Douglas,MD-83,MD83,49944,L2J,,,,
07a001,3DC-SWZ,McDonnell Douglas,MD-87,MD87,53041,L2J,,,,
084f00,TT-ABC,McDonnell Douglas,MD-87,MD87,49888,L2J,,,,
08ce39,9Q-COW,McDonnell Douglas,MD-82,MD82,49251,L2J,ALX,,,
08ce3e,9Q-COY,McDonnell Douglas,MD-82,MD82,49256,L2J,ALX,,,
09c010,XT-ABC,McDonnell Douglas,MD-87,MD87,49834,L2J,VBW,,,
0c4081,HI914,McDonnell Douglas,MD-82,MD82,49476,L2J,,,,
0c4085,HI978,McDonnell Douglas,MD-87,MD87,49780,L2J,,,,
0c4086,HI989,McDonnell Douglas,MD-83,MD83,49568,L2J,,,,
0c4087,HI992,McDonnell Douglas,MD-83,MD83,49741,L2J,,,,
0d05d3,XA-UOG,McDonnell Douglas,DC-9-33RC,DC93,47194,L2J,VTM,,,
0d067e,XA-DHL,McDonnell Douglas,DC-9-33RC,DC93,47193,L2J,VTM,,,
0d0724,XA-UQT,McDonnell Douglas,DC-9-32F,DC93,47147,L2J,VTM,,,
0d075c,XA-URM,McDonnell Douglas,DC-9-32F,DC93,47148,L2J,VTM,,,
0d0842,XA-UTX,McDonnell Douglas,MD-82SF,MD82,49342,L2J,VTM,,,
0d089a,XA-UUT,McDonnell Douglas,DC-9-32F,DC93,47355,L2J,VTM,,,
0d08d7,XA-UVG,McDonnell Douglas,MD-83SF,MD83,49663,L2J,VTM,,,
0d09a2,XA-UXI,McDonnell Douglas,MD-82SF,MD82,49558,L2J,VTM,,,
0d8063,YV137T,McDonnell Douglas,DC-9-51,DC95,47771,L2J,,,,
0d8129,YV1243,McDonnell Douglas,MD-81,MD81,49908,L2J,LER,,,
0d812a,YV1240,McDonnell Douglas,MD-81,MD81,49907,L2J,LER,,,
0d8143,YV571T,McDonnell Douglas,MD-83,MD83,49232,L2J,,,,
0d814b,YV469T,McDonnell Douglas,MD-81,MD81,53299,L2J,LER,,,
0d815a,YV481T,McDonnell Douglas,MD-83,MD83,49846,L2J,BBR,,,
0d8164,YV485T,McDonnell Douglas,MD-83,MD83,49668,L2J,BBR,,,
0d816e,YV492T,McDonnell Douglas,MD-81,MD81,53301,L2J,LER,,,
0d817d,YV505T,McDonnell Douglas,MD-82,MD82,49794,L2J,,,,
0d8185,YV2793,McDonnell Douglas,MD-82,MD82,49796,L2J,ALV,2012-01-01,,1990-01-01
0d8199,YV524T,McDonnell Douglas,DC-10-30F,DC10,47840,L3J,OLC,,,
0d819f,YV529T,McDonnell Douglas,MD-83,MD83,53024,L2J,,,,
0d81b4,YV539T,McDonnell Douglas,MD-83,MD83,49848,L2J,OCA,,,
0d81b9,YV2927,McDonnell Douglas,MD-82,MD82,49924,L2J,LER,,,
0d81c4,YV2957,McDonnell Douglas,MD-82,MD82,53233,L2J,,,,
0d81d0,YV2971,McDonnell Douglas,MD-83,MD83,53472,L2J,OCA,,,
0d81dd,YV2990,McDonnell Douglas,MD-83,MD83,53473,L2J,OCA,,,
0d81e1,YV2992,McDonnell Douglas,MD-82,MD82,53206,L2J,,,,
0d81ee,YV3024,McDonnell Douglas,MD-83,MD83,53453,L2J,OCA,,,
0d8207,YV3053,McDonnell Douglas,MD-82,MD82,49566,L2J,LER,,,
0d822d,YV3097,McDonnell Douglas,MD-82,MD82,49969,L2J,ALV,2015-08-01,,1990-01-01
0d823a,YV3145,McDonnell Douglas,MD-82,MD82,49565,L2J,LER,,,
0d8275,YV3244,McDonnell Douglas,MD-82,MD82,49919,L2J,LER,,,
