icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
468074,4116,Mikoyan-Gurevich,MiG-29G,MG29,2960525106,L2J,PLF,,,
48ddb5,SP-YNZ,PZL-Mielec,Lim-2,MG15,1A06006,L1J,,,,
7c1054,VH-DIE,Mikoyan-Gurevich,MiG-15UTI,MG15,3804,L1J,,,,1955-01-01
7c56a7,VH-REH,PZL-Mielec,SBLim-2,MG15,1A08007,L1J,,,,
a00aeb,N1011E,Mikoyan-Gurevich,MiG-21F,MG21,1011,L1J,,,2022-04-30,
a013cb,N104CJ,PZL-Mielec,SBLim-2,MG15,1A01004,L1J,,,,
a03fe0,N115MG,Mikoyan-Gurevich,MiG-15UTI,MG15,622028,L1J,,,,
a0409a,N115UT,Mikoyan-Gurevich,MiG-15UTI,MG15,31040,L1J,,,2022-07-31,1955-01-01
a04584,N1165,Mikoyan-Gurevich,MiG-21UM,MG21,0165,L1J,,,2023-09-30,
a047b3,N117RH,PZL-Mielec,Lim-5,MG17,1C1502,L1J,,,2023-04-30,1958-01-01
a05883,N121MG,Mikoyan-Gurevich,MiG-21,MG21,433372128,L1J,,,2022-05-31,1978-01-01
a07744,N129XX,Mikoyan-Gurevich,MiG-29UB,MG29,80003003127,L2J,,,2022-04-30,1986-01-01
a079c5,N13KM,Mikoyan-Gurevich,MiG-15,MG15,1B01013,L1J,,,2023-01-31,
a09bb5,N1383L,PZL-Mielec,Lim-2,MG15,1A09016,L1J,,,,
a0ad4c,N1426D,PZL-Mielec,Lim-5,MG17,1C1426,L1J,,,,
a0c894,N15HQ,Mikoyan-Gurevich,MiG-15UTI,MG15,3506,L1J,,,,
a0c8fc,N15MU,Mikoyan-Gurevich,MiG-15UTI,MG15,1A06025,L1J,,,2022-11-30,
a0c9aa,N15UT,PZL-Mielec,SBLim-2,MG15,522546,L1J,,,2022-07-31,1955-01-01
a0cb49,N150MG,PZL-Mielec,SBLim-2,MG15,1A07031,L1J,,,2024-04-30,1954-01-01
a0e4d1,N157GL,PZL-Mielec,Lim-2,MG15,1A05007,L1J,,,,
a11792,N17HQ,PZL-Mielec,Lim-6,MG17,1J0528,L1J,,,2023-04-30,1963-01-01
a11843,N17QS,PZL-Mielec,Lim-5,MG17,1C1423,L1J,,,,
a11fb3,N1713P,PZL-Mielec,Lim-5,MG17,1C1713,L1J,,,2024-01-31,
a1b7a1,N21EV,Mikoyan-Gurevich,MiG-21UM,MG21,516921071,L1J,,,2023-11-30,1974-01-01
a1b874,N21PF,Mikoyan-Gurevich,MiG-21PF,MG21,761811,L1J,,,2023-08-31,1965-01-01
a1b9f2,N210EM,Mikoyan-Gurevich,MiG-21UM,MG21,516999293,L1J,,,,
a1bda9,N211EM,Mikoyan-Gurevich,MiG-21UM,MG21,516913046,L1J,,,,
a1d452,N217JG,PZL-Mielec,Lim-5,MG17,1C0306,L1J,,,,
a1d51b,N217SH,PZL-Mielec,Lim-5,MG17,1C1611,L1J,,,2022-07-31,1959-01-01
a1d525,N217ST,PZL-Mielec,Lim-6,MG17,1J0514,L1J,,,2022-03-31,
a1df35,N22FR,Mikoyan-Gurevich,MiG-21US,MG21,02685144,L1J,,,,
a1ed44,N223ML,Mikoyan-Gurevich,MiG-23ML,MG23,0390323303,L1J,,,,
a207eb,N23UB,Mikoyan-Gurevich,MiG-23UB,MG23,1038107,L1J,,,2022-04-30,1981-01-01
a25a52,N2503U,PZL-Mielec,Lim-5,MG17,1C1603,L1J,,,,
a327bb,N302LA,Mikoyan-Gurevich,MiG-15UTI,MG15,1A3302,L1J,,,2022-01-31,
a32fc0,N304SB,PZL-Mielec,SBLim-2,MG15,1A03504,L1J,,,2023-03-31,1955-01-01
a35ae1,N315RF,Mikoyan-Gurevich,MiG-21UM,MG21,664418,L1J,,,,
a36129,N317DM,Mikoyan-Gurevich,MiG-21,MG21,516913056,L1J,,,2023-07-31,1974-01-01
a361ec,N317MG,PZL-Mielec,Lim-2,MG15,1A09012,L1J,,,,
a373a9,N321ST,Mikoyan-Gurevich,MiG-21,MG21,07695165,L1J,,,2022-03-31,
a448e4,N3751L,Mikoyan-Gurevich,MiG-21UM,MG21,3751,L1J,,,2022-08-31,
a4aa6d,N40BM,Mikoyan-Gurevich,MiG-15,MG15,1A06040,L1J,,,2023-08-31,1953-01-01
a541f0,N438MG,PZL-Mielec,Lim-6,MG17,1J0438,L1J,,,2022-05-31,1963-01-01
a64d9d,N505MG,PZL-Mielec,Lim-6,MG17,1J0505,L1J,,,2022-07-31,
a658bb,N508M,PZL-Mielec,Lim-6R,MG17,1J0508,L1J,,,,
a6649e,N5106E,Mikoyan-Gurevich,MiG-23UB,MG23,7827,L1J,,,2023-02-28,
a66fd0,N5136T,PZL-Mielec,SBLim-2,MG15,1A11014,L1J,,,2024-01-31,
