icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
007761,101,Mil,Mi-8IV,MI8,95578,H2T,LAF,,,
00931a,ZS-HFL,Mil,Mi-8MTV-1,MI8,95958,H2T,,,,
00931b,ZS-HFM,Mil,Mi-8MTV-1,MI8,94022,H2T,,,,
009381,ZS-HJK,Mil,Mi-17MT,MI8,108M40,H2T,,,,
00afd3,ZS-SCG,Mil,Mi-8MTV-1,MI8,95955,H2T,,,,
00b1a6,ZS-SUF,Mil,Mi-8MTV-1,MI8,93345,H2T,,,,
00b458,ZS-TUT,Mil,Mi-8MTV-1,MI8,96151,H2T,,,,
140228,RF-00552,Mil,Mi-2,MI2,549230055,H2T,,,,
14022e,RA-00558,Mil,Mi-2,MI2,5410822019,H2T,,,,
140238,RA-00568,Mil,Mi-2,MI2,545718088,H2T,,,,
140249,RA-00585,Mil,Mi-2,MI2,549340085,H2T,,,,
14024a,RA-00586,Mil,Mi-2,MI2,548702054,H2T,,,,
1403c5,RA-00965,Mil,Mi-2,MI2,546736080,H2T,,,,
1403c8,RA-00968,Mil,Mi-2,MI2,549202045,H2T,,,,
140435,RF-01077,Mil,Mi-2,MI2,5310632068,H2T,,,,
140fa1,RA-04001,Mil,Mi-34S,MI34,9783004301001,H1P,,,,
140fa5,RA-04005,Mil,Mi-34S,MI34,9783003502003,H1P,,,,
141771,RA-06001,Mil,Mi-26T,MI26,34001212084,H2T,UTA,,,
141772,RA-06002,Mil,Mi-26T,MI26,34001212085,H2T,UTA,,,
141774,RA-06004,Mil,Mi-26T,MI26,34001212107,H2T,UTA,,,
141779,RA-06009,Mil,Mi-26T,MI26,34001212135,H2T,UTA,,,
14177f,RA-06015,Mil,Mi-26T,MI26,34001212303,H2T,UTA,,,
141783,RA-06019,Mil,Mi-26T,MI26,34001212320,H2T,,,,
141789,RA-06025,Mil,Mi-26T,MI26,34001212401,H2T,,,,
14178c,RA-06028,Mil,Mi-26T,MI26,34001212404,H2T,UTA,,,
14178d,RA-06029,Mil,Mi-26T,MI26,34001212405,H2T,UTA,,,
14178e,RA-06030,Mil,Mi-26T,MI26,34001212406,H2T,,,,
14178f,RA-06031,Mil,Mi-26T,MI26,34001212421,H2T,UTA,,,
141791,RA-06033,Mil,Mi-26T,MI26,34001212423,H2T,,,,
141797,RA-06039,Mil,Mi-26T,MI26,34001212429,H2T,,,,
14179d,RA-06045,Mil,Mi-26T,MI26,34001212435,H2T,UTA,,,
1417c0,RA-06080,Mil,Mi-26T,MI26,34001212470,H2T,UTA,,,
1417c1,RA-06081,Mil,Mi-26T,MI26,34001212471,H2T,DRU,,,
1417c2,RA-06082,Mil,Mi-26T,MI26,34001212472,H2T,UTA,,,
1417c7,RA-06087,Mil,Mi-26T,MI26,34001212480,H2T,,,,
1417d4,RA-06100,Mil,Mi-8T,MI8,98628939,H2T,,,,
1417e1,RA-06113,Mil,Mi-8T,MI8,9775576,H2T,,,,
1417eb,RA-06123,Mil,Mi-8,MI8,9775577,H2T,,,,
1417f7,RA-06135,Mil,Mi-8MTV-1,MI8,93757,H2T,,,,
141801,RA-06145,Mil,Mi-8T,MI8,98943961,H2T,LLM,,,
141804,RA-06148,Mil,Mi-8T,MI8,98315200,H2T,NKZ,,,
141806,RA-06150,Mil,Mi-8T,MI8,98841531,H2T,KNM,,,
141807,RA-06151,Mil,Mi-8,MI8,8550,H2T,,,,
14180c,RA-06156,Mil,Mi-8MTV-1,MI8,93395,H2T,,,,
14180e,RA-06158,Mil,Mi-8T,MI8,98943867,H2T,,,,
141812,RA-06162,Mil,Mi-8T,MI8,98943931,H2T,GZP,,,
14181a,RA-06170,Mil,Mi-8T,MI8,98841552,H2T,,,,
14181b,RA-06171,Mil,Mi-8T,MI8,98420128,H2T,,,,
141825,RA-06181,Mil,Mi-26,MI26,226209,H2T,UTA,,,
141827,RF-06052,Mil,Mi-26T,MI26,34001212477,H2T,,,,
14186f,RA-06255,Mil,Mi-26T,MI26,34001212623,H2T,,,,
141874,RA-06260,Mil,Mi-26T,MI26,34001212120,H2T,,,,
14187c,RA-06268,Mil,Mi-26T,MI26,34001212483,H2T,,,,
141881,RA-06273,Mil,Mi-26T,MI26,34001212501,H2T,,,,
141885,RA-06277,Mil,Mi-26T,MI26,34001212410,H2T,,,,
14188d,RA-06285,Mil,Mi-26T,MI26,34001212511,H2T,,,,
141893,RF-32822,Mil,Mi-26T,MI26,34001212615,H2T,,,,
141895,RA-06293,Mil,Mi-26T,MI26,34001212612,H2T,,,,
141898,RA-06296,Mil,Mi-26T,MI26,34001212112,H2T,,,,
141899,RA-06297,Mil,Mi-26T,MI26,34001212114,H2T,UTA,,,
14189b,RA-06299,Mil,Mi-26T,MI26,34001212614,H2T,,,,
1436f3,RA-14067,Mil,Mi-2,MI2,5210546048,H2T,,,,
143709,RA-14089,Mil,Mi-2,MI2,5310633068,H2T,,,,
14370f,RA-14095,Mil,Mi-2,MI2,5210704078,H2T,,,,
143711,RA-14097,Mil,Mi-2,MI2,5310706088,H2T,,,,
143712,RA-14098,Mil,Mi-2,MI2,5310707088,H2T,,,,
14371f,RA-14111,Mil,Mi-2,MI2,5210730098,H2T,,,,
143731,RA-14129,Mil,Mi-2,MI2,5410841039,H2T,,,,
14373a,RA-14138,Mil,Mi-2,MI2,5210342087,H2T,AFL,,,
14373c,RA-14140,Mil,Mi-2,MI2,5210347097,H2T,AFL,,,
14373f,RA-14143,Mil,Mi-2,MI2,5210350097,H2T,,,,
143743,RA-14147,Mil,Mi-2,MI2,5210405097,H2T,,,,
143769,RA-14185,Mil,Mi-2,MI2,5410526028,H2T,,,,
14376a,RA-14186,Mil,Mi-2,MI2,5410527028,H2T,,,,
143771,RA-14193,Mil,Mi-2,MI2,5310534038,H2T,,,,
14377a,RA-14202,Mil,Mi-2,MI2,5310943069,H2T,,,,
14377b,RA-14203,Mil,Mi-2,MI2,5211001079,H2T,,,,
143796,RA-14230,Mil,Mi-2,MI2,5311117020,H2T,,,,
143799,RA-14233,Mil,Mi-2,MI2,5311120020,H2T,,,,
1437a4,RA-14244,Mil,Mi-2,MI2,5311131040,H2T,,,,
1437ab,RA-14251,Mil,Mi-2,MI2,5211138050,H2T,,,,
1437c1,RA-14273,Mil,Mi-2,MI2,5311226051,H2T,,,,
1437c3,RA-14275,Mil,Mi-2,MI2,5311228051,H2T,,,,
1437f5,RA-14325,Mil,Mi-2,MI2,5410517018,H2T,,,,
1437f6,RA-14326,Mil,Mi-2,MI2,513708074,H2T,,,,
1437fe,RA-14334,Mil,Mi-2,MI2,5410646078,H2T,,,,
143bbc,RA-15292,Mil,Mi-2,MI2,525749098,H2T,,,,
143d06,RA-15622,Mil,Mi-2,MI2,5210037126,H2T,,,,
143d07,RA-15623,Mil,Mi-2,MI2,5210038126,H2T,,,,
143d16,RA-15638,Mil,Mi-2,MI2,5410109017,H2T,,,,
143d22,RA-15650,Mil,Mi-2,MI2,5410427117,H2T,,,,
143d23,RA-15651,Mil,Mi-2,MI2,5410428117,H2T,,,,
143d24,RA-15652,Mil,Mi-2,MI2,5410429117,H2T,,,,
143d26,RA-15654,Mil,Mi-2,MI2,5410431117,H2T,,,,
143d27,RA-15655,Mil,Mi-2,MI2,549620026,H2T,,,,
143d2b,RA-15659,Mil,Mi-2,MI2,547932122,H2T,,,,
143d37,RA-15671,Mil,Mi-2,MI2,549919086,H2T,,,,
143d3a,RA-15674,Mil,Mi-2,MI2,5410613058,H2T,,,,
143d41,RA-15681,Mil,Mi-2,MI2,5410426117,H2T,,,,
