icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
3003e7,I-CGBB,Mooney,M20J 201,M20P,24-3129,L1P,,,,
3004ed,I-JOBE,Mooney,M20R Ovation,M20P,29-0085,L1P,,,,
343103,EC-EPY,Mooney,M20J 201,M20P,24-3112,L1P,,,,
345317,EC-ELH,Mooney,M20J 201,M20P,24-1322,L1P,,,,
382ce0,F-BLHA,Mooney,M20C Mark 21,M20P,2485,L1P,,,,
382dca,F-BLOK,Mooney,M20E Super 21,M20P,229,L1P,,,,
383168,F-BMLI,Mooney,M20C Mark 21,M20P,2775,L1P,,,,
383169,F-BMLJ,Mooney,M20E Super 21,M20P,425,L1P,,,,
383235,F-BMRV,Mooney,M20E Super 21,M20P,512,L1P,,,,
383500,F-BNIA,Mooney,M20E Super 21,M20P,624,L1P,,,,
383569,F-BNLJ,Mooney,M20E Super 21,M20P,1089,L1P,,,,
3835c0,F-BNOA,Mooney,M20E Super 21,M20P,919,L1P,,,,
3835c1,F-BNOB,Mooney,M20E Super 21,M20P,960,L1P,,,,
3838f3,F-BOHT,Mooney,M20F Executive 21,M20P,670170,L1P,,,,
38392d,F-BOJN,Mooney,M20F Executive 21,M20P,670026,L1P,,,,
38396e,F-BOLO,Mooney,M20E Super 21,M20P,1177,L1P,,,,
383975,F-BOLV,Mooney,M20F Executive 21,M20P,670296,L1P,,,,
3844e0,F-BRHA,Mooney,M20E Super 21,M20P,810,L1P,,,,
38450b,F-BRIL,Mooney,M20F Executive 21,M20P,690050,L1P,,,,
3854b9,F-BVFZ,Mooney,M20E Super 21,M20P,341,L1P,,,,
38568c,F-BVUM,Mooney,M20E Chaparral 201,M20P,700032,L1P,,,,
386012,F-BYAS,Mooney,M20J 201,M20P,24-0380,L1P,,,,
386587,F-AZMH,Mooney,M20B Mark 21,M20P,1778,L1P,,,,
39058b,F-GBML,Mooney,M20J 201,M20P,24-0530,L1P,,,,
3905eb,F-GBPL,Mooney,M20K 231,M20T,25-0339,L1P,,,,
390921,F-GCJB,Mooney,M20K 231,M20T,25-0248,L1P,,,,
390aa0,F-GCVA,Mooney,M20K 231,M20T,25-0508,L1P,,,,
39104b,F-GECL,Mooney,M20J 201LM,M20P,24-1531,L1P,,,,
3918cb,F-GGGL,Mooney,M20J 205,M20P,24-3027,L1P,,,,
391989,F-GGMJ,Mooney,M20J 205,M20P,24-3045,L1P,,,,
3919eb,F-GGPL,Mooney,M20J 201LM,M20P,24-1632,L1P,,,,
391a2b,F-GGRL,Mooney,M20J 201LM,M20P,24-1622,L1P,,,,
391c02,F-GHAC,Mooney,M20J 201LM,M20P,24-1637,L1P,,,,
391c32,F-GHBS,Mooney,M20F Executive 21,M20P,670142,L1P,,,,
391c46,F-GHCG,Mooney,M20J 205,M20P,24-3075,L1P,,,,
391c8b,F-GHEL,Mooney,M20J 201,M20P,24-3028,L1P,,,,
391d81,F-GHMB,Mooney,M20K 231,M20T,25-0740,L1P,,,,
391dec,F-GHPM,Mooney,M20J 201LM,M20P,24-1640,L1P,,,,
391e79,F-GHTZ,Mooney,M20K 231,M20T,25-0322,L1P,,,,
391ea9,F-GHVJ,Mooney,M20J 201LM,M20P,24-1560,L1P,,,,
392122,F-GIJC,Mooney,M20K 231,M20T,25-0555,L1P,,,,
392128,F-GIJI,Mooney,M20J 201,M20P,24-3092,L1P,,,,
3921e4,F-GIPE,Mooney,M20J 205,M20P,24-3066,L1P,,,,
3921f3,F-GIPT,Mooney,M20K 231,M20T,25-0172,L1P,,,,
392228,F-GIRI,Mooney,M20C Mark 21,M20P,1978,L1P,,,,
392420,F-GJBA,Mooney,M20J 201,M20P,24-3132,L1P,,,,
392463,F-GJDD,Mooney,M20K 231,M20T,25-0776,L1P,,,,
3924ca,F-GJGK,Mooney,M20J 201,M20P,24-3178,L1P,,,,
3924cd,F-GJGN,Mooney,M20J 201,M20P,24-3200,L1P,,,,
392565,F-GJLF,Mooney,M20M TLS,M20T,27-0066,L1P,,,,
392599,F-GJMZ,Mooney,M20J 201,M20P,24-3194,L1P,,,,
392865,F-GKDF,Mooney,M20M TLS,M20T,27-0109,L1P,,,,
392995,F-GKMV,Mooney,M20J 201,M20P,24-3210,L1P,,,,
3929e0,F-GKPA,Mooney,M20J 201,M20P,24-3166,L1P,,,,
392a2f,F-GKRP,Mooney,M20J 201,M20P,24-3211,L1P,,,,
392c89,F-GLEJ,Mooney,M20K 252TSE,M20T,25-1100,L1P,,,,
392e4c,F-GLSM,Mooney,M20C Ranger,M20P,20-0024,L1P,,,,
393100,F-GMIA,Mooney,M20J 201,M20P,24-3358,L1P,,,,
393241,F-GMSB,Mooney,M20M TLS,M20T,27-0126,L1P,,,,
39342a,F-GNBK,Mooney,M20J 201,M20P,24-0417,L1P,,,,
393829,F-GOBJ,Mooney,M20M TLS,M20T,27-0199,L1P,,,,
393ce5,F-GPHF,Mooney,M20J 201,M20P,24-3290,L1P,,,,
393cf1,F-GPHR,Mooney,M20J 201,M20P,24-0975,L1P,,,,
39446b,F-GRDL,Mooney,M20K 231,M20T,25-0027,L1P,,,,
39448b,F-GREL,Mooney,M20J MSE,M20P,24-3403,L1P,,,,
3961e5,F-GYPF,Mooney,M20M TLS,M20T,27-0135,L1P,,,,
396471,F-GZDR,Mooney,M20J 201,M20P,24-0811,L1P,,,,
396522,F-GZJC,Mooney,M20R Ovation,M20P,29-0424,L1P,,,,
39666b,F-GZTL,Mooney,M20M TLS,M20T,27-0240,L1P,,,,
398022,F-HABC,Mooney,M20M TLS,M20T,27-0233,L1P,,,,
398535,F-HBJV,Mooney,M20J MSE,M20P,24-3419,L1P,,,,
398843,F-HCCD,Mooney,M20J 201,M20P,24-0842,L1P,,,,
39a252,F-HISS,Mooney,M20R Ovation,M20P,29-0361,L1P,,,,
39ba72,F-HOTS,Mooney,M20J 201,M20P,24-3131,L1P,,,,
39c866,F-HSDG,Mooney,M20K 231,M20T,25-0817,L1P,,,,
39d40b,F-HVAL,Mooney,M20J 201,M20P,24-0586,L1P,,,,
3d04ac,D-EAAE,Mooney,M20F Executive,M20P,22-1345,L1P,,,,
3d04c4,D-EABC,Mooney,M20F Executive 21,M20P,690058,L1P,,,,
3d052e,D-EAFE,Mooney,M20K 231,M20T,25-0854,L1P,,,,
3d0541,D-EAFX,Mooney,M20K 231,M20T,25-0865,L1P,,,,
3d057a,D-EAIC,Mooney,M20J 201,M20P,24-0399,L1P,,,,
3d058b,D-EAIT,Mooney,M20K 231,M20T,25-0771,L1P,,,,
3d05ce,D-EALI,Mooney,M20F Executive 21,M20P,680123,L1P,,,,
3d05f3,D-EAMT,Mooney,M20J 201,M20P,24-3084,L1P,,,,
3d060c,D-EANS,Mooney,M20G Statesman,M20P,680008,L1P,,,,
3d0631,D-EAPD,Mooney,M20J 201,M20P,24-0520,L1P,,,,
