icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
3864ed,F-AZHN,North American,T-28C Trojan,T28,226-124,L1P,,,,
3864f1,F-AZHR,North American,T-28A Trojan,T28,174-602,L1P,,,,
386546,F-AZKG,North American,T-28A Trojan,T28,174-111,L1P,,,,
3d7f70,D-FUMY,North American,T-28C Trojan,T28,252-9,L1P,,,,
404053,G-TROY,North American,T-28A Trojan,T28,51-7692,L1P,,1999-04-21,,1951-01-01
440322,OE-ESA,North American,T-28B Trojan,T28,200-250,L1P,,,,
7c02f6,VH-AVC,North American,T-28D Nomad,T28,49-1519,L1P,,,,1949-01-01
7c0b40,VH-CIA,North American,T-28D Nomad,T28,49-1584,L1P,,,,1949-01-01
7c115f,VH-DPT,North American,T-28D Nomad,T28,55-138232,L1P,,,,1955-01-01
7c1203,VH-DUD,North American,T-28B Trojan,T28,200-164,L1P,,,,
7c1b32,VH-FNO,North American,T-28B Trojan,T28,138122,L1P,,,,1954-01-01
7c32ad,VH-KAN,North American,T-28B Trojan,T28,140016,L1P,,,,1955-01-01
7c41e6,VH-NAW,North American,T-28B Trojan,T28,138278,L1P,,,,1962-01-01
7c4cb0,VH-PFM,North American,T-28D Nomad,T28,51-3588,L1P,,,,1951-01-01
7c57f7,VH-RNT,North American,T-28B Trojan,T28,200-411,L1P,,,,
7c5843,VH-RPX,North American,T-28B Trojan,T28,200-106,L1P,,,,
7c5c2f,VH-SHT,North American,T-28B Trojan,T28,200-330,L1P,,,,
7c62a2,VH-TRO,North American,T-28D Nomad,T28,174-260,L1P,,,,
7c6a87,VH-VBT,North American,T-28D Nomad,T28,171-27,L1P,,,,
7c8162,VH-ZUC,North American,T-28D Nomad,T28,174-429,L1P,,,,
7c816a,VH-ZUK,North American,T-28D Nomad,T28,174-374,L1P,,,,
a00156,N1PQ,North American,T-28B Trojan,T28,200-79,L1P,,,,
a00465,N10WX,North American,T-28A Trojan,T28,49-1516,L1P,,,2022-06-30,1949-01-01
a01526,N104SF,North American,T-28B Trojan,T28,137790,L1P,,,2022-07-31,1954-01-01
a018dd,N105SF,North American,T-28B Trojan,T28,138341,L1P,,,2021-11-30,
a01fe2,N107NA,North American,T-28B Trojan,T28,200-262,L1P,,,2022-12-31,1955-01-01
a04ce1,N1184T,North American,T-28C Trojan,T28,252-46,L1P,,,,
a04f2b,N119RT,North American,T-28B Trojan,T28,138119,L1P,,,2022-07-31,
a07186,N128BC,North American,T-28A Trojan,T28,436,L1P,,,2023-08-31,1951-01-01
a07194,N128BS,North American,T-28B Trojan,T28,138240,L1P,,,2022-12-31,1955-01-01
a071ae,N128CT,North American,T-28C Trojan,T28,226-163,L1P,,,,
a071da,N128EM,North American,T-28C Trojan,T28,C-008,L1P,,,2022-02-28,1955-01-01
a07235,N128JC,North American,T-28C Trojan,T28,140549,L1P,,,2021-12-31,1956-01-01
a07281,N128MD,North American,T-28B Trojan,T28,200-89,L1P,,,,
a07317,N128TD,North American,T-28B Trojan,T28,200-384,L1P,,,,
a07b42,N130AS,North American,T-28B Trojan,T28,200-174,L1P,,,,
a07cde,N130TD,North American,T-28B Trojan,T28,140030,L1P,,,2023-04-30,1955-01-01
a08611,N1328B,North American,T-28B Trojan,T28,138354,L1P,,,2023-02-28,
a0963d,N137LS,North American,T-28B Trojan,T28,137669,L1P,,,2022-02-28,1954-01-01
a0965f,N137NA,North American,T-28B Trojan,T28,137663,L1P,,,2023-11-30,
