icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
008097,ZS-AFE,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,678,L1T,,,,
00815b,ZS-AMS,Pilatus,PC-12/47,PC12,845,L1T,,,,
0081a9,ZS-APS,Pilatus,PC-12/47,PC12,771,L1T,,,,
00820b,ZS-ATM,Pilatus,PC-12/45,PC12,615,L1T,,,,
0086cc,ZS-COH,Pilatus,PC-12/45,PC12,436,L1T,,,,
0086e2,ZS-CPD,Pilatus,PC-12/47E,PC12,1037,L1T,,,,
008758,ZS-CTR,Pilatus,PC-12/47E,PC12,1135,L1T,,,,
008810,ZS-DAT,Pilatus,PC-12/45,PC12,242,L1T,FDR,,,
008876,ZS-DER,Pilatus,PC-12/45,PC12,554,L1T,,,,
00891c,ZS-DLB,Pilatus,PC-12/47,PC12,791,L1T,,,,
008941,ZS-DMM,Pilatus,PC-12/45,PC12,198,L1T,,,,
008f39,ZS-FTG,Pilatus,PC-12/47E,PC12,1152,L1T,,,,
009123,ZS-GMC,Pilatus,PC-12/47,PC12,797,L1T,,,,
009272,ZS-YTB,Pilatus,PC-24,PC24,113,L2J,,,,2018-01-01
0096c6,ZS-IPP,Pilatus,PC-12/45,PC12,195,L1T,,,,
009826,ZS-JDD,Pilatus,PC-12/47,PC12,805,L1T,,,,
009a84,ZS-KAL,Pilatus,PC-12/47E,PC12,1023,L1T,,,,
009b41,ZS-KHS,Pilatus,PC-12/47E,PC12,1290,L1T,,,,
009b42,ZS-KHT,Pilatus,PC-12/47E,PC12,1599,L1T,,,,
009d89,ZS-LEE,Pilatus,PC-12/47E,PC12,1239,L1T,,,,
00a19a,ZS-MSF,Pilatus,PC-12/45,PC12,506,L1T,,,,
00a19b,ZS-MSG,Pilatus,PC-12/47E,PC12,1030,L1T,,,,
00a1ae,ZS-MSZ,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,866,L1T,,,,
00a338,ZS-NID,Pilatus,PC-12/47E,PC12,1247,L1T,,,,
00a346,ZS-NIR,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,885,L1T,,,,
00a347,ZS-NIS,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,886,L1T,,,,
00a348,ZS-NIT,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,896,L1T,,,,
00a349,ZS-NIU,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,897,L1T,,,,
00a34a,ZS-NIV,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,898,L1T,,,,
00a34b,ZS-NIW,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,899,L1T,,,,
00a34c,ZS-NIX,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,900,L1T,,,,
00a4e1,ZS-NYM,Pilatus,PC-12/45,PC12,147,L1T,,,,
00a58c,ZS-OFB,Pilatus,PC-12/45,PC12,205,L1T,,,,
00a58e,ZS-OFD,Pilatus,PC-12/45,PC12,208,L1T,,,,
00a5e4,ZS-OIL,Pilatus,PC-12/47E,PC12,1184,L1T,,,,
00a60d,ZS-OKA,Pilatus,PC-12/47E,PC12,1552,L1T,,,,
00a635,ZS-OLO,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,871,L1T,,,,
00a7f3,ZS-PCS,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,964,L1T,,,,
00a856,ZS-PGN,Pilatus,PC-12/47E,PC12,1089,L1T,,,,
00a971,ZS-PRK,Pilatus,PC-12/47,PC12,690,L1T,,,,
00a97e,ZS-PRX,Pilatus,PC-12/45,PC12,634,L1T,,,,
00a9b2,ZS-PTX,Pilatus,PC-12/47,PC12,695,L1T,,,,
00a9fb,ZS-PWS,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,952,L1T,,,,
00aa37,ZS-PZA,Pilatus,PC-12/47E,PC12,1316,L1T,,,,
00af22,ZS-RVL,Pilatus,PC-12/47E,PC12,1043,L1T,,,,
00aff5,ZS-SDO,Pilatus,PC-12/45,PC12,282,L1T,,,,
00b03e,ZS-SGJ,Pilatus,PC-12/47E,PC12,1113,L1T,,,,
00b0d7,ZS-SMG,Pilatus,PC-12/47E,PC12,1592,L1T,,,,
00b0dc,ZS-SML,Pilatus,PC-12/47E,PC12,1074,L1T,,,,
00b0e9,ZS-SMY,Pilatus,PC-12,PC12,113,L1T,,,,
00b164,ZS-SRR,Pilatus,PC-12/45,PC12,319,L1T,LFI,,,
00b1b2,ZS-SUR,Pilatus,PC-12/47E,PC12,1190,L1T,,,,
00b296,ZS-TDL,Pilatus,PC-12/47E,PC12,1498,L1T,,,,
00b34a,ZS-TKJ,Pilatus,PC-12/45,PC12,383,L1T,COO,,,
00b427,ZS-TSW,Pilatus,PC-12/47E,PC12,1162,L1T,,,,
00b47e,ZS-TWF,Pilatus,PC-12/47E,PC12,1220,L1T,,,,
00becc,ZS-XTR,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,910,L1T,,,,
00bfd9,ZS-YEA,Pilatus,PC-12/45,PC12,621,L1T,,,,
030013,JK-1,Pilatus,PC-12/47E,PC12,1105,L1T,,,,
030016,JK-2,Pilatus,PC-12/47E,PC12,1264,L1T,,,,
030023,A2-AAR,Pilatus,PC-12/47E,PC12,1489,L1T,COO,,,
030024,A2-TRG,Pilatus,PC-12/47E,PC12,1565,L1T,COO,,,
03002a,A2-SPA,Pilatus,PC-12/47,PC12,788,L1T,,,,
06413d,5N-BNG,Pilatus,PC-12/47,PC12,689,L1T,,,,
06807e,5X-KED,Pilatus,PC-12/47,PC12,872,L1T,,,,
080025,5H-XII,Pilatus,PC-12/45,PC12,121,L1T,CSV,,,
080031,5H-AHJ,Pilatus,PC-12/47E,PC12,1071,L1T,,,,
0a0054,7T-VNA,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,817,L1T,,,,
0d024d,XB-IKO,Pilatus,PC-12/45,PC12,493,L1T,,,,
0d026f,XA-JOS,Pilatus,PC-12/45,PC12,504,L1T,,,,
0d0520,XA-PCN,Pilatus,PC-12/47E,PC12,1042,L1T,,,,
0d0552,XA-GAS,Pilatus,PC-12/47,PC12,832,L1T,,,,
0d055a,XA-FFG,Pilatus,PC-12/47,PC12,868,L1T,,,,
0d0580,XA-UNJ,Pilatus,PC-12/47,PC12,816,L1T,,,,
0d05c6,XA-BLU,Pilatus,PC-12/45,PC12,481,L1T,,,,
0d05cf,XA-UOK,Pilatus,PC-12/47E,PC12,1214,L1T,,,,
0d06b8,XA-LAG,Pilatus,PC-12/47E,PC12,1325,L1T,,,,
0d087d,XA-JGN,Pilatus,PC-12/47E,PC12,1477,L1T,,,,
0d0903,XA-UAO,Pilatus,PC-12/45,PC12,333,L1T,,,,
0d0929,XA-UWK,Pilatus,PC-12/47E,PC12,1534,L1T,,,,
0d0985,XA-ALS,Pilatus,PC-12/47E,PC12,1559,L1T,,,,
0d09d7,XA-UXX,Pilatus,PC-12/47E,PC12,1584,L1T,,,,
0d0a38,XA-AYM,Pilatus,PC-12/47E,PC12,1673,L1T,,,,
0d0a7f,XA-BET,Pilatus,PC-12/45,PC12,678,L1T,COO,,,
0d49ad,XA-IDD,Pilatus,PC-12/45,PC12,625,L1T,,,,
1405dc,RA-01500,Pilatus,PC-12/47,PC12,803,L1T,,,,
1405dd,RA-01501,Pilatus,PC-12/47,PC12,841,L1T,,,,
1405df,RA-01503,Pilatus,PC-12/47,PC12,882,L1T,DXT,2008-05-01,,2008-01-01
1405e0,RA-01504,Pilatus,PC-12/47E,PC12,1026,L1T,,,,
1405e1,RA-01505,Pilatus,PC-12/47E,PC12,1029,L1T,,,,
1405e2,RA-01506,Pilatus,PC-12/47E,PC12,1061,L1T,,,,
1405e3,RA-01507,Pilatus,PC-12/47E,PC12,1064,L1T,,,,
1405e4,RA-01508,Pilatus,PC-12/45,PC12,471,L1T,,,,
1405e8,RA-01512,Pilatus,PC-12/45,PC12,496,L1T,,,,
1405ea,RA-01514,Pilatus,PC-12/45,PC12,607,L1T,,,,
1405eb,RA-01515,Pilatus,PC-12/45,PC12,591,L1T,,,,
1405ec,RA-01516,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,980,L1T,RKA,,,
1405ed,RA-01517,Pilatus,PC-12/47E,PC12,1548,L1T,COO,,,
20100a,V5-TGI,Pilatus,PC-12/47E,PC12,1643,L1T,,,,
202036,E3-AAS,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,912,L1T,,,,
3004d2,I-CAKE,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,942,L1T,,,,
3005f6,I-NEWT,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,979,L1T,,,,
30060d,I-HSKC,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,779,L1T,,,,
3006d1,I-PPOH,Pilatus,PC-12/47E,PC12,1617,L1T,COO,,,
34214b,EC-ISH,Pilatus,PC-12/45,PC12,498,L1T,NRT,,,
342617,EC-JXM,Pilatus,PC-12/45,PC12,177,L1T,,,,
343295,EC-EMZ,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,672,L1T,,,,
34350c,EC-IBY,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,815,L1T,,,,
344257,EC-LQH,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,882,L1T,,,,
34521a,EC-LZI,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,924,L1T,,,,
345296,EC-MMN,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,954,L1T,,,,
382a14,F-BKQU,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,534,L1T,,,,
384c46,F-BTCG,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,551,L1T,,,,
386442,F-AZCC,Pilatus,P-2/05,PP2,37,L1P,,,,
386444,F-AZCE,Pilatus,P-2/06,PP2,72,L1P,,,,
386446,F-AZCG,Pilatus,P-2/05,PP2,26,L1P,,,,
3864f3,F-AZHT,Pilatus,P-3/05,PP3,324-06,L1P,,,,
386585,F-AZMF,Pilatus,P-3/05,PP3,466-15,L1P,,,,
3865ea,F-AZPK,Pilatus,P-2/05,PP2,31,L1P,,,,
3865f4,F-AZPU,Pilatus,P-3/05,PP3,465-14,L1P,,,,
386610,F-AZQQ,Pilatus,P-3/05,PP3,502-51,L1P,,,,
38973b,F-AZHG,Pilatus,P-3/05,PP3,322-04,L1P,,,,
391032,F-GEBS,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,702,L1T,,,,
39108e,F-GEEO,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,676,L1T,,,,
391442,F-GFCC,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,572,L1T,,,,
391462,F-GFDC,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,656,L1T,,,,
3914a3,F-GFFD,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,708,L1T,,,,
39168c,F-GFUM,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,740,L1T,,,,
391ea7,F-GHVH,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,2072,L1T,,,,
392035,F-GIBV,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,651,L1T,,,,
392072,F-GIDS,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,584,L1T,,,,
3920ec,F-GIHM,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,581,L1T,,,,
3922f7,F-GIXX,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,564,L1T,,,,
392422,F-GJBC,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,868,L1T,,,,
39242f,F-GJBP,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,716,L1T,,,,
392460,F-GJDA,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,721,L1T,,,,
3924a6,F-GJFG,Pilatus,PC-12/45,PC12,256,L1T,,,,
39286c,F-GKDM,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,670,L1T,,,,
392900,F-GKIA,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,689,L1T,,,,
392c94,F-GLEU,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,627,L1T,,,,
39308b,F-GMEL,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,536,L1T,,,,
3932b2,F-GMVS,Pilatus,PC-6/B1-H2 Turbo Porter,PC6T,518,L1T,,,,
393806,F-GOAG,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,658,L1T,,,,
393831,F-GOBR,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,944,L1T,,,,
393842,F-GOCC,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,667,L1T,,,,
393879,F-GODZ,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,340,L1T,,,,
393981,F-GOMB,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,819,L1T,,,,
393984,F-GOME,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,543,L1T,,,,
393a4f,F-GOSP,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,699,L1T,,,,
393b04,F-GOYE,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,517,L1T,,,,
393e2e,F-GPRO,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,524,L1T,,,,
394409,F-GRAJ,Pilatus,PC-12/45,PC12,406,L1T,,,,
39444f,F-GRCP,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,2071,L1T,,,,
394681,F-GRUB,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,940,L1T,,,,
3946b9,F-GRVZ,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,901,L1T,,,,
394813,F-GSAT,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,904,L1T,,,,
394c79,F-GTDZ,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,693,L1T,,,,
394ce0,F-GTHA,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,939,L1T,,,,
3955e2,F-GVPC,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,951,L1T,,,,
395665,F-GVTF,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,915,L1T,,,,
396238,F-GYRY,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,935,L1T,,,,
396245,F-GYSF,Pilatus,PC-7,PC7,137,L1T,,,,
398191,F-HAMR,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,892,L1T,,,,
3981ad,F-HANN,Pilatus,PC-12/47,PC12,887,L1T,,,,
398645,F-HBSF,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,949,L1T,,,,
399562,F-HFLC,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,798,L1T,,,,
3999ec,F-HGPM,Pilatus,PC-7,PC7,319,L1T,,,,
39a0e0,F-HIHA,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,561,L1T,,,,
39a4af,F-HJFP,Pilatus,PC-12/47E,PC12,1708,L1T,,,,
39b260,F-HMTA,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,860,L1T,,,,
39b968,F-HOLI,Pilatus,PC-12/47E,PC12,1506,L1T,,,,
3a21e1,F-OIPB,Pilatus,PC-6/B2-H2 Turbo Porter,PC6T,661,L1T,,,,
3aabeb,891,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,891,L1T,FMY,,,
3aabec,890,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,890,L1T,FMY,,,
3aabed,889,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,889,L1T,FMY,,,
3aabee,888,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,888,L1T,FMY,,,
3aabef,887,Pilatus,PC-6/B2-H4 Turbo Porter,PC6T,887,L1T,FMY,,,
3cf774,D-CVAA,Pilatus,PC-24,PC24,149,L2J,WGT,2019-10-29,,
3d1496,D-EGAW,Pilatus,P-2/06,PP2,49,L1P,,,,
3d2587,D-EMLR,Pilatus,P-2/05,PP2,25,L1P,,,,
