icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
0d14ce,D-EGDA,Robin,DR400/180 Regent,DR40,2293,L1P,,,,
3838b2,F-BOFS,Robin,DR360 Chevalier,DR30,01,L1P,,,,
383d58,F-BPKY,Robin,DR315 Petit Prince,DR30,302,L1P,,,,
383dc1,F-BPOB,Robin,DR315 Petit Prince,DR30,303,L1P,,,,
383dc4,F-BPOE,Robin,DR315 Petit Prince,DR30,305,L1P,,,,
383dc7,F-BPOH,Robin,DR315 Petit Prince,DR30,306,L1P,,,,
383dce,F-BPOO,Robin,DR340 Major,DR30,301,L1P,,,,
383dd0,F-BPOQ,Robin,DR360 Chevalier,DR30,310,L1P,,,,
383dd1,F-BPOR,Robin,DR315 Petit Prince,DR30,309,L1P,,,,
383e25,F-BPRF,Robin,DR315 Petit Prince,DR30,319,L1P,,,,
383e28,F-BPRI,Robin,DR315 Petit Prince,DR30,321,L1P,,,,
383e29,F-BPRJ,Robin,DR315 Petit Prince,DR30,318,L1P,,,,
383e2c,F-BPRM,Robin,DR315 Petit Prince,DR30,325,L1P,,,,
383e2e,F-BPRO,Robin,DR315 Petit Prince,DR30,326,L1P,,,,
383e2f,F-BPRP,Robin,DR315 Petit Prince,DR30,327,L1P,,,,
383e34,F-BPRU,Robin,DR315 Petit Prince,DR30,330,L1P,,,,
384444,F-BRCE,Robin,DR340 Major,DR30,337,L1P,,,,
384448,F-BRCI,Robin,DR315 Petit Prince,DR30,341,L1P,,,,
38444a,F-BRCK,Robin,DR315 Petit Prince,DR30,343,L1P,,,,
38444b,F-BRCL,Robin,DR315 Petit Prince,DR30,344,L1P,,,,
38444d,F-BRCN,Robin,DR315 Petit Prince,DR30,346,L1P,,,,
38444e,F-BRCO,Robin,DR340 Major,DR30,348,L1P,,,,
38444f,F-BRCP,Robin,DR380 Prince,DR30,356,L1P,,,,
384451,F-BRCR,Robin,DR315 Petit Prince,DR30,349,L1P,,,,
384458,F-BRCY,Robin,DR340 Major,DR30,353,L1P,,,,
384459,F-BRCZ,Robin,DR340 Major,DR30,354,L1P,,,,
3844a0,F-BRFA,Robin,DR340 Major,DR30,355,L1P,,,,
3844a5,F-BRFF,Robin,DR315 Petit Prince,DR30,359,L1P,,,,
3844af,F-BRFP,Robin,DR315 Petit Prince,DR30,370,L1P,,,,
3844b3,F-BRFT,Robin,DR340 Major,DR30,373,L1P,,,,
3844b4,F-BRFU,Robin,DR315 Petit Prince,DR30,374,L1P,,,,
3844b7,F-BRFX,Robin,DR315 Petit Prince,DR30,375,L1P,,,,
3845c0,F-BROA,Robin,DR360 Chevalier,DR30,376,L1P,,,,
3845c2,F-BROC,Robin,DR360 Chevalier,DR30,379,L1P,,,,
3845c4,F-BROE,Robin,DR315 Petit Prince,DR30,381,L1P,,,,
3845c7,F-BROH,Robin,DR315 Petit Prince,DR30,387,L1P,,,,
3845c9,F-BROJ,Robin,DR315 Petit Prince,DR30,388,L1P,,,,
3845ca,F-BROK,Robin,DR340 Major,DR30,389,L1P,,,,
3845d1,F-BROR,Robin,DR340 Major,DR30,392,L1P,,,,
3845d2,F-BROS,Robin,DR340 Major,DR30,393,L1P,,,,
3845d3,F-BROT,Robin,DR380 Prince,DR30,395,L1P,,,,
3845d8,F-BROY,Robin,DR315 Petit Prince,DR30,365,L1P,,,,
384661,F-BRTB,Robin,DR315 Petit Prince,DR30,401,L1P,,,,
384663,F-BRTD,Robin,DR380 Prince,DR30,403,L1P,,,,
