icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
008030,ZS-ABF,Robinson,R44 Raven II,R44,12141,H1P,,,,
008074,ZS-ADV,Robinson,R44 Raven II,R44,12171,H1P,,,,
0080d6,ZS-AHP,Robinson,R44 Raven I,R44,1757,H1P,,,,
008145,ZS-ALW,Robinson,R44 Raven II,R44,11648,H1P,,,,
00814b,ZS-AMC,Robinson,R44 Raven II,R44,11812,H1P,,,,
0081e5,ZS-ASA,Robinson,R44 Raven II,R44,12230,H1P,,,,
00831f,ZS-BEC,Robinson,R44 Raven II,R44,11937,H1P,,,,
008321,ZS-BEE,Robinson,R44 Raven II,R44,11612,H1P,,,,
0083a0,ZS-BJB,Robinson,R44 Raven II,R44,11825,H1P,,,,
008446,ZS-BPL,Robinson,R44 Raven II,R44,11671,H1P,,,,
008485,ZS-BRW,Robinson,R44 Raven II,R44,11591,H1P,,,,
00863e,ZS-CIV,Robinson,R22 Beta II,R22,4195,H1P,,,,
0087aa,ZS-CWV,Robinson,R44 Raven II,R44,11790,H1P,,,,
0088f9,ZS-DJS,Robinson,R44 Raven II,R44,11518,H1P,,,,
0089bb,ZS-DRE,Robinson,R44 Raven II,R44,12091,H1P,,,,
008cf9,ZS-EXC,Robinson,R44 Raven II,R44,11735,H1P,,,,
008da8,ZS-FDV,Robinson,R44 Raven II,R44,11630,H1P,,,,
009291,ZS-HAE,Robinson,R44 Raven II,R44,11506,H1P,,,,
009295,ZS-HAI,Robinson,R22 Beta II,R22,4274,H1P,,,,
0092a2,ZS-HAV,Robinson,R44 Raven II,R44,12238,H1P,,,,
0092a4,ZS-HAX,Robinson,R44 Raven II,R44,12177,H1P,,,,
0092ae,ZS-HBH,Robinson,R44 Raven II,R44,12287,H1P,,,,
0092b1,ZS-HBK,Robinson,R44 Raven I,R44,1883,H1P,,,,
0092b2,ZS-HBL,Robinson,R22 Beta II,R22,4360,H1P,,,,
0092b3,ZS-HBM,Robinson,R44 Raven II,R44,12227,H1P,,,,
0092b6,ZS-HBP,Robinson,R22 Beta II,R22,4331,H1P,,,,
0092b8,ZS-HBR,Robinson,R22 Beta II,R22,4337,H1P,,,,
0092ba,ZS-HBT,Robinson,R44 Raven II,R44,12322,H1P,,,,
0092c0,ZS-HBZ,Robinson,R44 Raven II,R44,12383,H1P,,,,
0092c1,ZS-HCA,Robinson,R44 Raven II,R44,11160,H1P,,,,
0092c2,ZS-HCB,Robinson,R44 Raven II,R44,12362,H1P,,,,
0092c4,ZS-HCD,Robinson,R44 Raven II,R44,10141,H1P,,,,
0092c5,ZS-HCE,Robinson,R44 Raven II,R44,12384,H1P,,,,
0092c8,ZS-HCH,Robinson,R44 Raven II,R44,12363,H1P,,,,
0092cd,ZS-HCM,Robinson,R44 Raven II,R44,12376,H1P,,,,
0092d3,ZS-HCS,Robinson,R44 Raven II,R44,10045,H1P,,,,
0092d5,ZS-HCU,Robinson,R44 Raven II,R44,12310,H1P,,,,
0092d7,ZS-HCW,Robinson,R22 Beta II,R22,4351,H1P,,,,
0092db,ZS-HDA,Robinson,R44 Raven II,R44,12648,H1P,,,,
0092dc,ZS-HDB,Robinson,R44 Raven II,R44,10519,H1P,,,,
0092e4,ZS-HDJ,Robinson,R44 Raven II,R44,13014,H1P,,,,
0092e8,ZS-HDN,Robinson,R44 Raven II,R44,13397,H1P,,,,
0092ec,ZS-HDR,Robinson,R44 Raven II,R44,11335,H1P,,,,
0092ee,ZS-HDT,Robinson,R44 Astro,R44,0216,H1P,,,,
0092f3,ZS-HDY,Robinson,R44 Raven I,R44,1319,H1P,,,,
009314,ZS-HFF,Robinson,R44 Raven II,R44,12629,H1P,,,,
