icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
008363,ZS-BGS,Rockwell,690A Turbo Commander,AC90,11234,L2T,,,,
00998f,ZS-JRA,Rockwell,690A Turbo Commander,AC90,11284,L2T,,,,
009990,ZS-JRB,Rockwell,690A Turbo Commander,AC90,11248,L2T,,,,
009996,ZS-JRH,Rockwell,690B Turbo Commander,AC90,11421,L2T,,,,
009c93,ZS-KUS,Rockwell,690B Turbo Commander,AC90,11545,L2T,,,,
009d1c,ZS-KZZ,Rockwell,695A Jetprop Commander,AC95,96052,L2T,,,,
00aa14,ZS-PXR,Rockwell,690A Turbo Commander,AC90,11259,L2T,,,,
00b0bf,ZS-SLI,Rockwell,690A Turbo Commander,AC90,11211,L2T,,,,
00b492,ZS-TWZ,Rockwell,695A Jetprop Commander,AC95,96085,L2T,,,,
0d05d6,XC-GAS,Rockwell,690B Turbo Commander,AC90,11556,L2T,,,,
0d0886,XB-DMT,Rockwell,690B Turbo Commander,AC90,11360,L2T,,,,
0d0991,XC-BCS,Rockwell,695A Jetprop Commander,AC95,96001,L2T,,,,
0d09f9,XB-ILI,Rockwell,690C Turbo Commander,AC90,11687,L2T,COO,,,
0d81a5,YVO100,Rockwell,695A Jetprop Commander,AC95,96016,L2T,,,,
20100c,V5-MAC,Rockwell,690B Turbo Commander,AC90,11557,L2T,,,,
30052f,I-BLFE,Rockwell,690A Turbo Commander,AC90,11204,L2T,,,,
3451cb,EC-MDF,Rockwell,Commander 112A,AC11,487,L1P,,,,
381dd1,F-BHOR,Rockwell,Commander 112A,AC11,284,L1P,,,,
385df2,F-BXPS,Rockwell,Commander 112TC,AC11,13026,L1P,,,,
391ee3,F-GHXD,Rockwell,Commander 114,AC11,14134,L1P,,,,
392826,F-GKBG,Rockwell,Commander 112A,AC11,198,L1P,,,,
392cf9,F-GLHZ,Rockwell,Commander 112A,AC11,173,L1P,,,,
393012,F-GMAS,Rockwell,Commander 114B,AC11,14552,L1P,,,,
394875,F-GSDV,Rockwell,Commander 114B,AC11,14601,L1P,,,,
39a04a,F-HICK,Rockwell,Commander 114,AC11,14018,L1P,,,,
