icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
3de66a,D-HHMW,RotorWay,A600 Talon,A600,8086,H1P,,,,
45a14b,OY-HJK,RotorWay,A600 Talon,A600,8071,H1P,,,,
45a1c8,OY-HNH,RotorWay,A600 Talon,A600,8081,H1P,,,,
45a1d5,OY-HNU,RotorWay,A600 Talon,A600,8072,H1P,,,,
7c1478,VH-EBU,RotorWay,A600 Talon,A600,8012,H1P,,,,2008-01-01
7c67ed,VH-UTB,RotorWay,A600 Talon,A600,8000,H1P,,,,
a02d35,N110LH,RotorWay,A600 Talon,A600,7078,H1P,,,,
a03237,N111ZP,RotorWay,A600 Talon,A600,8057,H1P,,,,
a0d6dc,N153RS,RotorWay,A600 Talon,A600,8033,H1P,,,,
a258fb,N250RF,RotorWay,A600 Talon,A600,7056,H1P,,,2022-01-31,2016-01-01
a2adf6,N272AM,RotorWay,A600 Talon,A600,6600,H1P,,,2024-02-29,2012-01-01
a54ef5,N441GL,RotorWay,A600 Talon,A600,8089,H1P,,,,
a72128,N559DC,RotorWay,A600 Talon,A600,8157,H1P,,,2023-09-30,
a72d56,N5612Y,RotorWay,A600 Talon,A600,8026,H1P,,,2021-11-30,2016-01-01
a7c7b8,N600EW,RotorWay,A600 Talon,A600,8139,H1P,,,2022-04-30,2016-01-01
a7d039,N602RW,RotorWay,A600 Talon,A600,8011,H1P,,,,
a7ea3a,N609RW,RotorWay,A600 Talon,A600,8201,H1P,,,,
a81e89,N622JX,RotorWay,A600 Talon,A600,8002,H1P,,,2023-09-30,2017-01-01
a8b509,N660JH,RotorWay,A600 Talon,A600,8151,H1P,,,2023-04-30,2017-01-01
a9a807,N721HW,RotorWay,A600 Talon,A600,6995,H1P,,,2024-01-31,2010-01-01
aaa91b,N786ZM,RotorWay,A600 Talon,A600,8098,H1P,,,2022-10-31,2017-01-01
aadbac,N799YT,RotorWay,A600 Talon,A600,8106,H1P,,,2022-12-31,2017-01-01
aae744,N801TG,RotorWay,A600 Talon,A600,8099,H1P,,,2024-03-31,
addb1d,N992LT,RotorWay,A600 Talon,A600,8100,H1P,,,2022-08-31,
c02500,C-FOAH,RotorWay,A600 Talon,A600,7092,H1P,,2016-06-09,,
c02635,C-FOME,RotorWay,A600 Talon,A600,8082,H1P,,2018-09-27,,
c0859f,C-GYPQ,RotorWay,A600 Talon,A600,8069,H1P,,2015-07-20,,
