icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
3dd368,D-HAHS,Schweizer,333,S330,0025,H1T,,,,
4848fb,PH-HHB,Schweizer,330,S330,0016,H1T,,,,
4848fc,PH-HHA,Schweizer,330,S330,0014,H1T,,,,
4aa78a,SE-JBJ,Schweizer,330,S330,0005,H1T,,,,
85188f,JA333M,Schweizer,330,S330,0009,H1T,,,,
a021cb,N1075Q,Schweizer,330,S330,0015,H1T,,,,
a19cea,N2028J,Schweizer,330,S330,0003,H1T,,,,
a1aad6,N2061P,Schweizer,330,S330,0036A,H1T,,,,
a1b2f2,N2086N,Schweizer,330,S330,0008,H1T,,,,
a26bc8,N255TP,Schweizer,269D,S330,0050A,H1T,,,2021-12-31,
a2c0da,N277DT,Schweizer,269D,S330,0028,H1T,,,2023-11-30,2000-01-01
a30f9d,N297BJ,Schweizer,333,S330,0029A,H1T,,,,
a39771,N330ST,Schweizer,330,S330,0001,H1T,,,,
a39780,N330TH,Schweizer,269D,S330,0002,H1T,,,2021-09-30,1992-01-01
a40017,N357PD,Schweizer,269D,S330,0038A,H1T,,,2022-01-31,2002-01-01
a40d1a,N360JF,Schweizer,269D,S330,0031A,H1T,,,2023-03-31,
a4d899,N411HU,Schweizer,269D,S330,0040,H1T,,,2022-03-31,2003-01-01
a5c649,N471RA,Schweizer,269D,S330,0071A,H1T,,,2021-10-31,2008-01-01
ad4402,N954FB,Schweizer,269D,S330,0072A,H1T,,,2021-12-31,2008-01-01
c01f70,C-FLXN,Schweizer,269D,S330,0062A,H1T,,2015-10-14,,
