icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
009328,ZS-HFZ,Sikorsky,S-76A,S76,760259,H2T,,,,
00935a,ZS-HHX,Sikorsky,S-76C,S76,760543,H2T,,,,
00ae07,ZS-RKO,Sikorsky,S-76A+,S76,760135,H2T,,,,
00ae08,ZS-RKP,Sikorsky,S-76A+,S76,760198,H2T,,,,
00ae1e,ZS-RLL,Sikorsky,S-61N,S61,61778,H2T,,,,
064166,5N-BPC,Sikorsky,S-92A Helibus,S92,920212,H2T,BHN,,,
0641ce,5N-BTH,Sikorsky,S-92A Helibus,S92,920240,H2T,BHN,,,
06a04f,A7-HHT,Sikorsky,S-92A Helibus,S92,920031,H2T,,,,
06a059,A7-MBN,Sikorsky,S-92A Helibus,S92,920053,H2T,,,,
3423c9,EC-FTB,Sikorsky,S-61N,S61,61741,H2T,,,,
3962ab,F-GYVL,Sikorsky,S-76C,S76,760805,H2T,,,,
396413,F-GZAT,Sikorsky,S-76C,S76,760786,H2T,,,,
39654f,F-GZKP,Sikorsky,S-76C,S76,760806,H2T,,,,
398862,F-HCDC,Sikorsky,S-76C++,S76,760741,H2T,,,,
39a452,F-HJCS,Sikorsky,S-76C++,S76,760740,H2T,,,,
39d08c,F-HUEM,Sikorsky,S-76C,S76,760752,H2T,HLU,,,
39d14b,F-HUKL,Sikorsky,S-76C,S76,760788,H2T,HLU,,,
3dd4ae,D-HAUG,Sikorsky,S-58C,S58P,58836,H1P,,,,
3dd5f1,D-HBGR,Sikorsky,S-76B,S76,760320,H2T,,,,
3df303,D-HMGX,Sikorsky,S-76C++,S76,760710,H2T,,,,
3df54d,D-HNDL,Sikorsky,S-76B,S76,760437,H2T,,,,
3df96d,D-HOSB,Sikorsky,S-76A,S76,760191,H2T,,,,
3df96e,D-HOSC,Sikorsky,S-76B,S76,760391,H2T,,,,
3df971,D-HOSF,Sikorsky,S-76B,S76,760413,H2T,,,,
3e081a,D-HUGO,Sikorsky,S-76C,S76,760471,H2T,,,,
3e0898,D-HULK,Sikorsky,S-76A,S76,760282,H2T,,,,
3faa05,84+05,Sikorsky,CH-53G Sea Stallion,H53,V003,H2T,GAF,,,
3faa06,84+06,Sikorsky,CH-53G Sea Stallion,H53,V004,H2T,GAF,,,
3faa0d,84+13,Sikorsky,CH-53GS Sea Stallion,H53,V011,H2T,GAF,,,
3faa0e,84+14,Sikorsky,CH-53GE Sea Stallion,H53,V012,H2T,,,,
3faa0f,84+15,Sikorsky,CH-53GS Sea Stallion,H53,V013,H2T,GAF,,,
3faa12,84+18,Sikorsky,CH-53G Sea Stallion,H53,V016,H2T,GAF,,,
3faa18,84+24,Sikorsky,CH-53G Sea Stallion,H53,V022,H2T,,,,
