icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
3b773f,F221,Transall,C-160NG,C160,224,L2T,FAF,,,
3b7740,F216,Transall,C-160NG,C160,219,L2T,FAF,,,
3b7783,R218,Transall,C-160NG,C160,221,L2T,FAF,,,
3b7784,R212,Transall,C-160NG,C160,215,L2T,FAF,,,
3b7785,R206,Transall,C-160NG,C160,209,L2T,FAF,,,
3b7786,R201,Transall,C-160NG,C160,201,L2T,FAF,,,
3b778f,R226,Transall,C-160R,C160,229,L2T,FAF,,,
3b7790,R217,Transall,C-160NG,C160,220,L2T,FAF,,,
3b7791,R211,Transall,C-160NG,C160,214,L2T,FAF,,,
3b7792,R205,Transall,C-160NG,C160,206,L2T,FAF,,,
3b7793,R160,Transall,C-160R,C160,160,L2T,FAF,,,
3b779e,R210,Transall,C-160NG,C160,213,L2T,FAF,,,
3b779f,R204,Transall,C-160NG,C160,204,L2T,FAF,,,
3b77a9,R224,Transall,C-160NG,C160,227,L2T,FAF,,,
3b77aa,R214,Transall,C-160NG,C160,217,L2T,FAF,,,
3b77ab,R208,Transall,C-160NG,C160,211,L2T,FAF,,,
3b77ac,R203,Transall,C-160R,C160,203,L2T,FAF,,,
3b77ad,R158,Transall,C-160R,C160,158,L2T,FAF,,,
3b77af,R93,Transall,C-160R,C160,93,L2T,FAF,,,
3b77b6,R223,Transall,C-160NG,C160,226,L2T,FAF,,,
3b77b7,R213,Transall,C-160NG,C160,216,L2T,FAF,,,
3b77b9,R202,Transall,C-160NG,C160,202,L2T,FAF,,,
3b77bb,R97,Transall,C-160R,C160,97,L2T,FAF,,,
3e8210,50+81,Transall,C-160D,C160,5081,L2T,,,,
3e881f,50+79,Transall,C-160D,C160,5079,L2T,,,,
3e8e2d,50+40,Transall,C-160D,C160,5040,L2T,,,,
3e8e77,50+66,Transall,C-160D,C160,5066,L2T,,,,
3ea218,50+97,Transall,C-160D,C160,5097,L2T,,,,
3ea47e,5097,Transall,C-160D,C160,5097,L2T,,,,
3eac7a,50+64,Transall,C-160D,C160,5064,L2T,,,,
3eadcf,51+06,Transall,C-160D,C160,5106,L2T,,,,
3eb90f,50+82,Transall,C-160D,C160,119,L2T,GAF,,,
3f6446,50+77,Transall,C-160D,C160,5077,L2T,,,,
3f9911,50+17,Transall,C-160D,C160,25,L2T,GAF,,,
3f991d,50+29,Transall,C-160D,C160,37,L2T,GAF,,,
3f9921,50+33,Transall,C-160D,C160,41,L2T,GAF,,,
3f9922,50+34,Transall,C-160D,C160,56,L2T,GAF,,,
3f9923,50+35,Transall,C-160D,C160,57,L2T,GAF,,,
3f9924,50+36,Transall,C-160D,C160,58,L2T,GAF,,,
3f9926,50+38,Transall,C-160D,C160,60,L2T,GAF,,,
3f9928,50+40,Transall,C-160D,C160,62,L2T,GAF,,,
3f9929,50+41,Transall,C-160D,C160,63,L2T,GAF,,,
3f992a,50+42,Transall,C-160D,C160,64,L2T,GAF,,,
3f992c,50+44,Transall,C-160D,C160,66,L2T,GAF,,,
3f992d,50+45,Transall,C-160D,C160,67,L2T,GAF,,,
3f992e,50+46,Transall,C-160D,C160,68,L2T,GAF,,,
3f9930,50+48,Transall,C-160D,C160,70,L2T,GAF,,,
3f9931,50+49,Transall,C-160D,C160,71,L2T,GAF,,,
3f9933,50+51,Transall,C-160D,C160,73,L2T,GAF,,,
3f9935,50+53,Transall,C-160D,C160,75,L2T,GAF,,,
3f9936,50+54,Transall,C-160D,C160,76,L2T,GAF,,,
3f9937,50+55,Transall,C-160D,C160,77,L2T,GAF,,,
3f9939,50+57,Transall,C-160D,C160,79,L2T,GAF,,,
3f993a,50+58,Transall,C-160D,C160,80,L2T,GAF,,,
3f993b,50+59,Transall,C-160D,C160,81,L2T,GAF,,,
3f993d,50+61,Transall,C-160D,C160,83,L2T,GAF,,,
3f9940,50+64,Transall,C-160D,C160,101,L2T,,,,
3f9941,50+65,Transall,C-160D,C160,102,L2T,GAF,,,
3f9942,50+66,Transall,C-160D,C160,103,L2T,GAF,,,
3f9943,50+67,Transall,C-160D,C160,104,L2T,GAF,,,
3f9945,50+69,Transall,C-160D,C160,106,L2T,GAF,,,
3f9946,50+70,Transall,C-160D,C160,107,L2T,GAF,,,
3f9947,50+71,Transall,C-160D,C160,108,L2T,GAF,,,
3f9948,50+72,Transall,C-160D,C160,109,L2T,GAF,,,
3f9949,50+73,Transall,C-160D,C160,110,L2T,GAF,,,
3f994a,50+74,Transall,C-160D,C160,111,L2T,GAF,,,
3f994b,50+75,Transall,C-160D,C160,112,L2T,GAF,,,
3f994d,50+77,Transall,C-160D,C160,114,L2T,GAF,,,
3f994e,50+78,Transall,C-160D,C160,115,L2T,,,,
3f994f,50+79,Transall,C-160D,C160,116,L2T,GAF,,,
3f9951,50+81,Transall,C-160D,C160,118,L2T,GAF,,,
3f9953,50+83,Transall,C-160D,C160,120,L2T,GAF,,,
3f9956,50+86,Transall,C-160D,C160,123,L2T,GAF,,,
3f9957,50+87,Transall,C-160D,C160,124,L2T,GAF,,,
3f9958,50+88,Transall,C-160D,C160,125,L2T,GAF,,,
3f995a,50+90,Transall,C-160D,C160,127,L2T,GAF,,,
3f995b,50+91,Transall,C-160D,C160,128,L2T,GAF,,,
3f995c,50+92,Transall,C-160D,C160,129,L2T,GAF,,,
3f995d,50+93,Transall,C-160D,C160,130,L2T,GAF,,,
3f9960,50+96,Transall,C-160D,C160,133,L2T,GAF,,,
3f9961,50+97,Transall,C-160D,C160,134,L2T,GAF,,,
3f9983,51+03,Transall,C-160D,C160,140,L2T,GAF,,,
3f9984,51+04,Transall,C-160D,C160,141,L2T,GAF,,,
3f9986,51+06,Transall,C-160D,C160,143,L2T,GAF,,,
3f9988,51+08,Transall,C-160D,C160,145,L2T,GAF,,,
3f998a,51+10,Transall,C-160D,C160,147,L2T,GAF,,,
3f998c,51+12,Transall,C-160D,C160,149,L2T,GAF,,,
3f998d,51+13,Transall,C-160D,C160,150,L2T,GAF,,,
3fb853,50+36,Transall,C-160D,C160,5036,L2T,,,,
4b8257,69-019,Transall,C-160D,C160,19,L2T,HVK,,,
4b8258,68-020,Transall,C-160D,C160,20,L2T,HVK,,,
4b8259,69-021,Transall,C-160D,C160,21,L2T,HVK,,,
4b825a,68-023,Transall,C-160D,C160,23,L2T,HVK,,,
4b825b,69-024,Transall,C-160D,C160,24,L2T,HVK,,,
4b825c,69-026,Transall,C-160D,C160,26,L2T,HVK,,,
4b825d,69-027,Transall,C-160D,C160,27,L2T,HVK,,,
4b825e,69-029,Transall,C-160D,C160,29,L2T,HVK,,,
4b825f,69-031,Transall,C-160D,C160,31,L2T,HVK,,,
4b8260,69-032,Transall,C-160D,C160,32,L2T,HVK,,,
4b8261,69-033,Transall,C-160D,C160,33,L2T,HVK,,,
4b8262,69-034,Transall,C-160D,C160,34,L2T,HVK,,,
4b8264,69-036,Transall,C-160D,C160,36,L2T,HVK,,,
4b8265,69-038,Transall,C-160D,C160,38,L2T,HVK,,,
4b8266,69-040,Transall,C-160D,C160,40,L2T,HVK,,,
8a0389,PK-VTR,Transall,C-160NG,C160,233,L2T,,,,
