aircraft_type,name,engine_manufacturer,engine_model
BU31,1.131-E3B Jungmann,Hirth,HM 504
BU31,1.131E Jungmann,Hirth,HM 504
BU31,1.131E-1000 Jungmann,Elizalde SA,Tigre G-IV
BU31,1.131E-2000 Jungmann,Elizalde SA,Tigre G-IV
BU33,1.133 Jungmeister,Siemens & Halske,Sh 14A-4
BE10,100 King Air,Pratt & Whitney Canada,PT6A-135A
ME08,1002 Pingouin II,Renault,Q6-10
H46,107,General Electric,CT581101;CT58IHI1101
H46,107-II,General Electric,CT581101;CT58IHI1101
S108,108,Franklin,6A4-150;6AL-335
S108,108-1,Franklin,6A4-150;6AL-336
S108,108-2,Franklin,6A4-165-B3;6A4-165-B5
S108,108-3,Franklin,6A4-165-B3;6A4-165-B5
S108,108-3 Flying Station Wagon,Franklin,6A4-165-B3
C120,120,Continental;Lycoming,C-85-12;C-85-12F;C-90-12F;C-90-14F;O-235-C1
C140,140,Continental;Lycoming,C-85-12;C-85-12F;C-90-12F;C-90-14F;O-235-C1
C140,140A,Continental,C-85-12;C-85-12F;C-85-14F;C-90-12F;C-90-14F
C150,150,Continental,O-200
C150,150A,Continental,O-200
C150,150B,Continental,O-200
C150,150C,Continental,O-200
C150,150D,Continental,O-200
C150,150E,Continental,O-200
C150,150F,Continental,O-200
C150,150G,Continental,O-200
C150,150H,Continental,O-200
C150,150J,Continental,O-200
C150,150K,Continental,O-200
C150,150L,Continental,O-200
C150,150M,Continental,O-200
C152,152,Lycoming,O-235
C162,162 Skycatcher,Continental,O-200
C170,170,Continental,C145-2
C170,170A,Continental,C145-2
C170,170B,Continental,C145-3
C172,172 Skyhawk,Continental,O-300
C172,172A Skyhawk,Continental,O-300
C172,172B Skyhawk,Continental,O-300
C172,172C Skyhawk,Continental,O-300
C172,172D Skyhawk,Continental,GO-300E
C172,172E,Continental,O-300
C172,172E Skyhawk,Continental,O-300
C172,172F Skyhawk,Continental,O-300
C172,172G Skyhawk,Continental,O-300
C172,172H Skyhawk,Continental,O-300
C172,172I Skyhawk,Lycoming,O-320-E2D
C172,172K Skyhawk,Lycoming,O-320-E2D
C172,172L Skyhawk,Lycoming,O-320-E2D
C172,172M Skyhawk,Lycoming,O-320-E2D
C172,172N Skyhawk,Lycoming,O-320-H2AD
C172,172P Skyhawk,Lycoming,O-320-D2J
C172,172Q Cutlass,Lycoming,O-360-A4N
C172,172Q Skyhawk,Lycoming,O-360-A4N
C172,172R Skyhawk,Lycoming,O-360-L2A
C72R,172RG Cutlass,Lycoming,O-360-F1A6
C172,172S Skyhawk,Lycoming,O-360-L2A
C172,172S Skyhawk SP,Lycoming,O-360-L2A
C175,175 Skylark,Continental,GO-300A;GO-300C
C175,175A Skylark,Continental,GO-300C;GO-300D
C175,175B Skylark,Continental,GO-300C;GO-300D
C175,175C Skylark,Continental,GO-300E
C177,177 Cardinal,Lycoming,O-320
C77R,177 Cardinal RG,Lycoming,IO-360
C177,177A Cardinal,Lycoming,O-360
C177,177B Cardinal,Lycoming,O-360
C77R,177RG Cardinal,Lycoming,IO-360
C180,180 Skywagon,Continental,O-470-A;O-470-J;O-470K
C180,180A Skywagon,Continental,O-470-K
C180,180B Skywagon,Continental,O-470-K
C180,180C Skywagon,Continental,O-470-L;O-470-R
C180,180D Skywagon,Continental,O-470-L;O-470-R
C180,180E Skywagon,Continental,O-470-L;O-470-R
C180,180F Skywagon,Continental,O-470-L;O-470-R
C180,180G Skywagon,Continental,O-470-L;O-470-R
C180,180H Skywagon,Continental,O-470-L;O-470-R
C180,180J Skywagon,Continental,O-470-R;O-470S
C180,180K Skywagon,Continental,O-470-U
C182,182 Skylane,Continental,O-470-L
