icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,climb_rate,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
A002,,Irkut,A-002,G1P,L,9800,,980,,97,110,,,,3.20,4.98,,,83.32,10.30,150,330,,420,,,,750,,
A1,,Douglas,A-1 Skyraider,L1P,M,28500,,2850,,172,280,,,,4.78,11.84,37.19,15.25,,,1400,1144,,5429,8213,,,,,
A10,,Fairchild,A-10 Thunderbolt II,L2J,M,13700,,6000,,300,381,450,,,4.47,16.26,47.00,17.53,,,3992,250,2240,11321,13782,,,22700,,
A109,,AgustaWestland,A.109,H2T,L,,,1930,,154,168,168,,,3.50,11.45,,,95.03,11.00,,,503,1590,,,,2850,,
A119,,AgustaWestland,AW119,H1T,L,15000,,1790,,132,,152,,,3.60,12.92,,,92.10,10.83,605,515,,1483,,,,2850,,
A122,,Aerotec,A-122 Uirapuru,L1P,L,14800,,790,,100,121,182,,,2.70,6.60,13.50,8.50,,,140,430,,540,,,,840,,
A124,A4F,Antonov,An-124 Ruslan,L4J,H,39000,,,124,460,467,,,,21.08,69.10,628.00,73.30,,,348740,6200,7600,181000,214000,330000,,402000,,
A129,,AgustaWestland,A.129,H2T,L,15500,,2010,,124,150,,,,3.35,12.28,,,111.20,11.90,,280,540,2530,,,,4600,,
A139,,AgustaWestland,AW139,H2T,L,20000,,2140,,165,167,,,,4.98,16.66,,,149.57,13.80,1568,573,,,6400,,,,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar006
A140,A40,Antonov,An-140,L2T,M,24900,,1344,230,310,,,,,8.23,22.61,51.00,24.51,,,5463,2000,,12810,,19100,,19150,17800,
A148,A81,Antonov,An-148,L2J,M,40000,,,,470,,,,,8.19,29.13,87.32,28.91,,,15063,2400,,22000,,,,43700,,
A149,,AgustaWestland,AW149,H2T,M,,,,,150,170,,,,5.14,17.57,,,167.41,14.60,,432,,,8600,,,,,
A158,A58,Antonov,An-158,L2J,M,40000,,,,470,,,,,8.20,30.83,,28.56,,,15063,1300,,22000,,,,43700,,
A16,,Aviadesign,A-16 Sport Falcon,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
A169,,AgustaWestland,AW169,H2T,L,,,,,,165,165,,,4.50,14.65,,,115.37,12.12,,440,,,2850,,,4800,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar509
A178,,Antonov,An-178,L2J,M,43000,,,,445,530,,,,10.14,32.95,,28.84,,,,2500,,,,,,52400,,
A189,,AgustaWestland,AW189,H2T,M,10000,,,,150,169,,,,5.06,17.60,,,167.42,14.60,2063,430,,,8300,,,,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar510
A19,,Aeroprakt,A-19,L1P,L,,,500,,65,81,,,,2.50,6.50,,10.60,,,60,,,,,,,700,,
A19N,31N,Airbus,A319neo,L2J,M,39100,,,,450,473,,3.95,3.95,11.76,33.84,,35.80,,,26730,3750,,,,62800,64400,64000,58800,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A20,,Douglas,A-20 Havoc,L2P,M,23700,,2000,,240,282,,,,5.52,14.63,43.10,18.68,,,1500,821,2000,7272,10944,,,,,
A205,,OSKBES-MAI,MAI-205,G1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
A20N,32N,Airbus,A320neo,L2J,M,39100,,,,450,473,,3.95,3.95,11.76,37.57,,35.80,,,26730,3500,,,,66300,73900,73500,62800,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A21,,Aeroprakt,A-21 Solo,L1P,L,10000,,1000,,81,102,,,,1.80,4.70,,6.60,,,22,200,,,,,,300,,
A210,,Aquila,AT01/A210,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
A211,,Alfa-M,A-211,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
A21N,32Q,Airbus,A321neo,L2J,M,39100,,,,450,473,,3.95,3.95,11.76,44.51,,35.80,,,32940,4000,,,,73500,83400,83000,69500,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A22,,Sadler,A-22 Piranha,L1P,L,10500,,350,,,55,,,,1.42,5.33,10.80,8.83,,,,260,,114,250,,,,,
A223,,OSKBES-MAI,MAI-223 Kityonok,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
A225,A25,Antonov,An-225 Mriya,L6J,H,36000,,,,430,460,,,,18.10,84.00,905.00,88.40,,,375000,2500,8300,285000,,,,640000,,
A23,,Aeroprakt,A-23 Dragon,L1P,L,13000,,,,70,97,,,,2.40,7.50,,9.80,,,75,380,,,,,,600,,
A25,,Aeroprakt,A-25 Breeze,A1P,L,12000,,980,,93,111,,,,2.50,7.90,,10.60,,,195,600,,,,,,1200,,
A251,,Aviatik Alliance,Aleks-251,A2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
A27,,Aeroprakt,A-27,L1P,L,12000,,,,80,111,,,,2.40,6.30,,10.60,,,80,600,,,,,,600,,
A270,,Aero Vodochody,Ae 270 Ibis,L1T,L,29990,,1710,,270,,,,,4.78,12.23,21.00,13.82,,,1170,1610,,2300,3700,,,,,
A29,,Avantage,A-29,L1P,L,10000,,1000,,80,100,,,,3.00,6.60,,10.10,,,,,,,,,,800,,
A2RT,,Kazan Helicopters,Ansat 2RT,H2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
A3,,Douglas,A-3 Skywarrior,L2J,M,41000,,,,520,530,,,,6.95,23.27,75.40,22.10,,,,1825,2520,17876,31751,,,37195,,
A306,AB6,Airbus,A300-600,L2J,H,,,,137,450,,,5.64,5.64,16.66,54.08,260.00,44.84,,,66881,4050,,88505,,,,171700,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa172
A30B,AB3,Airbus,A300B,L2J,H,,,,137,450,,,5.64,5.64,16.72,53.61,260.00,44.84,,,60588,2900,,88626,,,,165000,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa172
A31,,Avantage,A-31 Spectrum,L1P,L,13000,,,,90,120,,,,2.70,7.90,,13.60,,,,,,,,,,1400,,
A310,310,Airbus,A310,L2J,H,41100,,,139,459,482,,5.64,5.64,15.80,46.66,219.00,43.90,,,,3500,,,,,,144000,,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa172
A318,318,Airbus,A318,L2J,M,39800,,,121,447,470,,3.95,3.95,12.79,31.45,122.40,34.10,,,24210,3100,,39500,,56000,59400,59000,53000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A319,319,Airbus,A319,L2J,M,39100,,,126,447,470,,3.95,3.95,11.76,33.84,122.40,34.10,,,24210,3750,,40800,,61000,64400,64000,57000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A320,320,Airbus,A320,L2J,M,39100,,,136,447,470,,3.95,3.95,11.76,37.57,122.40,34.10,,,24210,3300,,42600,,64500,73900,73500,60500,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A321,321,Airbus,A321,L2J,M,39100,,,140,447,470,,3.95,3.95,11.76,44.51,128.00,34.10,,,24050,3200,,48500,,77300,89400,89000,73300,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa064
A33,,Aeroprakt,A-33 Dragon,L1P,L,12000,,1200,,108,140,,,,2.60,6.60,,9.50,,,130,800,,,,,,,,
A332,332,Airbus,A330-200,L2J,H,41450,,,136,470,,,5.64,5.64,17.38,58.82,361.60,60.30,,,139090,7250,,120600,,180000,,230000,168000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A333,333,Airbus,A330-300,L2J,H,41450,,,137,470,,,5.64,5.64,16.83,63.66,361.60,60.30,,,139090,6350,,129400,,174000,,212000,164000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A337,,Airbus,A330-743L Beluga XL,L2J,H,35200,,,,398,,,10.49,8.80,18.95,63.12,361.60,60.30,,,91250,2300,,127500,,187000,,227000,178000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
A338,338,Airbus,A330-800neo,L2J,H,41450,,,,,496,,5.64,5.64,17.38,58.82,465.00,64.00,,,139090,8150,,132000,,186000,,242000,172000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa004
