"airline","picture","source","author_name","author_profile","license"
"AAB","airlines_pictures/AAB.jpg","https://www.flickr.com/photos/95512093@N05/48216039642/","James","https://www.flickr.com/photos/95512093@N05/","CC-BY-SA-2.0"
"AAC","airlines_pictures/AAC.jpg","https://www.flickr.com/photos/ajw1970/46080871921/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"AAF","airlines_pictures/AAF.jpg","https://www.flickr.com/photos/ajw1970/49746833738/","Alan Wilson","https://www.flickr.com/photos/ajw1970/","CC-BY-SA-2.0"
"AAH","airlines_pictures/AAH.jpg","https://www.flickr.com/photos/ian_a_gratton/23572211943/","Ian Gratton","https://www.flickr.com/photos/ian_a_gratton/","CC-BY-2.0"
"AAL","airlines_pictures/AAL.jpg","https://www.flickr.com/photos/cb-aviation-photography/45522443012/","Colin Brown Photography","https://www.flickr.com/photos/cb-aviation-photography/","CC-BY-2.0"
"AAP","airlines_pictures/AAP.jpg","https://www.flickr.com/photos/78631472@N03/49375676231/","Markus Eigenheer","https://www.flickr.com/photos/78631472@N03/","CC-BY-SA-2.0"
"AAR","airlines_pictures/AAR.jpg","https://www.flickr.com/photos/byeangel/15073288372/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"AAW","airlines_pictures/AAW.jpg","https://www.flickr.com/photos/130961247@N06/33760018578/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"AAY","airlines_pictures/AAY.jpg","https://www.flickr.com/photos/cb-aviation-photography/44730737734/","Colin Brown Photography","https://www.flickr.com/photos/cb-aviation-photography/","CC-BY-2.0"
"ABB","airlines_pictures/ABB.jpg","https://www.flickr.com/photos/jeroenstroesphotography/40727793945/","Jeroen Stroes Aviation Photography","https://www.flickr.com/photos/jeroenstroesphotography/","CC-BY-2.0"
"ABD","airlines_pictures/ABD.jpg","https://www.flickr.com/photos/aero_icarus/5404961056/","Aero Icarus","https://www.flickr.com/photos/aero_icarus/","CC-BY-SA-2.0"
"ABF","airlines_pictures/ABF.jpg","https://www.flickr.com/photos/130961247@N06/17512831479/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"ABL","airlines_pictures/ABL.jpg","https://www.flickr.com/photos/byeangel/16752191602/","byeangel","https://www.flickr.com/photos/byeangel/","CC-BY-SA-2.0"
"ABQ","airlines_pictures/ABQ.jpg","https://www.flickr.com/photos/sjbyles/6971731184/","Steven Byles","https://www.flickr.com/photos/sjbyles/","CC-BY-SA-2.0"
"ABR","airlines_pictures/ABR.jpg","https://www.flickr.com/photos/130961247@N06/27288914988/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"ABW","airlines_pictures/ABW.jpg","https://www.flickr.com/photos/nickraider/28609925445/","Oliver Holzbauer","https://www.flickr.com/photos/nickraider/","CC-BY-SA-2.0"
"ABX","airlines_pictures/ABX.jpg","https://www.flickr.com/photos/airlines470/49737563686/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"ABY","airlines_pictures/ABY.jpg","https://www.flickr.com/photos/130961247@N06/45670061471/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"ACA","airlines_pictures/ACA.jpg","https://www.flickr.com/photos/medau/13942623335/","Joao Carlos Medau","https://www.flickr.com/photos/medau/","CC-BY-2.0"
"ACI","airlines_pictures/ACI.jpg","https://www.flickr.com/photos/sjbyles/5447393035/","Steven Byles","https://www.flickr.com/photos/sjbyles/","CC-BY-SA-2.0"
"ACP","airlines_pictures/ACP.jpg","https://www.flickr.com/photos/jonpsphotos/39352191930/","Jonathan Payne","https://www.flickr.com/photos/jonpsphotos/","CC-BY-SA-2.0"
"ADB","airlines_pictures/ADB.jpg","https://www.flickr.com/photos/ljm-manchester/38006226545/","Liam McManus","https://www.flickr.com/photos/ljm-manchester/","CC-BY-ND-2.0"
"ADN","airlines_pictures/ADN.jpg","https://www.flickr.com/photos/130961247@N06/43614977694/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
