slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
5f-dme-cy,5F,Fox Creek DME,DME,ENROUTE,110000,37X,1061000,998000,,,,,125,54.37861,-116.75194,2800,CY,,,CA
6g-dme-cy,6G,Red Deer DME,DME,ENROUTE,113800,85X,1109000,1172000,,,,,125,52.18119,-113.88266,2974,CY,,,CA
aat-dme-vo,AAT,Agatti DME,DME,ENROUTE,115900,106X,1130000,1193000,,,,,40,10.82825,72.17939,43,VO,,,IN
abm-dme-oi,ABM,Abumusa Island DME,DME,ENROUTE,115400,101X,1125000,1188000,,,,,130,25.87792,55.02306,32,OI,,,AE
adk-dme-pa,ADK,Mount Moffett DME,DME,ENROUTE,114000,87X,1111000,1174000,,,,,130,51.87107,-176.67427,329,PA,,,US
afe-dme-pa,AFE,Kake DME,DME,ENROUTE,114400,91X,1115000,1178000,,,,,125,56.96392,-133.91189,170,PA,,,US
agd-dme-ed,AGD,Altenburg DME,DME,ENROUTE,115300,100X,1124000,1187000,,,,,40,50.98269,12.51228,650,ED,,,DE
ago-dme-ur,AGO,Agoy DME,DME,ENROUTE,116800,115X,1139000,1202000,,,,,130,44.13889,39.02500,131,UR,,,RU
ahr-dme-zm,AHR,Arvaikheer DME,DME,ENROUTE,115600,103X,1127000,1190000,,,,,40,46.25778,102.79056,6004,ZM,,,MN
aix-dme-pa,AIX,Nanwak (Mekoryuk) DME,DME,ENROUTE,112900,76X,1100000,1163000,,,,,125,60.38515,-166.21476,38,PA,,,US
ajd-dme-rj,AJD,Awaji DME,DME,ENROUTE,115600,103X,1127000,1190000,,,,,130,34.27030,134.71294,884,RJ,,,JP
akw-dme-pa,AKW,Klawock DME,DME,ENROUTE,115800,105X,1129000,1192000,,,,,130,55.56842,-133.08095,30,PA,,,US
ald-dme-ed-edja,ALD,Allgau (Memmingen/Allgau) DME,DME,TERMINAL,117200,119X,1143000,1206000,,,,,25,47.98870,10.23123,2145,ED,EDJA,,DE
alf-dme-ed,ALF,Alster DME,DME,ENROUTE,115800,105X,1129000,1192000,,,,,40,53.63529,9.99416,66,ED,,,DE
ane-dme-es,ANE,Arlanda (Stockholm) DME,DME,ENROUTE,113300,80X,1104000,1167000,,,,,40,59.69397,18.05986,120,ES,,,SE
ank-dme-lt,ANK,Ankara DME,DME,ENROUTE,114900,96X,1120000,1183000,,,,,130,39.95328,32.82833,2835,LT,,,TR
ant-dme-ef,ANT,Antoni DME,DME,ENROUTE,113700,84X,1108000,1171000,,,,,130,60.86301,25.12682,314,EF,,,FI
anw-dme-es,ANW,Arlanda (Stockholm) DME,DME,ENROUTE,112050,57Y,1081000,1144000,,,,,40,59.71328,17.85258,176,ES,,,SE
ao-dme-uu,AO,Algasovo DME,DME,ENROUTE,115300,100X,1124000,1187000,,,,,130,53.68000,41.68000,492,UU,,,RU
ap-dme-nz,AP,Taupo DME,DME,ENROUTE,116700,114X,1138000,1201000,,,,,125,-38.74321,176.07429,1335,NZ,,,NZ
apg-dme-sb,APG,Alto Paraiso De Goias DME,DME,ENROUTE,112300,70X,1094000,1157000,,,,,130,-14.11941,-47.52655,4413,SB,,,BR
arm-dme-yb,ARM,Armidale DME,DME,ENROUTE,112600,73X,1097000,1160000,,,,,40,-30.52772,151.61539,3559,YB,,,AU
ase-dme-es,ASE,Arlanda (Stockholm) DME,DME,ENROUTE,114450,91Y,1115000,1052000,,,,,40,59.63719,17.95736,145,ES,,,SE
asp-dme-k5,ASP,Au Sable (Oscoda) DME,DME,ENROUTE,116100,108X,1132000,1195000,,,,,130,44.44913,-83.39428,625,K5,,,US
asw-dme-es,ASW,Arlanda (Stockholm) DME,DME,ENROUTE,113750,84Y,1108000,1045000,,,,,40,59.58769,17.81969,234,ES,,,SE
aug-dme-ed,AUG,Augsburg DME,DME,ENROUTE,115900,106X,1130000,1193000,,,,,125,48.42511,10.93764,1548,ED,,,DE
aye-dme-ym,AYE,Ayers Rock DME,DME,ENROUTE,117100,118X,1142000,1205000,,,,,130,-25.17146,130.97477,1757,YM,,,AU
bac-dme-lr,BAC,Bacau DME,DME,ENROUTE,117400,121X,1145000,1208000,,,,,130,46.50139,26.91806,700,LR,,,RO
bah-dme-uk,BAH,Bakhmach DME,DME,ENROUTE,116700,114X,1138000,1201000,,,,,130,51.06500,32.88667,520,UK,,,UA
bai-dme-lr,BAI,Baisoara DME,DME,ENROUTE,117950,126Y,1150000,1087000,,,,,130,46.49111,23.23667,6000,LR,,,RO
bak-dme-es,BAK,Backa DME,DME,ENROUTE,112700,74X,1098000,1161000,,,,,130,57.55517,11.97683,337,ES,,,SE
bar-dme-zm,BAR,Baruun-Urt DME,DME,ENROUTE,116700,114X,1138000,1201000,,,,,40,46.67000,113.28583,3346,ZM,,,MN
bde-dme-k3,BDE,Baudette DME,DME,ENROUTE,111600,53X,1077000,1014000,,,,,40,48.72280,-94.60729,1083,K3,,,US
bel-dme-ek,BEL,Bella DME,DME,ENROUTE,114650,93Y,1117000,1054000,,,,,130,55.79111,12.09583,135,EK,,,DK
bfd-dme-k6,BFD,Bradford DME,DME,ENROUTE,116600,113X,1137000,1200000,,,,,40,41.78639,-78.61935,2110,K6,,,US
bg-dme-uh,BG,Bogorodskoye DME,DME,ENROUTE,114600,93X,1117000,1180000,,,,,40,52.37889,140.44583,197,UH,,,RU
bge-dme-es,BGE,Bunge DME,DME,ENROUTE,116600,113X,1137000,1200000,,,,,130,57.85192,19.02961,131,ES,,,SE
bj-dme-uu,BJ,Bely DME,DME,ENROUTE,114200,89X,1113000,1176000,,,,,40,55.85417,32.93889,787,UU,,,RU
bku-dme-ug,BKU,Bakuriani DME,DME,ENROUTE,110600,43X,1067000,1004000,,,,,130,41.69472,43.54333,9000,UG,,,GE
bl-dme-us,BL,Khoroshenkoye DME,DME,ENROUTE,108200,19X,1043000,980000,,,,,130,53.54556,50.58528,591,US,,,RU
bla-dme-en,BLA,Blaenga DME,DME,ENROUTE,115200,99X,1123000,1186000,,,,,40,60.65496,11.72881,2161,EN,,,NO
blc-dme-eg,BLC,Blackbushe DME,DME,ENROUTE,116200,109X,1133000,1196000,,,,,40,51.32340,-0.84486,341,EG,,,GB
bm-dme-nz,BM,Blenheim DME,DME,ENROUTE,117900,126X,1150000,1213000,,,,,125,-41.50528,174.03194,120,NZ,,,NZ
bml-dme-k6,BML,Berlin DME,DME,ENROUTE,116550,112Y,1136000,1073000,,,,,130,44.63353,-71.18619,1730,K6,,,US
bnd-dme-ed,BND,Bremen DME,DME,ENROUTE,113650,83Y,1107000,1044000,,,,,40,53.04405,8.78214,33,ED,,,DE
bqm-dme-k5,BQM,Bowman (Louisville) DME,DME,ENROUTE,112200,59X,1083000,1020000,,,,,25,38.23022,-85.66474,542,K5,,,US
brc-dme-ld,BRC,Brac DME,DME,ENROUTE,115450,101Y,1125000,1062000,,,,,130,43.28248,16.62245,2564,LD,,,HR
brg-dme-k2,BRG,Belen DME,DME,ENROUTE,114750,94Y,1118000,1055000,,,,,130,34.64972,-106.83306,5190,K2,,,US
brm-dme-yb,BRM,Broome DME,DME,ENROUTE,115300,100X,1124000,1187000,,,,,125,-17.94681,122.23478,43,YB,,,AU
bs-dme-rp,BS,Basco DME,DME,ENROUTE,116000,107X,1131000,1194000,,,,,125,20.44948,121.97447,309,RP,,,PH
bsn-dme-lf,BSN,Boursonne DME,DME,ENROUTE,114850,95Y,1119000,1056000,,,,,130,49.18831,3.05653,632,LF,,,FR
btm-dme-ug,BTM,Batumi DME,DME,ENROUTE,108400,21X,1045000,982000,,,,,130,41.60639,41.60167,100,UG,,,GE
bua-dme-k3,BUA,Buffalo DME,DME,ENROUTE,109400,31X,1055000,992000,,,,,25,45.55220,-103.45637,3014,K3,,,US
bul-dme-zm,BUL,Bulgan DME,DME,ENROUTE,115900,106X,1130000,1193000,,,,,40,48.85417,103.48417,4331,ZM,,,MN
bur-dme-zm,BUR,Bor-Undur DME,DME,ENROUTE,116800,115X,1139000,1202000,,,,,40,46.23250,109.39694,4429,ZM,,,MN
buu-dme-k5,BUU,Burbun (Burlington) DME,DME,ENROUTE,114500,92X,1116000,1179000,,,,,25,42.68932,-88.30178,772,K5,,,US
bv-dme-gc,BV,La Palma DME,DME,ENROUTE,112400,71X,1095000,1158000,,,,,130,28.60161,-17.75658,197,GC,,,ES
bvk-dme-pa,BVK,Buckland DME,DME,ENROUTE,113100,78X,1102000,1165000,,,,,130,65.97886,-161.14571,24,PA,,,US
bwg-dme-k5,BWG,Bowling Green DME,DME,ENROUTE,117900,126X,1150000,1213000,,,,,130,36.92874,-86.44343,568,K5,,,US
cai-dme-tv,CAI,Canouan (St. Vincent) DME,DME,ENROUTE,111400,51X,1075000,1012000,,,,,130,12.69623,-61.33924,98,TV,,,VC
