slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
aar-dme-ils-ek-ekah,AAR,DME-ILS 10R,DME-ILS,TERMINAL,111900,56X,1080000,1017000,0.000,,,,25,56.30383,10.60110,79,EK,EKAH,10R,DK
aba-dme-ils-eh-eham,ABA,DME-ILS 36R,DME-ILS,TERMINAL,111950,56Y,1080000,1143000,0.200,,,,25,52.29373,4.77503,1,EH,EHAM,36R,NL
abw-dme-ils-ut-utaa,ABW,DME-ILS 12L,DME-ILS,TERMINAL,108500,22X,1046000,983000,0.000,,,,25,37.99986,58.34700,700,UT,UTAA,12L,TM
ac-dme-ils-lf-lfkj,AC,DME-ILS 02,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0.000,,,,25,41.91372,8.79808,56,LF,LFKJ,02,FR
ad-dme-ils-da-daua,AD,DME-ILS 04,DME-ILS,TERMINAL,109700,34X,1058000,995000,0.000,,,,125,27.83006,-0.19519,56,DA,DAUA,04,DZ
ad-dme-ils-en-ensd,AD,DME-ILS 26,DME-ILS,TERMINAL,108300,20X,1044000,981000,0.000,,,,25,61.82945,6.11165,228,EN,ENSD,26,NO
ada-dme-ils-gm-gmad,ADA,DME-ILS 27,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0.000,,,,25,30.32100,-9.39853,299,GM,GMAD,27,MA
ae-dme-ils-ek-ekyt,AE,DME-ILS 08L,DME-ILS,TERMINAL,109900,36X,1060000,997000,0.000,,,,25,57.09497,9.83711,19,EK,EKYT,08L,DK
ae-dme-ils-sa-sabe,AE,DME-ILS 13,DME-ILS,TERMINAL,109500,32X,1056000,993000,0.000,,,,25,-34.55620,-58.42319,66,SA,SABE,13,AR
ag-dme-ils-da-daag,AG,DME-ILS 23,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0.000,,,,25,36.71015,3.24917,131,DA,DAAG,23,DZ
ahd-dme-ils-ut-utaa,AHD,DME-ILS 30R,DME-ILS,TERMINAL,108700,24X,1048000,985000,0.000,,,,25,37.98569,58.37844,700,UT,UTAA,30R,TM
al-dme-ils-da-daag,AL,DME-ILS 27,DME-ILS,TERMINAL,109500,32X,1056000,993000,0.000,,,,25,36.69013,3.20655,82,DA,DAAG,27,DZ
am-dme-ils-lf-lfbu,AM,DME-ILS 28,DME-ILS,TERMINAL,109350,30Y,1054000,1117000,0.000,,,,25,45.72986,0.22631,467,LF,LFBU,28,FR
amd-dme-ils-ot-otbd,AMD,DME-ILS 15,DME-ILS,TERMINAL,108500,22X,1046000,983000,0.000,,,,25,25.27165,51.56171,91,OT,OTBD,15,QA
an-dme-ils-da-dabb,AN,DME-ILS 18,DME-ILS,TERMINAL,109700,34X,1058000,995000,0.200,,,,25,36.84247,7.81122,16,DA,DABB,18,DZ
an-dme-ils-di-diap,AN,DME-ILS 21,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0.000,,,,25,5.27067,-3.92072,39,DI,DIAP,21,CI
an-dme-ils-en-enan,AN,DME-ILS 14,DME-ILS,TERMINAL,109350,30Y,1054000,1117000,0.000,,,,25,69.28357,16.15927,42,EN,ENAN,14,NO
ang-dme-ils-gm-gmfo,ANG,DME-ILS 13,DME-ILS,TERMINAL,108100,18X,1042000,979000,0.000,,,,25,34.80872,-1.94861,1555,GM,GMFO,13,MA
arv-dme-ils-es-esnx,ARV,DME-ILS 12,DME-ILS,TERMINAL,109350,30Y,1054000,1117000,0.000,,,,25,65.59778,19.26286,1276,ES,ESNX,12,SE
as-dme-ils-lf-lfjr,AS,DME-ILS 26,DME-ILS,TERMINAL,108900,26X,1050000,987000,0.000,,,,25,47.56175,-0.30783,243,LF,LFJR,26,FR
at-dme-ils-en-enat,AT,DME-ILS 11,DME-ILS,TERMINAL,108900,26X,1050000,987000,0.000,,,,25,69.98108,23.35242,34,EN,ENAT,11,NO
aun-dme-ils-gm-gmml,AUN,DME-ILS 02,DME-ILS,TERMINAL,110700,44X,1068000,1005000,0.000,,,,25,27.13316,-13.23599,247,GM,GMML,02,EH
azm-dme-ils-ot-othh,AZM,DME-ILS 34R,DME-ILS,TERMINAL,110100,38X,1062000,999000,0.000,,,,25,25.25849,51.62682,31,OT,OTHH,34R,QA
ba-dme-ils-en-enna,BA,DME-ILS 34,DME-ILS,TERMINAL,108300,20X,1044000,981000,0.000,,,,25,70.05976,24.97892,47,EN,ENNA,34,NO
ba-dme-ils-fg-fgbt,BA,DME-ILS 21,DME-ILS,TERMINAL,109100,28X,1052000,989000,0.000,,,,25,1.91376,9.81033,59,FG,FGBT,21,GQ
ba-dme-ils-ll-llbg,BA,DME-ILS 26,DME-ILS,TERMINAL,108700,24X,1048000,985000,0.200,,,,25,32.01808,34.88919,162,LL,LLBG,26,IL
bal-dme-ils-lq-lqbk,BAL,DME-ILS 17,DME-ILS,TERMINAL,108700,24X,1048000,985000,0.000,,,,25,44.95012,17.29675,404,LQ,LQBK,17,BA
bap-dme-ils-li-libd,BAP,DME-ILS 07,DME-ILS,TERMINAL,111350,50Y,1074000,1137000,0.000,,,,25,41.13564,16.74433,203,LI,LIBD,07,IT
bas-dme-ils-lf-lfkb,BAS,DME-ILS 34,DME-ILS,TERMINAL,111350,50Y,1074000,1137000,0.000,,,,25,42.54486,9.48858,59,LF,LFKB,34,FR
bc-dme-ils-da-daor,BC,DME-ILS 18,DME-ILS,TERMINAL,108100,18X,1042000,979000,0.000,,,,25,31.65605,-2.26001,2661,DA,DAOR,18,DZ
bc-dme-ils-ll-llbg,BC,DME-ILS 08,DME-ILS,TERMINAL,110900,46X,1070000,1007000,0.200,,,,25,32.01242,34.86419,131,LL,LLBG,08,IL
bc-dme-ils-sa-sazb,BC,DME-ILS 17L,DME-ILS,TERMINAL,109700,34X,1058000,995000,0.000,,,,25,-38.71921,-62.15462,246,SA,SAZB,17L,AR
bca-dme-ils-le-lebl,BCA,DME-ILS 25R,DME-ILS,TERMINAL,109500,32X,1056000,993000,0.200,,,,25,41.30550,2.09975,30,LE,LEBL,25R,ES
bd-dme-ils-en-enbo,BD,DME-ILS 25,DME-ILS,TERMINAL,108700,24X,1048000,985000,0.000,,,,25,67.27246,14.39135,71,EN,ENBO,25,NO
bd-dme-ils-lf-lfbd,BD,DME-ILS 23,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0.000,,,,25,44.83769,-0.70514,207,LF,LFBD,23,FR
bd-dme-ils-ll-llbg,BD,DME-ILS 30,DME-ILS,TERMINAL,111900,56X,1080000,1017000,0.200,,,,25,32.00233,34.89208,171,LL,LLBG,30,IL
