slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
an-dme-ndb-lf,AN,Avignon Caumont DME,DME-NDB,ENROUTE,110500,42X,1066000,1003000,,,,,25,43.91150,4.90222,168,LF,,,FR
ant-dme-ndb-lt-ltai,ANT,Antalya DME,DME-NDB,TERMINAL,109100,28X,1052000,989000,,,,,25,36.87572,30.78931,187,LT,LTAI,,TR
arr-dme-ndb-lp,ARR,Arrabida DME,DME-NDB,ENROUTE,108300,20X,1044000,981000,,,,,130,38.49276,-8.96227,1200,LP,,,PT
as-dme-ndb-bg,AS,Aasiaat DME,DME-NDB,ENROUTE,108750,24Y,1048000,1111000,,,,,40,68.71942,-52.79275,74,BG,,,GL
bbc-dme-ndb-sb,BBC,Barbacena DME,DME-NDB,ENROUTE,111700,54X,1078000,1015000,,,,,40,-21.26487,-43.76327,3869,SB,,,BR
bc-dme-ndb-uu,BC,Bezhetsk DME,DME-NDB,ENROUTE,111500,52X,1076000,1013000,,,,,130,57.89500,36.93000,689,UU,,,RU
bcl-dme-ndb-eg,BCL,Benbecula DME,DME-NDB,ENROUTE,108100,18X,1042000,979000,,,,,25,57.47509,-7.37032,48,EG,,,GB
bt-dme-ndb-uu,BT,Buturlino DME,DME-NDB,ENROUTE,111900,56X,1080000,1017000,,,,,130,55.56917,44.87361,394,UU,,,RU
co-dme-ndb-eg-egnc,CO,Carlisle DME,DME-NDB,TERMINAL,110700,44X,1068000,1005000,,,,,25,54.94003,-2.80519,193,EG,EGNC,,GB
dks-dme-ndb-ed,DKS,Kassel-Calden DME,DME-NDB,ENROUTE,111500,52X,1076000,1013000,,,,,25,51.42117,9.40524,829,ED,,,DE
dmx-dme-ndb-lp,DMX,Mexilhoeira Grande DME,DME-NDB,ENROUTE,108500,22X,1046000,983000,,,,,130,37.16236,-8.61450,197,LP,,,PT
dpr-dme-ndb-lp,DPR,Pereiro DME,DME-NDB,ENROUTE,111500,52X,1076000,1013000,,,,,130,37.44700,-7.59022,886,LP,,,PT
dsc-dme-ndb-lp,DSC,Santa Cruz DME,DME-NDB,ENROUTE,110700,44X,1068000,1005000,,,,,130,39.45788,-31.12758,122,LP,,,PT
dsl-dme-ndb-lp,DSL,Salir DME,DME-NDB,ENROUTE,109300,30X,1054000,991000,,,,,130,37.30756,-7.96228,1969,LP,,,PT
ehm-dme-ndb-pa,EHM,Cape Newenham DME,DME-NDB,ENROUTE,108150,18Y,1042000,1105000,,,,,130,58.65602,-162.07374,212,PA,,,US
hl-dme-ndb-bi,HL,Helgafell (Vestmannaeyjar) DME,DME-NDB,ENROUTE,110700,44X,1068000,1005000,,,,,40,63.42014,-20.27217,600,BI,,,IS
hod-dme-ndb-ed,HOD,Hof DME,DME-NDB,ENROUTE,110700,44X,1068000,1005000,,,,,40,50.28979,11.85523,1940,ED,,,DE
i5q-dme-ndb-cy,I5Q,Fontanges DME,DME-NDB,ENROUTE,109500,32X,1056000,993000,,,,,130,54.55611,-71.16028,2000,CY,,,CA
ibv-dme-ndb-uw,IBV,Bugulma DME,DME-NDB,ENROUTE,109500,32X,1056000,993000,,,,,40,54.62531,52.78850,984,UW,,,RU
ipd-dme-ndb-li,IPD,Padova DME,DME-NDB,ENROUTE,111300,50X,1074000,1011000,,,,,40,45.39269,11.84531,59,LI,,,IT
isy-dme-ndb-eg,ISY,Islay DME,DME-NDB,ENROUTE,109950,36Y,1060000,1123000,,,,,25,55.68297,-6.24941,70,EG,,,GB
