slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
aar-gs-ek-ekah,AAR,GS 10R,GS,TERMINAL,111900,,,,,,100.326,2.75,18,56.30377,10.60108,81,EK,EKAH,10R,DK
aba-gs-eh-eham,ABA,GS 36R,GS,TERMINAL,111950,,,,,,3.239,3.00,18,52.29373,4.77586,-11,EH,EHAM,36R,NL
abw-gs-ut-utaa,ABW,GS 12L,GS,TERMINAL,108500,,,,,,119.380,3.00,18,37.99986,58.34700,692,UT,UTAA,12L,TM
ac-gs-lf-lfkj,AC,GS 02,GS,TERMINAL,110300,,,,,,24.885,3.00,18,41.91372,8.79808,11,LF,LFKJ,02,FR
ad-gs-da-daua,AD,GS 04,GS,TERMINAL,109700,,,,,,39.538,3.00,18,27.83006,-0.19519,919,DA,DAUA,04,DZ
ada-gs-gm-gmad,ADA,GS 27,GS,TERMINAL,110300,,,,,,271.599,3.00,18,30.32100,-9.39853,299,GM,GMAD,27,MA
ae-gs-ek-ekyt,AE,GS 08L,GS,TERMINAL,109900,,,,,,83.263,2.75,18,57.09505,9.83706,7,EK,EKYT,08L,DK
ae-gs-sa-sabe,AE,GS 13,GS,TERMINAL,109500,,,,,,124.119,3.00,18,-34.55620,-58.42319,66,SA,SABE,13,AR
ag-gs-da-daag,AG,GS 23,GS,TERMINAL,110300,,,,,,232.731,3.00,18,36.71015,3.24917,131,DA,DAAG,23,DZ
ahd-gs-ut-utaa,AHD,GS 30R,GS,TERMINAL,108700,,,,,,299.497,3.00,18,37.98569,58.37844,692,UT,UTAA,30R,TM
al-gs-da-daag,AL,GS 27,GS,TERMINAL,109500,,,,,,271.695,3.00,18,36.69013,3.20655,82,DA,DAAG,27,DZ
am-gs-lf-lfbu,AM,GS 28,GS,TERMINAL,109350,,,,,,276.956,3.00,18,45.72986,0.22633,412,LF,LFBU,28,FR
amd-gs-ot-otbd,AMD,GS 15,GS,TERMINAL,108500,,,,,,158.150,3.50,18,25.27165,51.56170,91,OT,OTBD,15,QA
an-gs-da-dabb,AN,GS 18,GS,TERMINAL,109700,,,,,,186.870,3.00,18,36.84247,7.81122,16,DA,DABB,18,DZ
an-gs-di-diap,AN,GS 21,GS,TERMINAL,110300,,,,,,202.328,3.00,18,5.27067,-3.92072,39,DI,DIAP,21,CI
ang-gs-gm-gmfo,ANG,GS 13,GS,TERMINAL,108100,,,,,,131.038,3.40,18,34.80872,-1.94861,1555,GM,GMFO,13,MA
arv-gs-es-esnx,ARV,GS 12,GS,TERMINAL,109350,,,,,,128.258,3.00,18,65.59775,19.26281,1241,ES,ESNX,12,SE
as-gs-lf-lfjr,AS,GS 26,GS,TERMINAL,108900,,,,,,261.113,3.00,18,47.56175,-0.30783,184,LF,LFJR,26,FR
at-gs-en-enat,AT,GS 11,GS,TERMINAL,108900,,,,,,121.229,3.70,18,69.98110,23.35243,8,EN,ENAT,11,NO
aun-gs-gm-gmml,AUN,GS 02,GS,TERMINAL,110700,,,,,,16.483,3.00,18,27.13316,-13.23599,223,GM,GMML,02,EH
av-gs-lf-lfoa,AV,GS 24,GS,TERMINAL,110700,,,,,,240.305,3.00,18,47.06303,2.64722,625,LF,LFOA,24,FR
avs-gs-le-leas,AVS,GS 29,GS,TERMINAL,110100,,,,,,288.103,3.00,18,43.56225,-6.02464,397,LE,LEAS,29,ES
azm-gs-ot-othh,AZM,GS 34R,GS,TERMINAL,110100,,,,,,338.286,3.00,18,25.25849,51.62683,13,OT,OTHH,34R,QA
ba-gs-en-enna,BA,GS 34,GS,TERMINAL,108300,,,,,,355.430,3.50,18,70.05970,24.97913,47,EN,ENNA,34,NO
ba-gs-fg-fgbt,BA,GS 21,GS,TERMINAL,109100,,,,,,206.457,3.00,18,1.91376,9.81033,30,FG,FGBT,21,GQ
ba-gs-ll-llbg,BA,GS 26,GS,TERMINAL,108700,,,,,,259.788,3.00,18,32.01808,34.88919,162,LL,LLBG,26,IL
bal-gs-lq-lqbk,BAL,GS 17,GS,TERMINAL,108700,,,,,,169.550,3.00,18,44.95012,17.29675,428,LQ,LQBK,17,BA
bap-gs-li-libd,BAP,GS 07,GS,TERMINAL,111350,,,,,,69.414,3.00,18,41.13544,16.74444,203,LI,LIBD,07,IT
bas-gs-lf-lfkb,BAS,GS 34,GS,TERMINAL,111350,,,,,,342.833,3.00,18,42.54489,9.48858,59,LF,LFKB,34,FR
bc-gs-da-daor,BC,GS 18,GS,TERMINAL,108100,,,,,,179.985,3.00,18,31.65605,-2.26001,2661,DA,DAOR,18,DZ
bc-gs-ll-llbg,BC,GS 08,GS,TERMINAL,110900,,,,,,79.788,3.00,18,32.01242,34.86419,131,LL,LLBG,08,IL
bc-gs-sa-sazb,BC,GS 17L,GS,TERMINAL,109700,,,,,,163.765,2.70,18,-38.71921,-62.15462,246,SA,SAZB,17L,AR
bca-gs-le-lebl,BCA,GS 25R,GS,TERMINAL,109500,,,,,,245.511,3.00,18,41.30550,2.09975,13,LE,LEBL,25R,ES
bd-gs-en-enbo,BD,GS 25,GS,TERMINAL,108700,,,,,,268.383,3.50,18,67.27248,14.39136,71,EN,ENBO,25,NO
bd-gs-lf-lfbd,BD,GS 23,GS,TERMINAL,110300,,,,,,225.380,3.00,18,44.83772,-0.70514,152,LF,LFBD,23,FR
bd-gs-ll-llbg,BD,GS 30,GS,TERMINAL,111900,,,,,,301.597,3.20,18,32.00233,34.89208,171,LL,LLBG,30,IL
be-gs-wb-wbsb,BE,GS 03,GS,TERMINAL,108900,,,,,,31.345,3.20,18,4.93306,114.92028,18,WB,WBSB,03,BN
bei-gs-lf-lfbd,BEI,GS 29,GS,TERMINAL,111150,,,,,,286.489,3.00,18,44.82522,-0.70389,158,LF,LFBD,29,FR
bf-gs-en-endu,BF,GS 28,GS,TERMINAL,108700,,,,,,287.771,3.80,18,69.05222,18.56173,242,EN,ENDU,28,NO
bg-gs-en-enbr,BG,GS 35,GS,TERMINAL,110500,,,,,,350.555,3.00,18,60.28549,5.21939,168,EN,ENBR,35,NO
bg-gs-lf-lfrb,BG,GS 25L,GS,TERMINAL,109900,,,,,,251.181,3.00,18,48.45172,-4.40669,311,LF,LFRB,25L,FR
bg-gs-ll-llbg,BG,GS 12,GS,TERMINAL,110300,,,,,,121.529,3.00,18,32.01181,34.86899,141,LL,LLBG,12,IL
bgi-gs-fe-feff,BGI,GS 34,GS,TERMINAL,110300,,,,,,345.478,3.00,18,4.39092,18.52239,1257,FE,FEFF,34,CF
bh-gs-lf-lfrh,BH,GS 25,GS,TERMINAL,108150,,,,,,251.714,3.00,18,47.76283,-3.43528,148,LF,LFRH,25,FR
bhs-gs-lq-lqsa,BHS,GS 11,GS,TERMINAL,110700,,,,,,117.453,3.20,18,43.82942,18.32180,1706,LQ,LQSA,11,BA
bi-gs-da-daub,BI,GS 31,GS,TERMINAL,110900,,,,,,309.664,3.00,18,34.78583,5.74694,246,DA,DAUB,31,DZ
bi-gs-lf-lfob,BI,GS 30,GS,TERMINAL,109950,,,,,,303.756,3.00,18,49.44656,2.12794,356,LF,LFOB,30,FR
bi-gs-wb-wbsb,BI,GS 21,GS,TERMINAL,109700,,,,,,211.482,3.00,18,4.95639,114.93389,73,WB,WBSB,21,BN
bil-gs-ek-ekbi,BIL,GS 09,GS,TERMINAL,109750,,,,,,86.872,3.00,18,55.74132,9.13912,214,EK,EKBI,09,DK
bil-gs-he-heba,BIL,GS 32L,GS,TERMINAL,111300,,,,,,322.990,3.00,18,30.90733,29.70372,182,HE,HEBA,32L,EG
bil-gs-ol-olba,BIL,GS 17,GS,TERMINAL,109500,,,,,,176.940,3.00,18,33.83522,35.48884,66,OL,OLBA,17,LB
bj-gs-da-daae,BJ,GS 26,GS,TERMINAL,110500,,,,,,261.749,3.00,18,36.71241,5.07979,57,DA,DAAE,26,DZ
bj-gs-hb-hbba,BJ,GS 17,GS,TERMINAL,110100,,,,,,171.091,3.20,18,-3.31106,29.31494,2582,HB,HBBA,17,BI
bj-gs-lp-lpbj,BJ,GS 19R,GS,TERMINAL,110300,,,,,,185.909,3.00,18,38.09161,-7.93267,620,LP,LPBJ,19R,PT
bkn-gs-eh-ehbk,BKN,GS 21,GS,TERMINAL,111550,,,,,,212.567,3.00,18,50.91725,5.77364,419,EH,EHBK,21,NL
bkz-gs-eh-ehbk,BKZ,GS 03,GS,TERMINAL,111550,,,,,,32.567,3.00,18,50.90484,5.76106,366,EH,EHBK,03,NL
ble-gs-le-lebl,BLE,GS 07R,GS,TERMINAL,110750,,,,,,65.506,3.00,18,41.28247,2.07817,13,LE,LEBL,07R,ES
blt-gs-le-lebl,BLT,GS 02,GS,TERMINAL,108750,,,,,,18.922,3.00,18,41.29039,2.08497,7,LE,LEBL,02,ES
blu-gs-lf-lfsb,BLU,GS 33,GS,TERMINAL,109350,,,,,,334.869,3.50,18,47.59653,7.52239,881,LF,LFSB,33,FR
blw-gs-le-lebl,BLW,GS 25L,GS,TERMINAL,111500,,,,,,245.506,3.00,18,41.29014,2.10061,13,LE,LEBL,25L,ES
bn-gs-ll-llbg,BN,GS 21,GS,TERMINAL,109700,,,,,,208.703,3.00,18,32.01633,34.89760,126,LL,LLBG,21,IL
bo-gs-df-dfoo,BO,GS 06,GS,TERMINAL,109700,,,,,,52.575,3.00,18,11.15341,-4.34156,1476,DF,DFOO,06,BF
bo-gs-en-enbo,BO,GS 07,GS,TERMINAL,110300,,,,,,77.843,3.00,18,67.26633,14.34132,46,EN,ENBO,07,NO
bo-gs-lk-lktb,BO,GS 27,GS,TERMINAL,111500,,,,,,277.548,3.00,18,49.14868,16.70761,785,LK,LKTB,27,CZ
boi-gs-fa-fabe,BOI,GS 08,GS,TERMINAL,110500,,,,,,56.401,3.00,18,-32.90079,27.27047,1986,FA,FABE,08,ZA
bpl-gs-lh-lhbp,BPL,GS 13L,GS,TERMINAL,109150,,,,,,132.474,3.00,18,47.44411,19.26231,499,LH,LHBP,13L,HU
bpr-gs-lh-lhbp,BPR,GS 31R,GS,TERMINAL,109500,,,,,,312.474,3.00,18,47.42378,19.28981,431,LH,LHBP,31R,HU
br-gs-en-enbr,BR,GS 17,GS,TERMINAL,109900,,,,,,170.555,3.00,18,60.30054,5.21353,190,EN,ENBR,17,NO
br-gs-fq-fqbr,BR,GS 12,GS,TERMINAL,110300,,,,,,105.056,3.00,18,-19.79528,34.89889,84,FQ,FQBR,12,MZ
br-gs-sa-sazs,BR,GS 29,GS,TERMINAL,109500,,,,,,294.855,3.00,18,-41.15542,-71.14919,2761,SA,SAZS,29,AR
brm-gs-li-lime,BRM,GS 28,GS,TERMINAL,108700,,,,,,284.897,3.00,18,45.66647,9.72058,754,LI,LIME,28,IT
bs-gs-ga-gabs,BS,GS 06,GS,TERMINAL,109500,,,,,,56.519,3.00,18,12.52936,-7.95856,1220,GA,GABS,06,ML
bsi-gs-fa-fael,BSI,GS 11,GS,TERMINAL,110900,,,,,,81.923,3.00,18,-33.03570,27.81547,427,FA,FAEL,11,ZA
bt-gs-da-dabt,BT,GS 23,GS,TERMINAL,110700,,,,,,234.692,3.00,18,35.75737,6.32065,2700,DA,DABT,23,DZ
btj-gs-ly-lybt,BTJ,GS 12L,GS,TERMINAL,108900,,,,,,125.428,3.00,18,44.94506,20.24000,300,LY,LYBT,12L,RS
bvb-gs-eh-eham,BVB,GS 27,GS,TERMINAL,111550,,,,,,266.813,3.00,18,52.31929,4.79201,-12,EH,EHAM,27,NL
bvc-gs-lf-lfsl,BVC,GS 29,GS,TERMINAL,109950,,,,,,294.647,3.20,18,45.03628,1.49239,981,LF,LFSL,29,FR
bvt-gs-lf-lfob,BVT,GS 12,GS,TERMINAL,111150,,,,,,123.756,3.00,18,49.45536,2.10769,392,LF,LFOB,12,FR
bwg-gs-ed-edve,BWG,GS 26,GS,TERMINAL,111100,,,,,,264.784,3.00,18,52.32113,10.57123,291,ED,EDVE,26,DE
byd-gs-ep-epby,BYD,GS 26,GS,TERMINAL,109100,,,,,,262.036,3.00,18,53.09694,17.99214,295,EP,EPBY,26,PL
bz-gs-lf-lfbz,BZ,GS 27,GS,TERMINAL,111350,,,,,,269.185,3.00,18,43.46761,-1.51294,222,LF,LFBZ,27,FR
ca-gs-so-soca,CA,GS 08,GS,TERMINAL,110300,,,,,,65.179,3.00,18,4.81406,-52.37139,18,SO,SOCA,08,GF
caa-gs-lf-lfbc,CAA,GS 24,GS,TERMINAL,110100,,,,,,236.472,3.00,18,44.53744,-1.11522,130,LF,LFBC,24,FR
cas-gs-gm-gmmn,CAS,GS 17R,GS,TERMINAL,108300,,,,,,164.042,3.00,18,33.38011,-7.59813,689,GM,GMMN,17R,MA
cb-gs-sa-saco,CB,GS 19,GS,TERMINAL,110300,,,,,,179.195,3.00,18,-31.29914,-64.20722,1647,SA,SACO,19,AR
