slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
aar-ils-ek-ekah,AAR,ILS 10R,ILS-I,TERMINAL,111900,,,,,,100.326,,18,56.30045,10.64750,81,EK,EKAH,10R,DK
aba-ils-eh-eham,ABA,ILS 36R,ILS-III,TERMINAL,111950,,,,,,3.239,,18,52.32350,4.78037,-11,EH,EHAM,36R,NL
abw-ils-ut-utaa,ABW,ILS 12L,ILS-II,TERMINAL,108500,,,,,,119.380,,18,37.98078,58.38672,692,UT,UTAA,12L,TM
ac-ils-lf-lfkj,AC,ILS 02,ILS-I,TERMINAL,110300,,,,,,24.885,,18,41.93269,8.80792,11,LF,LFKJ,02,FR
ad-ils-da-daua,AD,ILS 04,ILS-I,TERMINAL,109700,,,,,,39.538,,18,27.84989,-0.17504,919,DA,DAUA,04,DZ
ada-ils-gm-gmad,ADA,ILS 27,ILS-II,TERMINAL,110300,,,,,,271.599,,18,30.32308,-9.43125,299,GM,GMAD,27,MA
ae-ils-ek-ekyt,AE,ILS 08L,ILS-I,TERMINAL,109900,,,,,,83.263,,18,57.09695,9.88372,7,EK,EKYT,08L,DK
ae-ils-sa-sabe,AE,ILS 13,ILS-I,TERMINAL,109500,,,,,,124.119,,18,-34.56537,-58.40469,66,SA,SABE,13,AR
ag-ils-da-daag,AG,ILS 23,ILS-III,TERMINAL,110300,,,,,,232.731,,18,36.69221,3.21752,131,DA,DAAG,23,DZ
ahd-ils-ut-utaa,AHD,ILS 30R,ILS-II,TERMINAL,108700,,,,,,299.497,,18,38.00286,58.33717,692,UT,UTAA,30R,TM
al-ils-da-daag,AL,ILS 27,ILS-I,TERMINAL,109500,,,,,,271.695,,18,36.69215,3.16718,82,DA,DAAG,27,DZ
