slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
iaay-im-k4-klit,IAAY,IM 22R,IM,TERMINAL,110300,,,,,,226.385,,,34.73963,-92.21616,257,K4,KLIT,22R,US
iabd-im-wa-wara,IABD,IM 35,IM,TERMINAL,109700,,,,,,346.453,,,-7.94170,112.71741,0,WA,WARA,35,ID
iabu-im-k5-kord,IABU,IM 27R,IM,TERMINAL,111750,,,,,,270.017,,,42.00277,-87.89592,663,K5,KORD,27R,US
iado-im-sk-skbo,IADO,IM 13R,IM,TERMINAL,110700,,,,,,127.232,,,4.71272,-74.17202,8356,SK,SKBO,13R,CO
iajq-im-k4-kdfw,IAJQ,IM 35R,IM,TERMINAL,111750,,,,,,0.269,,,32.87295,-97.00992,581,K4,KDFW,35R,US
iant-im-k4-ksat,IANT,IM 13R,IM,TERMINAL,110900,,,,,,131.760,,,29.54418,-98.48739,808,K4,KSAT,13R,US
iaqd-im-k2-kden,IAQD,IM 35L,IM,TERMINAL,108500,,,,,,0.527,,,39.82596,-104.66058,5429,K2,KDEN,35L,US
iark-im-k7-kmco,IARK,IM 17L,IM,TERMINAL,110950,,,,,,179.486,,,28.44606,-81.28261,90,K7,KMCO,17L,US
iatd-im-k5-kday,IATD,IM 06L,IM,TERMINAL,108900,,,,,,55.246,,,39.89362,-84.24882,994,K5,KDAY,06L,US
ibc-im-sb-sbgr,IBC,IM 27L,IM,TERMINAL,111100,,,,,,253.593,,,-23.43033,-46.45550,0,SB,SBGR,27L,BR
ibdl-im-k6-kbdl,IBDL,IM 06,IM,TERMINAL,111100,,,,,,44.283,,,41.93041,-72.69891,171,K6,KBDL,06,US
ibhm-im-k7-kbhm,IBHM,IM 06,IM,TERMINAL,110300,,,,,,55.359,,,33.55341,-86.77395,593,K7,KBHM,06,US
ibma-im-k3-kmsp,IBMA,IM 35,IM,TERMINAL,110950,,,,,,349.565,,,44.86386,-93.23604,833,K3,KMSP,35,US
ibna-im-k7-kbna,IBNA,IM 02L,IM,TERMINAL,109900,,,,,,17.583,,,36.11523,-86.68743,595,K7,KBNA,02L,US
ibne-im-k6-kric,IBNE,IM 34,IM,TERMINAL,110700,,,,,,327.575,,,37.49416,-77.30511,157,K6,KRIC,34,US
ibzu-im-k4-kiah,IBZU,IM 08L,IM,TERMINAL,111550,,,,,,89.955,,,30.00716,-95.36135,91,K4,KIAH,08L,US
icae-im-k7-kcae,ICAE,IM 11,IM,TERMINAL,110300,,,,,,104.739,,,33.94476,-81.14090,205,K7,KCAE,11,US
icer-im-k7-kmco,ICER,IM 35R,IM,TERMINAL,111150,,,,,,359.486,,,28.41658,-81.28230,89,K7,KMCO,35R,US
icha-im-k7-kcha,ICHA,IM 20,IM,TERMINAL,109500,,,,,,196.632,,,35.04412,-85.19967,671,K7,KCHA,20,US
icjn-im-k5-kcvg,ICJN,IM 18R,IM,TERMINAL,110750,,,,,,180.169,,,39.07321,-84.68373,856,K5,KCVG,18R,US
icju-im-rk-rkpc,ICJU,IM 07,IM,TERMINAL,109900,,,,,,58.349,,,33.49842,126.46561,0,RK,RKPC,07,KR
icna-im-pa-pafa,ICNA,IM 02L,IM,TERMINAL,109100,,,,,,38.049,,,64.80213,-147.88681,430,PA,PAFA,02L,US
ics-im-rj-rjcc,ICS,IM 19R,IM,TERMINAL,111500,,,,,,172.632,,,42.79123,141.68760,82,RJ,RJCC,19R,JP
ict-im-sb-sbct,ICT,IM 15,IM,TERMINAL,109300,,,,,,134.697,,,-25.52017,-49.18500,0,SB,SBCT,15,BR
icvg-im-k5-kcvg,ICVG,IM 36C,IM,TERMINAL,109900,,,,,,0.184,,,39.03168,-84.66875,818,K5,KCVG,36C,US
iddo-im-k7-kmco,IDDO,IM 35L,IM,TERMINAL,110500,,,,,,359.471,,,28.40570,-81.29557,82,K7,KMCO,35L,US
iddv-im-k5-klck,IDDV,IM 05R,IM,TERMINAL,110100,,,,,,45.206,,,39.79929,-82.94430,0,K5,KLCK,05R,US
idiz-im-k7-kmco,IDIZ,IM 17R,IM,TERMINAL,111750,,,,,,179.471,,,28.43797,-81.29591,85,K7,KMCO,17R,US
idlh-im-k3-kdlh,IDLH,IM 09,IM,TERMINAL,110300,,,,,,92.296,,,46.84257,-92.22452,1430,K3,KDLH,09,US
