slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
iacd-lda-k2-kgjt,IACD,LDA 29,LDA,TERMINAL,109700,,,,,,325.379,,18,39.11971,-108.51288,0,K2,KGJT,29,US
iaso-lda-k6-kdca,IASO,LDA 19,LDA,TERMINAL,109900,,,,,,138.026,,18,38.85964,-77.03678,0,K6,KDCA,19,US
ibgn-lda-rc-rcmt,IBGN,LDA 21,LDA,TERMINAL,109500,,,,,,210.888,,18,26.22500,120.00211,0,RC,RCMT,21,TW
ibgs-lda-rc-rcmt,IBGS,LDA 03,LDA,TERMINAL,109500,,,,,,24.844,,18,26.22481,120.00200,0,RC,RCMT,03,TW
ibih-lda-k2-kbih,IBIH,LDA 17,LDA,TERMINAL,109100,,,,,,155.742,,18,37.37438,-118.35330,0,K2,KBIH,17,US
iccr-lda-k2-kccr,ICCR,LDA 19R,LDA,TERMINAL,108500,,,,,,197.736,,18,37.98262,-122.05945,0,K2,KCCR,19R,US
icmn-lda-rc-rcbs,ICMN,LDA 24,LDA,TERMINAL,108500,,,,,,258.401,,18,24.43522,118.37239,0,RC,RCBS,24,TW
idls-lda-k1-kdls,IDLS,LDA 25,LDA,TERMINAL,109350,,,,,,253.147,,18,45.61869,-121.16208,0,K1,KDLS,25,US
ieko-lda-k2-keko,IEKO,LDA 24,LDA,TERMINAL,108500,,,,,,254.741,,18,40.82240,-115.80121,0,K2,KEKO,24,US
iepc-lda-ph-phnl,IEPC,LDA 26L,LDA,TERMINAL,109100,,,,,,315.225,,18,21.32641,-157.90787,0,PH,PHNL,26L,US
ifnn-lda-rc-rcfn,IFNN,LDA 04,LDA,TERMINAL,110900,,,,,,23.830,,18,22.74742,121.09092,0,RC,RCFN,04,TW
ihfd-lda-k6-khfd,IHFD,LDA 02,LDA,TERMINAL,109700,,,,,,347.076,,18,41.73273,-72.65143,0,K6,KHFD,02,US
ihln-lda-rc-rcyu,IHLN,LDA 21,LDA,TERMINAL,110300,,,,,,221.915,,18,24.03956,121.62211,0,RC,RCYU,21,TW
ijdl-lda-pa-pajn,IJDL,LDA 08,LDA,TERMINAL,109900,,,,,,90.403,,18,58.35890,-134.63622,0,PA,PAJN,08,US
ikl-lda-rj-rjtt,IKL,LDA 22,LDA,TERMINAL,110100,,,,,,269.697,,18,35.60383,139.81898,0,RJ,RJTT,22,JP
inks-lda-rc-rcfg,INKS,LDA 03,LDA,TERMINAL,110500,,,,,,22.859,,18,26.15492,119.95481,0,RC,RCFG,03,TW
iojw-lda-k2-ksna,IOJW,LDA 20R,LDA,TERMINAL,108300,,,,,,194.901,,18,33.68235,-117.86323,0,K2,KSNA,20R,US
iouw-lda-k6-kekn,IOUW,LDA 05,LDA,TERMINAL,109900,,,,,,188.313,,18,38.88645,-79.86286,0,K6,KEKN,05,US
ipkn-lda-k2-kase,IPKN,LDA 15,LDA,TERMINAL,108500,,,,,,312.117,,18,39.15394,-106.82116,0,K2,KASE,15,US
irgl-lda-pa-pawg,IRGL,LDA 10,LDA,TERMINAL,108500,,,,,,112.718,,18,56.48411,-132.36254,0,PA,PAWG,10,US
isit-lda-pa-pasi,ISIT,LDA 11,LDA,TERMINAL,108900,,,,,,134.780,,18,57.04795,-135.36551,0,PA,PASI,11,US
itkd-lda-k6-klga,ITKD,LDA 22,LDA,TERMINAL,111150,,,,,,222.388,,18,40.76861,-73.88545,0,K6,KLGA,22,US
itl-lda-rj-rjtt,ITL,LDA 23,LDA,TERMINAL,108500,,,,,,269.712,,18,35.56955,139.78226,0,RJ,RJTT,23,JP
itlu-lda-rc-rcss,ITLU,LDA 28,LDA,TERMINAL,108100,,,,,,264.775,,18,25.06806,121.56569,0,RC,RCSS,28,TW
itvl-lda-k2-ktvl,ITVL,LDA 18,LDA,TERMINAL,108900,,,,,,187.425,,18,38.91018,-119.98948,0,K2,KTVL,18,US
ivdz-lda-pa-pavd,IVDZ,LDA 06,LDA,TERMINAL,109500,,,,,,75.807,,18,61.13600,-146.22072,0,PA,PAVD,06,US
ivwh-lda-k6-kdca,IVWH,LDA 19,LDA,TERMINAL,108500,,,,,,135.541,,18,38.85594,-77.01580,0,K6,KDCA,19,US
