slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
ad-loc-en-ensd,AD,LOC 26,LOC,TERMINAL,108300,,,,,,253.303,,18,61.82963,6.11190,0,EN,ENSD,26,NO
an-loc-en-enan,AN,LOC 14,LOC,TERMINAL,109350,,,,,,149.782,,18,69.28360,16.15847,0,EN,ENAN,14,NO
bk-loc-en-enna,BK,LOC 16,LOC,TERMINAL,109350,,,,,,175.430,,18,70.05455,24.97683,0,EN,ENNA,16,NO
bl-loc-en-enbl,BL,LOC 07,LOC,TERMINAL,110700,,,,,,72.640,,18,61.39057,5.76000,0,EN,ENBL,07,NO
bt-loc-en-enbs,BT,LOC 21,LOC,TERMINAL,111100,,,,,,224.005,,18,70.59629,29.68115,0,EN,ENBS,21,NO
bv-loc-en-enbv,BV,LOC 24,LOC,TERMINAL,110900,,,,,,254.782,,18,70.86957,29.01231,0,EN,ENBV,24,NO
cc-loc-lf-lflh,CC,LOC 35,LOC,TERMINAL,108500,,,,,,350.619,,18,46.83370,4.81575,0,LF,LFLH,35,FR
cli-loc-lf-lfkc,CLI,LOC 18,LOC,TERMINAL,109500,,,,,,179.827,,18,42.51822,8.79303,0,LF,LFKC,18,FR
cmd-loc-lf-lfmd,CMD,LOC 35,LOC,TERMINAL,110350,,,,,,352.684,,18,43.55653,6.94933,0,LF,LFMD,35,FR
du-loc-en-endu,DU,LOC 10,LOC,TERMINAL,110300,,,,,,108.408,,18,69.05126,18.57675,0,EN,ENDU,10,NO
fd-loc-en-enbl,FD,LOC 25,LOC,TERMINAL,109350,,,,,,249.385,,18,61.38831,5.74391,0,EN,ENBL,25,NO
fk-loc-es-esnk,FK,LOC 17,LOC,TERMINAL,109300,,,,,,171.545,,18,63.03711,17.77261,0,ES,ESNK,17,SE
fl-loc-en-enfl,FL,LOC 07,LOC,TERMINAL,108900,,,,,,70.873,,18,61.58495,5.03258,0,EN,ENFL,07,NO
gn-loc-bg-bggh,GN,LOC 23,LOC,TERMINAL,110300,,,,,,194.761,,18,64.18818,-51.67826,0,BG,BGGH,23,GL
ha-loc-en-enhf,HA,LOC 04,LOC,TERMINAL,111350,,,,,,55.638,,18,70.67659,23.65496,0,EN,ENHF,04,NO
he-loc-fh-fhsh,HE,LOC 20,LOC,TERMINAL,109300,,,,,,183.828,,18,-15.95153,-5.64724,0,FH,FHSH,20,SH
hf-loc-en-enhf,HF,LOC 22,LOC,TERMINAL,110700,,,,,,235.940,,18,70.67668,23.65536,0,EN,ENHF,22,NO
hn-loc-en-enov,HN,LOC 06,LOC,TERMINAL,111500,,,,,,120.875,,18,62.16338,6.02292,0,EN,ENOV,06,NO
hou-loc-ef-efkt,HOU,LOC 16,LOC,TERMINAL,111900,,,,,,167.301,,18,67.69336,24.84971,0,EF,EFKT,16,FI
hv-loc-en-enhv,HV,LOC 26,LOC,TERMINAL,108100,,,,,,217.214,,18,71.00919,25.97525,0,EN,ENHV,26,NO
