slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
ae-mm-sa-sabe,AE,MM 13,MM,TERMINAL,109500,,,,,,124.119,,,-34.54875,-58.43458,0,SA,SABE,13,AR
av-mm-lf-lfoa,AV,MM 24,MM,TERMINAL,110700,,,,,,240.305,,,47.06847,2.66600,0,LF,LFOA,24,FR
bal-mm-lq-lqbk,BAL,MM 17,MM,TERMINAL,108700,,,,,,169.550,,,44.96104,17.29235,0,LQ,LQBK,17,BA
bc-mm-sa-sazb,BC,MM 17L,MM,TERMINAL,109700,,,,,,163.765,,,-38.70684,-62.16103,0,SA,SAZB,17L,AR
bil-mm-ol-olba,BIL,MM 17,MM,TERMINAL,109500,,,,,,176.940,,,33.84750,35.48611,113,OL,OLBA,17,LB
bj-mm-hb-hbba,BJ,MM 17,MM,TERMINAL,110100,,,,,,171.091,,,-3.29855,29.31452,0,HB,HBBA,17,BI
bo-mm-lk-lktb,BO,MM 27,MM,TERMINAL,111500,,,,,,277.548,,,49.14856,16.72615,0,LK,LKTB,27,CZ
br-mm-sa-sazs,BR,MM 29,MM,TERMINAL,109500,,,,,,294.855,,,-41.15947,-71.13369,0,SA,SAZS,29,AR
brm-mm-li-lime,BRM,MM 28,MM,TERMINAL,108700,,,,,,284.897,,,45.66147,9.73803,782,LI,LIME,28,IT
btj-mm-ly-lybt,BTJ,MM 12L,MM,TERMINAL,108900,,,,,,125.428,,,44.95308,20.22672,0,LY,LYBT,12L,RS
caa-mm-lf-lfbc,CAA,MM 24,MM,TERMINAL,110100,,,,,,236.472,,,44.54486,-1.10239,0,LF,LFBC,24,FR
cb-mm-sa-saco,CB,MM 19,MM,TERMINAL,110300,,,,,,179.195,,,-31.28611,-64.20869,1604,SA,SACO,19,AR
cc-mm-lf-lflh,CC,MM 35,MM,TERMINAL,108500,,,,,,350.619,,,46.80139,4.82403,609,LF,LFLH,35,FR
cf-mm-lk-lkcv,CF,MM 31,MM,TERMINAL,111750,,,,,,317.339,,,49.92474,15.40322,0,LK,LKCV,31,CZ
cgc-mm-lf-lfbg,CGC,MM 23,MM,TERMINAL,109900,,,,,,229.585,,,45.66764,-0.29206,0,LF,LFBG,23,FR
ckl-mm-lj-ljce,CKL,MM 09,MM,TERMINAL,111100,,,,,,89.012,,,45.89952,15.49737,0,LJ,LJCE,09,SI
cn-mm-lz-lzpp,CN,MM 01,MM,TERMINAL,109300,,,,,,13.598,,,48.60811,17.82228,567,LZ,LZPP,01,SK
cr-mm-sa-sarc,CR,MM 20,MM,TERMINAL,109700,,,,,,187.828,,,-27.42775,-58.75903,0,SA,SARC,20,AR
cr-mm-sa-savc,CR,MM 25,MM,TERMINAL,110300,,,,,,259.286,,,-45.78111,-67.43408,0,SA,SAVC,25,AR
da-mm-es-estl,DA,MM 29L,MM,TERMINAL,111700,,,,,,293.936,,,56.07544,13.22586,0,ES,ESTL,29L,SE
dcn-mm-lh-lhdc,DCN,MM 04R,MM,TERMINAL,110100,,,,,,47.855,,,47.47531,21.59311,0,LH,LHDC,04R,HU
di-mm-sa-sazt,DI,MM 19,MM,TERMINAL,109900,,,,,,185.074,,,-37.21028,-59.22583,568,SA,SAZT,19,AR
do-mm-sa-same,DO,MM 36,MM,TERMINAL,109900,,,,,,0.718,,,-32.85494,-68.79261,0,SA,SAME,36,AR
ekn-mm-es-eskn,EKN,MM 26,MM,TERMINAL,111900,,,,,,263.100,,,58.79081,16.94608,0,ES,ESKN,26,SE
es-mm-sa-save,ES,MM 23,MM,TERMINAL,109700,,,,,,237.011,,,-42.89278,-71.11250,0,SA,SAVE,23,AR
evx-mm-lf-lfoe,EVX,MM 22,MM,TERMINAL,111300,,,,,,219.800,,,49.04681,1.24378,0,LF,LFOE,22,FR
fee-mm-li-lirf,FEE,MM 25,MM,TERMINAL,110150,,,,,,249.697,,,41.81236,12.27975,0,LI,LIRF,25,IT
fl-mm-en-enfl,FL,MM 07,MM,TERMINAL,108900,,,,,,70.874,,,61.57820,4.99168,37,EN,ENFL,07,NO
for-mm-li-lipk,FOR,MM 12,MM,TERMINAL,109700,,,,,,117.003,,,44.20506,12.04286,0,LI,LIPK,12,IT
fs-mm-lz-lzsl,FS,MM 36,MM,TERMINAL,108700,,,,,,1.934,,,48.61800,19.13308,1044,LZ,LZSL,36,SK
fss-mm-li-lirf,FSS,MM 34R,MM,TERMINAL,111550,,,,,,342.685,,,41.80453,12.27875,0,LI,LIRF,34R,IT
gl-mm-sa-sawg,GL,MM 25,MM,TERMINAL,110300,,,,,,265.558,,,-51.60703,-69.27442,0,SA,SAWG,25,AR
gr-mm-sa-sawe,GR,MM 26,MM,TERMINAL,109500,,,,,,267.457,,,-53.77679,-67.71776,62,SA,SAWE,26,AR
iaca-mm-mm-mmaa,IACA,MM 28,MM,TERMINAL,109900,,,,,,288.269,,,16.74731,-99.72572,0,MM,MMAA,28,MX
iad-mm-eb-ebaw,IAD,MM 29,MM,TERMINAL,111750,,,,,,289.806,,,51.18486,4.48642,0,EB,EBAW,29,BE
iad-mm-uu-uuee,IAD,MM 24C,MM,TERMINAL,111300,,,,,,255.074,,,55.98058,37.45900,0,UU,UUEE,24C,RU
iado-mm-sk-skbo,IADO,MM 13R,MM,TERMINAL,110700,,,,,,127.232,,,4.71621,-74.17672,8357,SK,SKBO,13R,CO
iag-mm-rj-rjta,IAG,MM 01,MM,TERMINAL,111300,,,,,,359.140,,,35.43528,139.45056,0,RJ,RJTA,01,JP
