slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
1b-ndb-cy,1B,Sable Island NDB,NDB,ENROUTE,277,,,,,,,,50,43.93056,-60.02278,0,CY,,,CA
1d-ndb-cy,1D,Charlottetown NDB,NDB,ENROUTE,346,,,,,,,,25,52.77541,-56.12596,0,CY,,,CA
1e-ndb-cy,1E,Black Tickle NDB,NDB,ENROUTE,349,,,,,,,,50,53.46713,-55.78866,0,CY,,,CA
1f-ndb-cy,1F,Bathurst NDB,NDB,ENROUTE,363,,,,,,,,50,47.63058,-65.74459,0,CY,,,CA
1l-ndb-cy-cyfi,1L,Fort Mackay/Firebag NDB,NDB,TERMINAL,400,,,,,,,,25,57.28066,-110.97223,0,CY,CYFI,,CA
2b-ndb-cy,2B,Springdale NDB,NDB,ENROUTE,364,,,,,,,,25,49.49000,-56.18472,0,CY,,,CA
2h-ndb-cy-csh4,2H,Lebel-Sur-Quevillon NDB,NDB,TERMINAL,261,,,,,,,,25,49.03586,-77.02004,0,CY,CSH4,,CA
2k-ndb-cy,2K,Camrose NDB,NDB,ENROUTE,405,,,,,,,,25,53.03222,-112.81333,0,CY,,,CA
2q-ndb-cy,2Q,Mont-Laurier NDB,NDB,ENROUTE,373,,,,,,,,25,46.60251,-75.47068,0,CY,,,CA
2z-ndb-cy,2Z,Diavik NDB,NDB,ENROUTE,382,,,,,,,,25,64.50958,-110.30986,0,CY,,,CA
3h-ndb-cy,3H,Consort NDB,NDB,ENROUTE,276,,,,,,,,50,52.02278,-110.74556,0,CY,,,CA
3m-ndb-cy,3M,Drayton Valley NDB,NDB,ENROUTE,385,,,,,,,,25,53.26743,-114.95703,0,CY,,,CA
3r-ndb-cy,3R,Postville NDB,NDB,ENROUTE,366,,,,,,,,25,54.90747,-59.79526,0,CY,,,CA
3z-ndb-cy-cjw5,3Z,Russell NDB,NDB,TERMINAL,263,,,,,,,,25,50.76417,-101.29639,0,CY,CJW5,,CA
4a-ndb-cy,4A,Koala NDB,NDB,ENROUTE,350,,,,,,,,50,64.69806,-110.60917,0,CY,,,CA
4j-ndb-cy,4J,Knee Lake NDB,NDB,ENROUTE,314,,,,,,,,25,54.88333,-94.80000,0,CY,,,CA
4o-ndb-cy,4O,Swan Hills NDB,NDB,ENROUTE,251,,,,,,,,50,54.67500,-115.42444,0,CY,,,CA
4w-ndb-cy,4W,Kelsey NDB,NDB,ENROUTE,391,,,,,,,,50,56.03750,-96.51278,0,CY,,,CA
5b-ndb-cy,5B,Summerside NDB,NDB,ENROUTE,254,,,,,,,,25,46.39694,-63.88167,0,CY,,,CA
5f-ndb-cy,5F,Fox Creek NDB,NDB,ENROUTE,353,,,,,,,,25,54.37861,-116.75167,0,CY,,,CA
5j-ndb-cy,5J,Coronation NDB,NDB,ENROUTE,328,,,,,,,,75,52.07444,-111.44833,0,CY,,,CA
5q-ndb-cy,5Q,Fontanges NDB,NDB,ENROUTE,239,,,,,,,,50,54.56013,-71.17103,0,CY,,,CA
5w-ndb-cy,5W,Leaf Rapids NDB,NDB,ENROUTE,226,,,,,,,,50,56.51167,-99.98389,0,CY,,,CA
6f-ndb-cy,6F,Port Hope Simpson NDB,NDB,ENROUTE,367,,,,,,,,25,52.52003,-56.29570,0,CY,,,CA
6k-ndb-cy,6K,Vernon NDB,NDB,ENROUTE,302,,,,,,,,50,50.35000,-119.26000,0,CY,,,CA
