slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
ae-om-sa-sabe,AE,OM 13,OM,TERMINAL,109500,,,,,,124.119,,,-34.52031,-58.48603,0,SA,SABE,13,AR
av-om-lf-lfoa,AV,OM 24,OM,TERMINAL,110700,,,,,,240.305,,,47.09528,2.73394,0,LF,LFOA,24,FR
bap-om-li-libd,BAP,OM 07,OM,TERMINAL,111350,,,,,,69.413,,,41.11044,16.66089,0,LI,LIBD,07,IT
bc-om-sa-sazb,BC,OM 17L,OM,TERMINAL,109700,,,,,,163.765,,,-38.64481,-62.18447,0,SA,SAZB,17L,AR
bj-om-hb-hbba,BJ,OM 17,OM,TERMINAL,110100,,,,,,171.091,,,-3.24879,29.30671,0,HB,HBBA,17,BI
bsi-om-fa-fael,BSI,OM 11,OM,TERMINAL,110900,,,,,,81.923,,,-33.04575,27.73986,435,FA,FAEL,11,ZA
btj-om-ly-lybt,BTJ,OM 12L,OM,TERMINAL,108900,,,,,,125.428,,,44.96836,20.19631,0,LY,LYBT,12L,RS
cc-om-lf-lflh,CC,OM 35,OM,TERMINAL,108500,,,,,,350.619,,,46.72125,4.84292,623,LF,LFLH,35,FR
cf-om-lk-lkcv,CF,OM 31,OM,TERMINAL,111750,,,,,,317.339,,,49.90398,15.43292,0,LK,LKCV,31,CZ
cgc-om-lf-lfbg,CGC,OM 23,OM,TERMINAL,109900,,,,,,229.585,,,45.70567,-0.22942,0,LF,LFBG,23,FR
ckl-om-lj-ljce,CKL,OM 09,OM,TERMINAL,111100,,,,,,89.012,,,45.89819,15.39151,0,LJ,LJCE,09,SI
cr-om-sa-savc,CR,OM 25,OM,TERMINAL,110300,,,,,,259.286,,,-45.77308,-67.37339,0,SA,SAVC,25,AR
da-om-es-estl,DA,OM 29L,OM,TERMINAL,111700,,,,,,293.936,,,56.05083,13.32511,0,ES,ESTL,29L,SE
di-om-sa-sazt,DI,OM 19,OM,TERMINAL,109900,,,,,,185.074,,,-37.15917,-59.22028,568,SA,SAZT,19,AR
ekn-om-es-eskn,EKN,OM 26,OM,TERMINAL,111900,,,,,,263.100,,,58.79608,17.04425,0,ES,ESKN,26,SE
ekp-om-k5-kisw,EKP,OM 02,OM,TERMINAL,108700,,,,,,20.000,,,44.25980,-89.88769,931,K5,KISW,02,US
eli-om-fa-fael,ELI,OM 29,OM,TERMINAL,109900,,,,,,261.923,,,-33.02650,27.89975,387,FA,FAEL,29,ZA
es-om-sa-save,ES,OM 23,OM,TERMINAL,109700,,,,,,237.011,,,-42.87306,-71.07111,0,SA,SAVE,23,AR
evx-om-lf-lfoe,EVX,OM 22,OM,TERMINAL,111300,,,,,,219.800,,,49.09000,1.29750,0,LF,LFOE,22,FR
ez-om-sa-saez,EZ,OM 35,OM,TERMINAL,108700,,,,,,344.081,,,-34.89028,-58.50600,0,SA,SAEZ,35,AR
fee-om-li-lirf,FEE,OM 25,OM,TERMINAL,110150,,,,,,249.697,,,41.83133,12.35078,0,LI,LIRF,25,IT
for-om-li-lipk,FOR,OM 12,OM,TERMINAL,109700,,,,,,117.003,,,44.22914,11.97700,0,LI,LIPK,12,IT
fs-om-lz-lzsl,FS,OM 36,OM,TERMINAL,108700,,,,,,1.934,,,48.56258,19.13000,1044,LZ,LZSL,36,SK
iaam-om-k3-kfar,IAAM,OM 18,OM,TERMINAL,108900,,,,,,180.467,,,47.00905,-96.81518,891,K3,KFAR,18,US
iaay-om-k4-klit,IAAY,OM 22R,OM,TERMINAL,110300,,,,,,226.385,,,34.78361,-92.15942,250,K4,KLIT,22R,US
iabi-om-k4-kabi,IABI,OM 35R,OM,TERMINAL,110300,,,,,,359.762,,,32.29889,-99.67419,1895,K4,KABI,35R,US
iabr-om-k3-kabr,IABR,OM 31,OM,TERMINAL,109900,,,,,,315.163,,,45.38601,-98.32836,1296,K3,KABR,31,US
iad-om-eb-ebaw,IAD,OM 29,OM,TERMINAL,111750,,,,,,289.806,,,51.16728,4.56631,0,EB,EBAW,29,BE
iad-om-uu-uuee,IAD,OM 24C,OM,TERMINAL,111300,,,,,,255.074,,,55.98633,37.50000,0,UU,UUEE,24C,RU
iaeg-om-k2-kaeg,IAEG,OM 22,OM,TERMINAL,110100,,,,,,226.057,,,35.21735,-106.71284,5453,K2,KAEG,22,US
iags-om-k7-kags,IAGS,OM 35,OM,TERMINAL,110500,,,,,,348.269,,,33.28696,-81.94688,299,K7,KAGS,35,US
iaid-om-k5-kaid,IAID,OM 30,OM,TERMINAL,110100,,,,,,295.132,,,40.06953,-85.51088,968,K5,KAID,30,US
iaiw-om-k4-kadm,IAIW,OM 31,OM,TERMINAL,108900,,,,,,315.550,,,34.23234,-96.93313,710,K4,KADM,31,US
iaj-om-un-unkl,IAJ,OM 11,OM,TERMINAL,110500,,,,,,113.175,,,56.18347,92.44894,0,UN,UNKL,11,RU
iakr-om-k5-kakr,IAKR,OM 25,OM,TERMINAL,110900,,,,,,241.875,,,41.06973,-81.38737,1150,K5,KAKR,25,US
iale-om-os-osap,IALE,OM 27,OM,TERMINAL,110100,,,,,,276.726,,,36.17311,37.30755,0,OS,OSAP,27,SY
