slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
abi-tacan-hd,ABI,Djibouti TACAN,TACAN,ENROUTE,114600,93X,1117000,1180000,,2.000,,,130,11.54922,43.15486,40,HD,,,DJ
aho-tacan-li,AHO,Alghero TACAN,TACAN,ENROUTE,109300,30X,1054000,991000,,2.000,,,40,40.63606,8.28956,121,LI,,,IT
aht-tacan-rj,AHT,Ashiya TACAN,TACAN,ENROUTE,108600,23X,1047000,984000,,-8.000,,,130,33.88743,130.64987,98,RJ,,,JP
aki-tacan-lt,AKI,Akhisar TACAN,TACAN,ENROUTE,110200,39X,1063000,1000000,,5.000,,,130,38.81950,27.82722,285,LT,,,TR
akr-tacan-lc,AKR,Akrotiri TACAN,TACAN,ENROUTE,116000,107X,1131000,1194000,,5.000,,,40,34.57939,32.96281,243,LC,,,CY
akt-tacan-rj,AKT,Akeno TACAN,TACAN,ENROUTE,112050,57Y,1081000,1144000,,-7.000,,,130,34.52853,136.67517,20,RJ,,,JP
alt-tacan-ro,ALT,Amami TACAN,TACAN,ENROUTE,115500,102X,1126000,1189000,,-5.000,,,130,28.44347,129.58340,996,RO,,,JP
amb-tacan-yb,AMB,Amberley TACAN,TACAN,ENROUTE,108100,18X,1042000,979000,,11.000,,,130,-27.64153,152.71611,127,YB,,,AU
aml-tacan-lg,AML,Andravida TACAN,TACAN,ENROUTE,133400,61X,1085000,1022000,,4.000,,,130,37.93000,21.28467,55,LG,,,GR
anl-tacan-lg,ANL,Nea Anchialos TACAN,TACAN,ENROUTE,115600,103X,1127000,1190000,,4.000,,,130,39.21367,22.74417,82,LG,,,GR
aog-tacan-le,AOG,Rota TACAN,TACAN,ENROUTE,108600,23X,1047000,984000,,-2.000,,,130,36.64786,-6.34906,114,LE,,,ES
arf-tacan-lt,ARF,Cengiz Topel TACAN,TACAN,ENROUTE,113900,86X,1110000,1173000,,5.000,,,40,40.73778,30.06536,197,LT,,,TR
arh-tacan-k2,ARH,Fort Huachuca TACAN,TACAN,ENROUTE,111600,53X,1077000,1014000,,12.000,,,25,31.58558,-110.33898,4659,K2,,,US
arx-tacan-lg,ARX,Araxos TACAN,TACAN,ENROUTE,112400,71X,1095000,1158000,,4.000,,,130,38.15450,21.42883,62,LG,,,GR
asd-tacan-oa,ASD,Shindand TACAN,TACAN,ENROUTE,111100,48X,1072000,1009000,,2.000,,,40,33.39056,62.26278,3734,OA,,,AF
avd-tacan-lf,AVD,Avord TACAN,TACAN,ENROUTE,110600,43X,1067000,1004000,,0.000,,,130,47.05808,2.62986,603,LF,,,FR
avi-tacan-li,AVI,Aviano TACAN,TACAN,ENROUTE,116400,111X,1135000,1198000,,2.000,,,130,46.02787,12.58688,400,LI,,,IT
bab-tacan-k2,BAB,Beale (Marysville) TACAN,TACAN,ENROUTE,108600,23X,1047000,984000,,16.000,,,40,39.13479,-121.44076,90,K2,,,US
bad-tacan-k4,BAD,Barksdale (Bossier City) TACAN,TACAN,ENROUTE,115800,105X,1129000,1192000,,2.000,,,40,32.50334,-93.66777,162,K4,,,US
bar-tacan-en,BAR,Bardufoss TACAN,TACAN,ENROUTE,113400,81X,1105000,1168000,,9.000,,,130,69.04569,18.58640,448,EN,,,NO
bbe-tacan-eb,BBE,Beauvechain TACAN,TACAN,ENROUTE,116000,107X,1131000,1194000,,1.000,,,130,50.75686,4.76875,343,EB,,,BE
bbl-tacan-eb,BBL,Kleine Brogel TACAN,TACAN,ENROUTE,109600,33X,1057000,994000,,2.000,,,130,51.16753,5.46408,204,EB,,,BE
bdm-tacan-lt,BDM,Bandirma TACAN,TACAN,ENROUTE,111000,47X,1071000,1008000,,5.000,,,25,40.31675,27.98208,170,LT,,,TR
bdn-tacan-eg,BDN,Boscombe Down TACAN,TACAN,ENROUTE,108200,19X,1043000,980000,,0.000,,,130,51.14880,-1.75265,430,EG,,,GB
bej-tacan-lp,BEJ,Beja TACAN,TACAN,ENROUTE,115800,105X,1129000,1192000,,-3.000,,,40,38.12842,-7.92669,700,LP,,,PT
bfs-tacan-eb,BFS,Florennes TACAN,TACAN,ENROUTE,111500,52X,1076000,1013000,,2.000,,,130,50.24142,4.65325,952,EB,,,BE
bix-tacan-k7,BIX,Keesler (Biloxi) TACAN,TACAN,ENROUTE,111800,55X,1079000,1016000,,-2.000,,,25,30.40709,-88.92971,10,K7,,,US
bja-tacan-k6,BJA,Burlington TACAN,TACAN,ENROUTE,112400,71X,1095000,1158000,,-15.000,,,40,44.47693,-73.15676,309,K6,,,US
bkf-tacan-k2,BKF,Buckley (Aurora) TACAN,TACAN,ENROUTE,109600,33X,1057000,994000,,8.000,,,40,39.70739,-104.75239,5593,K2,,,US
bnk-tacan-en,BNK,Banak TACAN,TACAN,ENROUTE,111000,47X,1071000,1008000,,12.000,,,40,70.06544,24.96988,42,EN,,,NO
boo-tacan-en,BOO,Bodo TACAN,TACAN,ENROUTE,110800,45X,1069000,1006000,,6.000,,,130,67.26625,14.36177,128,EN,,,NO
bso-tacan-eg,BSO,Benson TACAN,TACAN,ENROUTE,110000,37X,1061000,998000,,0.000,,,40,51.61464,-1.09931,226,EG,,,GB
bst-tacan-lf,BST,Lanveoc Poulmic TACAN,TACAN,ENROUTE,114700,94X,1118000,1181000,,-1.000,,,40,48.28453,-4.45211,328,LF,,,FR
btn-tacan-vt,BTN,Narathiwat TACAN,TACAN,ENROUTE,115200,99X,1123000,1186000,,-1.000,,,130,6.52333,101.74500,18,VT,,,TH
bue-tacan-et,BUE,Buechel TACAN,TACAN,ENROUTE,117100,118X,1142000,1205000,,2.000,,,130,50.17873,7.06948,1618,ET,,,DE
bzn-tacan-eg,BZN,Brize Norton TACAN,TACAN,ENROUTE,111900,56X,1080000,1017000,,0.000,,,40,51.74820,-1.60350,331,EG,,,GB
caa-tacan-lf,CAA,Cazaux TACAN,TACAN,ENROUTE,110800,45X,1069000,1006000,,0.000,,,40,44.53117,-1.13603,127,LF,,,FR
cam-tacan-li,CAM,Cameri TACAN,TACAN,ENROUTE,115000,97X,1121000,1184000,,3.000,,,130,45.57022,8.65753,702,LI,,,IT
cas-tacan-li,CAS,Caselle TACAN,TACAN,ENROUTE,109500,32X,1056000,993000,,3.000,,,130,45.19381,7.65283,981,LI,,,IT
cbu-tacan-k1,CBU,Columbia (Portland) TACAN,TACAN,ENROUTE,109200,29X,1053000,990000,,20.000,,,130,45.58863,-122.61125,22,K1,,,US
cck-tacan-rc,CCK,Cingcyuangang TACAN,TACAN,ENROUTE,111300,50X,1074000,1011000,,-2.500,,,130,24.26264,120.61786,665,RC,,,TW
cef-tacan-k6,CEF,Westover (Springfield/Chicopee) TACAN,TACAN,ENROUTE,114000,87X,1111000,1174000,,-14.000,,,40,42.19754,-72.52631,241,K6,,,US
cev-tacan-li,CEV,Cervia TACAN,TACAN,ENROUTE,113600,83X,1107000,1170000,,2.000,,,130,44.20647,12.35717,56,LI,,,IT
cgc-tacan-lf,CGC,Cognac Chateaubernard TACAN,TACAN,ENROUTE,116200,109X,1133000,1196000,,0.000,,,130,45.66147,-0.30786,94,LF,,,FR
cgy-tacan-eg,CGY,Coningsby TACAN,TACAN,ENROUTE,111100,48X,1072000,1009000,,0.000,,,130,53.09104,-0.16895,24,EG,,,GB
chj-tacan-rk,CHJ,Cheongju TACAN,TACAN,ENROUTE,110500,42X,1066000,1003000,,-6.900,,,130,36.71000,127.49500,200,RK,,,KR
chm-tacan-vt,CHM,Chiang Mai TACAN,TACAN,ENROUTE,116200,109X,1133000,1196000,,0.000,,,130,18.77000,98.97000,1063,VT,,,TH
chn-tacan-lf,CHN,Chateaudun TACAN,TACAN,ENROUTE,110200,39X,1063000,1000000,,1.000,,,130,48.05581,1.37539,440,LF,,,FR
cig-tacan-lt,CIG,Cigli (Izmir) TACAN,TACAN,ENROUTE,113600,83X,1107000,1170000,,5.000,,,40,38.49494,27.00906,52,LT,,,TR
clu-tacan-lt,CLU,Corlu TACAN,TACAN,ENROUTE,115900,106X,1130000,1193000,,5.000,,,40,41.14644,27.92631,518,LT,,,TR
cof-tacan-k7,COF,Patrick (Cocoa) TACAN,TACAN,ENROUTE,115000,97X,1121000,1184000,,-7.000,,,40,28.23768,-80.61176,5,K7,,,US
cvs-tacan-k2,CVS,Cannon (Clovis) TACAN,TACAN,ENROUTE,111600,53X,1077000,1014000,,7.000,,,40,34.38059,-103.32242,4305,K2,,,US
cvt-tacan-rj,CVT,Choshi TACAN,TACAN,ENROUTE,113600,83X,1107000,1170000,,-7.000,,,130,35.72668,140.79991,236,RJ,,,JP
cwz-tacan-eg,CWZ,Cranwell TACAN,TACAN,ENROUTE,117400,121X,1145000,1208000,,0.000,,,40,53.02867,-0.48552,218,EG,,,GB
dan-tacan-lt,DAN,Incirlik TACAN,TACAN,ENROUTE,108400,21X,1045000,982000,,4.000,,,130,37.01561,35.44819,248,LT,,,TR
dar-tacan-yb,DAR,Darwin TACAN,TACAN,ENROUTE,113700,84X,1108000,1171000,,3.000,,,130,-12.41372,130.88325,157,YB,,,AU
dec-tacan-li,DEC,Decimomannu TACAN,TACAN,ENROUTE,108200,19X,1043000,980000,,1.000,,,130,39.38108,8.96567,194,LI,,,IT
dhk-tacan-k4,DHK,Randolph TACAN,TACAN,ENROUTE,109900,36X,1060000,997000,,5.000,,,40,29.53695,-98.26781,728,K4,,,US
diy-tacan-lt,DIY,Diyarbakir TACAN,TACAN,ENROUTE,110000,37X,1061000,998000,,4.500,,,130,37.89858,40.19553,2251,LT,,,TR
dln-tacan-eh,DLN,Deelen TACAN,TACAN,ENROUTE,112200,59X,1083000,1020000,,2.000,,,40,52.05735,5.87263,158,EH,,,NL
dma-tacan-k2,DMA,Davis-Monthan (Tucson) TACAN,TACAN,ENROUTE,117600,123X,1147000,1210000,,12.000,,,40,32.15992,-110.88091,2662,K2,,,US
dob-tacan-k7,DOB,Dobbins (Marietta) TACAN,TACAN,ENROUTE,113000,77X,1101000,1164000,,-3.000,,,25,33.91465,-84.50731,1009,K7,,,US
dov-tacan-k6,DOV,Dover TACAN,TACAN,ENROUTE,110000,37X,1061000,998000,,-12.000,,,25,39.13240,-75.46741,17,K6,,,US
dwg-tacan-k7,DWG,Warrington (Valparaiso) TACAN,TACAN,ENROUTE,134500,2X,1026000,963000,,0.000,,,40,30.47824,-86.52087,77,K7,,,US
dys-tacan-k4,DYS,Dyess (Abilene) TACAN,TACAN,ENROUTE,133600,63X,1087000,1024000,,5.000,,,40,32.41851,-99.85705,1784,K4,,,US
eck-tacan-k5,ECK,Peck TACAN,TACAN,ENROUTE,114000,87X,1111000,1174000,,-7.000,,,130,43.25589,-82.71793,810,K5,,,US
edf-tacan-pa,EDF,Elmendorf (Anchorage) TACAN,TACAN,ENROUTE,113400,81X,1105000,1168000,,18.000,,,130,61.25501,-149.76917,226,PA,,,US
edn-tacan-ym,EDN,Edinburgh (Adelaide) TACAN,TACAN,ENROUTE,114700,94X,1118000,1181000,,8.000,,,130,-34.70481,138.61244,58,YM,,,AU
efd-tacan-k4,EFD,Ellington (Houston) TACAN,TACAN,ENROUTE,109400,31X,1055000,992000,,5.000,,,40,29.60596,-95.15965,28,K4,,,US
ehv-tacan-eh,EHV,Eindhoven TACAN,TACAN,ENROUTE,117200,119X,1143000,1206000,,1.000,,,130,51.44816,5.37494,100,EH,,,NL
eil-tacan-pa,EIL,Eielson (Fairbanks) TACAN,TACAN,ENROUTE,115100,98X,1122000,1185000,,19.000,,,130,64.65379,-147.09398,542,PA,,,US
elf-tacan-lg,ELF,Elefsis TACAN,TACAN,ENROUTE,108200,19X,1043000,980000,,4.000,,,130,38.06533,23.55867,143,LG,,,GR
esk-tacan-lt,ESK,Eskisehir TACAN,TACAN,ENROUTE,114400,91X,1115000,1178000,,4.000,,,130,39.78367,30.60636,2598,LT,,,TR
esl-tacan-ym,ESL,East Sale TACAN,TACAN,ENROUTE,108100,18X,1042000,979000,,13.000,,,130,-38.10211,147.15447,51,YM,,,AU
eti-tacan-lt,ETI,Ankara-Etimesgut TACAN,TACAN,ENROUTE,116600,113X,1137000,1200000,,5.000,,,130,39.95750,32.67464,2684,LT,,,TR
evs-tacan-en,EVS,Evenes TACAN,TACAN,ENROUTE,134000,67X,1091000,1154000,,8.000,,,130,68.49129,16.67506,103,EN,,,NO
