slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
ae-vor-ft,AE,Abeche VOR,VOR,ENROUTE,114500,,,,,2.000,,,130,13.84663,20.86305,0,FT,,,TD
ald-vor-k7,ALD,Allendale VOR,VOR,ENROUTE,116700,,,,,-1.000,,,40,33.01249,-81.29223,0,K7,,,US
ali-vor-k4,ALI,Alice VOR,VOR,ENROUTE,114500,,,,,6.000,,,40,27.73980,-98.02134,0,K4,,,US
als-vor-ek,ALS,Alsie VOR,VOR,ENROUTE,114700,,,,,2.000,,,130,54.90541,9.99338,0,EK,,,DK
ang-vor-lf,ANG,Angers VOR,VOR,ENROUTE,113000,,,,,-1.000,,,130,47.53686,-0.85183,0,LF,,,FR
are-vor-lf,ARE,Monts D'Arree VOR,VOR,ENROUTE,112500,,,,,-3.000,,,130,48.33264,-3.60247,0,LF,,,FR
as-vor-dr,AS,Agadez VOR,VOR,ENROUTE,113500,,,,,-0.000,,,130,16.97496,8.02323,0,DR,,,NE
atm-vor-sb,ATM,Altamira VOR,VOR,ENROUTE,113200,,,,,-18.000,,,125,-3.24937,-52.24764,0,SB,,,BR
axe-vor-lg,AXE,Alexandria VOR,VOR,ENROUTE,110600,,,,,5.000,,,40,40.64478,22.49789,0,LG,,,GR
ban-vor-dt,BAN,Sidi Ben Aoun VOR,VOR,ENROUTE,115300,,,,,2.000,,,130,34.86331,9.16775,0,DT,,,TN
bar-vor-ol,BAR,Baysur VOR,VOR,ENROUTE,113900,,,,,3.000,,,125,33.76944,35.55556,0,OL,,,LB
bay-vor-ed,BAY,Bayreuth VOR,VOR,ENROUTE,110600,,,,,2.000,,,130,49.98515,11.63668,0,ED,,,DE
bge-vor-sb,BGE,Bage VOR,VOR,ENROUTE,115300,,,,,-14.000,,,130,-31.39071,-54.10972,0,SB,,,BR
bie-vor-k3,BIE,Beatrice VOR,VOR,ENROUTE,110600,,,,,7.000,,,25,40.30143,-96.75464,0,K3,,,US
bjb-vor-k5,BJB,West Bend VOR,VOR,ENROUTE,109800,,,,,-1.000,,,25,43.42198,-88.12519,0,K5,,,US
bne-vor-lf,BNE,Boulogne Sur Mer VOR,VOR,ENROUTE,113800,,,,,1.000,,,130,50.62478,1.90711,0,LF,,,FR
bor-vor-sl,BOR,San Borja VOR,VOR,ENROUTE,117700,,,,,-7.000,,,125,-14.85219,-66.73628,0,SL,,,BO
bt-vor-fe,BT,Berberati VOR,VOR,ENROUTE,113900,,,,,-0.000,,,130,4.22935,15.78384,0,FE,,,CF
bte-vor-sp,BTE,Chimbote VOR,VOR,ENROUTE,112500,,,,,1.000,,,125,-9.14755,-78.52188,0,SP,,,PE
bud-vor-k5,BUD,Buckeye (Marion) VOR,VOR,ENROUTE,109800,,,,,-5.000,,,25,40.61660,-83.06383,0,K5,,,US
but-vor-fz,BUT,Buta-Zega VOR,VOR,ENROUTE,116900,,,,,1.000,,,130,2.81833,24.81000,0,FZ,,,CD
bvs-vor-lf,BVS,Beauvais VOR,VOR,ENROUTE,115900,,,,,1.000,,,40,49.43636,2.15319,0,LF,,,FR
cbn-vor-dt,CBN,Cap Bon VOR,VOR,ENROUTE,112700,,,,,2.000,,,130,36.89519,11.08892,0,DT,,,TN
cdv-vor-fa,CDV,Caledon VOR,VOR,ENROUTE,114900,,,,,-26.000,,,130,-34.11297,19.47789,0,FA,,,ZA
cgg-vor-k5,CGG,Grayling VOR,VOR,ENROUTE,109800,,,,,-6.000,,,25,44.68142,-84.72860,0,K5,,,US
cna-vor-sb,CNA,Carolina VOR,VOR,ENROUTE,115300,,,,,-20.000,,,130,-7.31873,-47.45482,0,SB,,,BR
