slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
aa-vor-dme-nz,AA,Auckland VOR/DME,VOR-DME,ENROUTE,114800,95X,1119000,1182000,,20.000,,,130,-37.00464,174.81364,29,NZ,,,NZ
aae-vor-dme-va,AAE,Ahmedabad VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,,0.000,,,130,23.06823,72.62908,218,VA,,,IN
aar-vor-dme-oe,AAR,Arar VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,,4.000,,,130,30.90803,41.14217,1900,OE,,,SA
aar-vor-dme-vi,AAR,Amritsar VOR/DME,VOR-DME,ENROUTE,115500,102X,1126000,1189000,,2.000,,,130,31.72803,74.78592,788,VI,,,IN
aat-vor-dme-ve,AAT,Agartala VOR/DME,VOR-DME,ENROUTE,116100,108X,1132000,1195000,,0.000,,,130,23.89041,91.23865,87,VE,,,IN
aau-vor-dme-va,AAU,Aurangabad VOR/DME,VOR-DME,ENROUTE,116300,110X,1134000,1197000,,-1.000,,,130,19.86113,75.40521,1927,VA,,,IN
aba-vor-dme-tn,ABA,Aruba VOR/DME,VOR-DME,ENROUTE,112500,72X,1096000,1159000,,-10.400,,,150,12.50568,-69.94310,647,TN,,,AW
abb-vor-dme-lf,ABB,Abbeville VOR/DME,VOR-DME,ENROUTE,108450,21Y,1045000,1108000,,0.000,,,130,50.13514,1.85469,220,LF,,,FR
abc-vor-dme-dn,ABC,Abuja VOR/DME,VOR-DME,ENROUTE,116300,110X,1134000,1197000,,-2.000,,,130,9.03781,7.28511,1191,DN,,,NG
abd-vor-dme-oi,ABD,Abadan VOR/DME,VOR-DME,ENROUTE,115100,98X,1122000,1185000,,4.000,,,130,30.37531,48.22061,8,OI,,,IR
abd-vor-dme-wa,ABD,Malang VOR/DME,VOR-DME,ENROUTE,116100,108X,1132000,1195000,,1.000,,,130,-7.93276,112.71311,1715,WA,,,ID
abk-vor-dme-un,ABK,Abakan VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,,4.000,,,130,53.74464,91.38553,787,UN,,,RU
abl-vor-dme-sk,ABL,Ambalema VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,,-6.000,,,130,4.78382,-74.76759,984,SK,,,CO
abr-vor-dme-k3,ABR,Aberdeen VOR/DME,VOR-DME,ENROUTE,113000,77X,1101000,1164000,,7.000,,,130,45.41736,-98.36872,1304,K3,,,US
abu-vor-dme-hl,ABU,Abu Argub VOR/DME,VOR-DME,ENROUTE,115100,98X,1122000,1185000,,2.000,,,130,32.46283,13.16951,489,HL,,,LY
abv-vor-dme-fa,ABV,Alexander Bay VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,,-19.000,,,130,-28.57065,16.53383,98,FA,,,ZA
aca-vor-dme-mm,ACA,Acapulco VOR/DME,VOR-DME,ENROUTE,115900,106X,1130000,1193000,,5.000,,,150,16.75847,-99.75396,40,MM,,,MX
acc-vor-dme-dg,ACC,Accra VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,,-4.000,,,130,5.63407,-0.15536,258,DG,,,GH
ack-vor-dme-k6,ACK,Nantucket VOR/DME,VOR-DME,ENROUTE,116200,109X,1133000,1196000,,-15.000,,,150,41.28189,-70.02671,99,K6,,,US
aco-vor-dme-k5,ACO,Akron VOR/DME,VOR-DME,ENROUTE,114400,91X,1115000,1178000,,-4.000,,,40,41.10790,-81.20153,1198,K5,,,US
acv-vor-dme-k2,ACV,Arcata VOR/DME,VOR-DME,ENROUTE,115050,97Y,1121000,1058000,,17.000,,,130,40.98144,-124.10832,195,K2,,,US
ad-vor-dme-di,AD,Abidjan VOR/DME,VOR-DME,ENROUTE,114300,90X,1114000,1177000,,-4.000,,,130,5.28282,-3.91698,46,DI,,,CI
ad-vor-dme-ym,AD,Adelaide VOR/DME,VOR-DME,ENROUTE,116400,111X,1135000,1198000,,8.000,,,130,-34.94697,138.52453,33,YM,,,AU
ada-vor-dme-lt,ADA,Adana VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,,3.200,,,130,36.94058,35.21039,66,LT,,,TR
ada-vor-dme-sb,ADA,Aldeia (Sao Pedro Da) VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,,-23.000,,,125,-22.81277,-42.09534,48,SB,,,BR
adh-vor-dme-k4,ADH,Ada VOR/DME,VOR-DME,ENROUTE,117800,125X,1149000,1212000,,6.000,,,25,34.80256,-96.67008,987,K4,,,US
adl-vor-dme-ur,ADL,Sochi VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,,7.000,,,130,43.45447,39.96211,128,UR,,,RU
adm-vor-dme-gm,ADM,Al-Massira (Agadir) VOR/DME,VOR-DME,ENROUTE,117200,119X,1143000,1206000,,-3.000,,,130,30.32192,-9.38347,300,GM,,,MA
adn-vor-dme-eg,ADN,Aberdeen VOR/DME,VOR-DME,ENROUTE,114300,90X,1114000,1177000,,-2.000,,,130,57.31045,-2.26721,600,EG,,,GB
adn-vor-dme-mm,ADN,Roberto (Monterry) VOR/DME,VOR-DME,ENROUTE,115400,101X,1125000,1188000,,5.000,,,150,25.86544,-100.23879,1493,MM,,,MX
adr-vor-dme-da,ADR,Adrar VOR/DME,VOR-DME,ENROUTE,112600,73X,1097000,1160000,,-1.000,,,130,27.82033,-0.20276,952,DA,,,DZ
ads-vor-dme-ha,ADS,Addis (Addis Abeba) VOR/DME,VOR-DME,ENROUTE,112900,76X,1100000,1163000,,2.000,,,130,8.97504,38.79940,7656,HA,,,ET
adv-vor-dme-om,ADV,Abu Dhabi VOR/DME,VOR-DME,ENROUTE,114250,89Y,1113000,1050000,,2.000,,,130,24.41896,54.67324,109,OM,,,AE
aea-vor-dme-li,AEA,Alghero VOR/DME,VOR-DME,ENROUTE,111650,53Y,1077000,1140000,,2.000,,,40,40.63817,8.29178,102,LI,,,IT
ael-vor-dme-k3,AEL,Albert Lea VOR/DME,VOR-DME,ENROUTE,109800,35X,1059000,996000,,1.000,,,25,43.68174,-93.37076,1252,K3,,,US
afi-vor-dme-eb,AFI,Affligem VOR/DME,VOR-DME,ENROUTE,114900,96X,1120000,1183000,,0.000,,,130,50.90767,4.13897,283,EB,,,BE
agc-vor-dme-k6,AGC,Allegheny (Pittsburgh) VOR/DME,VOR-DME,ENROUTE,110000,37X,1061000,998000,,-9.000,,,40,40.27864,-80.04086,1289,K6,,,US
