slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
aal-vortac-ek,AAL,Aalborg VORTAC,VORTAC,ENROUTE,116700,114X,1138000,1201000,,3.000,,,130,57.10372,9.99558,57,EK,,,DK
abh-vortac-oe,ABH,Abha VORTAC,VORTAC,ENROUTE,112900,76X,1100000,1163000,,2.000,,,130,18.24192,42.65694,6900,OE,,,SA
abi-vortac-k4,ABI,Abilene VORTAC,VORTAC,ENROUTE,113700,84X,1108000,1171000,,10.000,,,130,32.48133,-99.86345,1809,K4,,,US
abq-vortac-k2,ABQ,Albuquerque VORTAC,VORTAC,ENROUTE,113200,79X,1103000,1166000,,13.000,,,130,35.04379,-106.81631,5749,K2,,,US
ach-vortac-k2,ACH,Anton Chico VORTAC,VORTAC,ENROUTE,117800,125X,1149000,1212000,,12.000,,,130,35.11171,-105.03993,5450,K2,,,US
act-vortac-k4,ACT,Waco VORTAC,VORTAC,ENROUTE,115300,100X,1124000,1187000,,9.000,,,130,31.66223,-97.26901,507,K4,,,US
acy-vortac-k6,ACY,Atlantic City VORTAC,VORTAC,ENROUTE,108600,23X,1047000,984000,,-10.000,,,40,39.45587,-74.57631,67,K6,,,US
adm-vortac-k4,ADM,Ardmore VORTAC,VORTAC,ENROUTE,116700,114X,1138000,1201000,,6.000,,,130,34.21159,-97.16823,937,K4,,,US
adw-vortac-k6,ADW,Andrews (Camp Springs) VORTAC,VORTAC,ENROUTE,113100,78X,1102000,1165000,,-10.000,,,40,38.80722,-76.86626,263,K6,,,US
aex-vortac-k4,AEX,Alexandria VORTAC,VORTAC,ENROUTE,116100,108X,1132000,1195000,,3.000,,,130,31.25673,-92.50097,80,K4,,,US
agj-vortac-k4,AGJ,Gooch Springs VORTAC,VORTAC,ENROUTE,112500,72X,1096000,1159000,,5.000,,,130,31.18551,-98.14186,1191,K4,,,US
air-vortac-k5,AIR,Bellaire VORTAC,VORTAC,ENROUTE,117100,118X,1142000,1205000,,-7.000,,,130,40.01702,-80.81723,1307,K5,,,US
ajf-vortac-oe,AJF,Al Jouf VORTAC,VORTAC,ENROUTE,117800,125X,1149000,1212000,,4.000,,,130,29.78953,40.07169,2200,OE,,,SA
akj-vortac-oe,AKJ,Al Kharj VORTAC,VORTAC,ENROUTE,117300,120X,1144000,1207000,,2.000,,,130,24.06833,47.40750,1500,OE,,,SA
akn-vortac-pa,AKN,King Salmon VORTAC,VORTAC,ENROUTE,112800,75X,1099000,1162000,,16.000,,,130,58.72471,-156.75235,95,PA,,,US
alb-vortac-k6,ALB,Albany VORTAC,VORTAC,ENROUTE,115300,100X,1124000,1187000,,-13.000,,,40,42.74728,-73.80319,273,K6,,,US
ald-vortac-ot,ALD,Al Udeid VORTAC,VORTAC,ENROUTE,115200,99X,1123000,1186000,,2.000,,,130,25.09276,51.32587,105,OT,,,QA
alg-vortac-li,ALG,Alghero VORTAC,VORTAC,ENROUTE,113800,85X,1109000,1172000,,2.000,,,130,40.62814,8.24389,1453,LI,,,IT
als-vortac-k2,ALS,Alamosa VORTAC,VORTAC,ENROUTE,113900,86X,1110000,1173000,,13.000,,,130,37.34916,-105.81553,7535,K2,,,US
amg-vortac-k7,AMG,Alma VORTAC,VORTAC,ENROUTE,115100,98X,1122000,1185000,,0.000,,,130,31.53656,-82.50809,194,K7,,,US
ami-vortac-ee,AMI,Amari VORTAC,VORTAC,ENROUTE,115300,100X,1124000,1187000,,8.000,,,130,59.26717,24.24681,100,EE,,,EE
anx-vortac-k3,ANX,Napoleon VORTAC,VORTAC,ENROUTE,114000,87X,1111000,1174000,,7.000,,,40,39.09542,-94.12884,878,K3,,,US
any-vortac-k3,ANY,Anthony VORTAC,VORTAC,ENROUTE,112900,76X,1100000,1163000,,7.000,,,40,37.15898,-98.17078,1393,K3,,,US
ape-vortac-k5,APE,Appleton VORTAC,VORTAC,ENROUTE,116700,114X,1138000,1201000,,-6.000,,,130,40.15106,-82.58830,1354,K5,,,US
apn-vortac-k5,APN,Alpena VORTAC,VORTAC,ENROUTE,108800,25X,1049000,986000,,-7.000,,,40,45.08278,-83.55700,678,K5,,,US
arg-vortac-k4,ARG,Walnut Ridge VORTAC,VORTAC,ENROUTE,114500,92X,1116000,1179000,,4.000,,,130,36.11002,-90.95369,265,K4,,,US
art-vortac-k6,ART,Watertown VORTAC,VORTAC,ENROUTE,109800,35X,1059000,996000,,-12.000,,,40,43.95213,-76.06463,374,K6,,,US
asb-vortac-ok,ASB,Ali Al Salem VORTAC,VORTAC,ENROUTE,116000,107X,1131000,1194000,,4.000,,,40,29.34396,47.51891,457,OK,,,KW
asi-vortac-fh,ASI,Ascension Aux VORTAC,VORTAC,ENROUTE,112200,59X,1083000,1020000,,-17.000,,,130,-7.96988,-14.39734,455,FH,,,SH
atl-vortac-k7,ATL,Atlanta VORTAC,VORTAC,ENROUTE,116900,116X,1140000,1203000,,-5.000,,,150,33.62908,-84.43506,1040,K7,,,US
aty-vortac-k3,ATY,Watertown VORTAC,VORTAC,ENROUTE,116600,113X,1137000,1200000,,9.000,,,40,44.97969,-97.14172,1763,K3,,,US
